alternative,probability
tour_id,20976638.0
0,0.009493465442736415
1,0.009878396280972633
2,0.008854902585519488
3,0.015981553234370144
4,0.008199832718677769
5,0.01513047298151115
6,0.008588196948894147
7,0.011487735694184454
8,0.008516169051785368
9,0.0046468150255007225
10,0.028165677793438138
11,0.031625788727108514
12,0.03822649015673397
13,0.0778796045619974
14,0.05452105576656536
15,0.0681157396329548
16,0.07227761538528656
17,0.10012450193782056
18,0.06521397015640754
19,0.06458695879465494
20,0.052347382025723484
21,0.05105548749001626
22,0.05644311772465044
23,0.07390077024330936
24,0.03662246194748493
25,0.007497059261085096
26,0.01714240145844829
27,0.0034763769721621466
