alternative,probability
person_id,511628.0
0,0.8838685358076352
1,0.010327896079171754
2,0.008339591330123044
3,0.00019349112795349286
4,0.005943095080900267
5,0.00013788879157478824
6,0.00011134273252974732
7,2.2832979155457255e-06
8,0.02017963362326731
9,0.0004681980107766996
10,0.000378061518195228
11,7.75288208606331e-06
12,0.0002694203420913427
13,5.5249848061563045e-06
14,4.461326395547708e-06
15,2.5237999410927553e-07
16,0.0378840983746689
17,0.0008789683613798394
18,0.0007097512281130165
19,1.4554820623550825e-05
20,0.000505794452688026
21,1.0372292769163117e-05
22,8.375440863086948e-06
23,4.738038709290545e-07
24,0.0017174126620870486
25,3.5218865770404255e-05
26,2.8438604085875395e-05
27,1.6087894261294278e-06
28,2.0266380133034966e-05
29,1.1464816615292243e-06
30,9.257634324880732e-07
31,3.539438772586594e-08
32,0.02133330267493957
33,0.00049496487707227
34,0.0003996752839014185
35,8.196114123420159e-06
36,0.0002848230950037323
37,5.840848022546551e-06
38,4.716380292364622e-06
39,2.6680855083635983e-07
40,0.000967109835259394
41,1.983245624371202e-05
42,1.601435363768388e-05
43,9.059418922533962e-07
44,1.1412408901158007e-05
45,6.456070316041745e-07
46,5.213161288765041e-07
47,1.993129620988801e-08
48,0.0018155970926961062
49,3.723232727485233e-05
50,3.0064438232279616e-05
51,1.7007638695823108e-06
52,2.1425008480080362e-05
53,1.2120259838845604e-06
54,9.786893002798419e-07
55,3.741788381526656e-08
56,7.274809095565135e-05
57,4.1154045095582665e-06
58,3.3231155217640147e-06
59,1.270515070130232e-07
60,2.3681725793112276e-06
61,9.054150934502966e-08
62,7.311064911592522e-08
63,0.0
64,0.0020193027439695554
65,4.140970534318107e-05
66,3.343759629411734e-05
67,1.8915855078793554e-06
68,2.3828843187423403e-05
69,1.348012400364722e-06
70,1.0884958989519153e-06
71,4.1616080883617345e-08
72,8.091025276271574e-05
73,4.5771430523471705e-06
74,3.6959611351113167e-06
75,1.4130638221935431e-07
76,2.6338758785383494e-06
77,1.0070005013726099e-07
78,8.131348908140905e-08
79,0.0
80,0.0001518963144924411
81,8.592868478549559e-06
82,6.938587580206005e-06
83,2.6528057867186535e-07
84,4.944689024193418e-06
85,1.8904855642846928e-07
86,1.5265332746159643e-07
87,0.0
88,1.678957033850772e-05
89,6.419097379064985e-07
90,5.183306303558295e-07
91,0.0
92,3.6938119598508194e-07
93,0.0
94,0.0
95,0.0
