alternative,utility
person_id,511625.0
0,0.0
1,-1.36652606070476
2,-2.4629769933287218
3,-4.2473856762037
4,-3.6790770155254915
5,-5.463485698400469
6,-6.559936631024431
7,-8.400971533077916
8,-1.4335907193483566
9,-3.2179994022233345
10,-4.3144503348472965
11,-6.155485236900781
12,-5.530550357044066
13,-7.37158525909755
14,-8.468036191721513
15,-10.619684675591921
16,-0.5375639240316901
17,-2.3219726069066677
18,-3.4184235395306297
19,-5.259458441584115
20,-4.634523561727399
21,-6.475558463780884
22,-7.572009396404846
23,-9.723657880275255
24,-2.3890372655502645
25,-4.230072167603749
26,-5.326523100227711
27,-7.478171584098121
28,-6.542623122424481
29,-8.69427160629489
30,-9.790722538918851
31,-990.3847724915431
32,-0.35967698068061604
33,-2.144085663555594
34,-3.2405365961795556
35,-5.081571498233041
36,-4.456636618376326
37,-6.297671520429811
38,-7.394122453053773
39,-9.54577093692418
40,-2.2111503221991904
41,-4.052185224252676
42,-5.148636156876638
43,-7.300284640747044
44,-6.364736179073407
45,-8.516384662943816
46,-9.612835595567777
47,-990.2068855481921
48,-1.3151235268825239
49,-3.156158428936009
50,-4.252609361559971
51,-6.4042578454303785
52,-5.468709383756741
53,-7.620357867627149
54,-8.71680880025111
55,-989.3108587528753
56,-3.2232230875796057
57,-5.374871571450013
58,-6.471322504073975
59,-987.0653724566982
60,-7.687422526270745
61,-988.281472478895
62,-989.377923411519
63,-989.8095724926279
64,-0.08413660854155891
65,-1.9251715105950442
66,-3.021622443219006
67,-5.173270927089414
68,-4.237722465415776
69,-6.389370949286183
70,-7.4858218819101445
71,-988.0798718345344
72,-1.992236169238641
73,-4.1438846531090485
74,-5.2403355857330105
75,-985.8343855383573
76,-6.456435607929779
77,-987.0504855605541
78,-988.146936493178
79,-988.578585574287
80,-1.0962093739219747
81,-3.247857857792382
82,-4.344308790416344
83,-984.9383587430406
84,-5.5604088126131135
85,-986.1544587652373
86,-987.2509096978613
87,-987.6825587789702
88,-3.3149225164359786
89,-983.9089724690602
90,-985.0054234016842
91,-985.4370724827932
92,-986.221523423881
93,-986.6531725049899
94,-987.7496234376139
95,-987.0473725021766
