label,value
person_id,511627
Unnamed: 0,512358
edu,8.0
work_at_home,0
p_hispanic,no
household_id,203307
MAR,1
hispanic.1,0
worker,0
earning,0.0
hispanic,0
person_age,above 60
sex,2
age,68
PNUM,6
school_zone_id,-1
work_zone_id,-1
hours,0.0
student,0
race_id,6
relate,6
race,asian
person_sex,female
TAZ,961
ptype,5
pemploy,3
pstudent,3
home_x,-122.2909233
home_y,37.786775
age_16_to_19,False
age_16_p,True
adult,True
male,False
female,True
has_non_worker,False
has_retiree,False
has_preschool_kid,False
has_driving_kid,False
has_school_kid,True
has_full_time,True
has_part_time,False
has_university,False
student_is_employed,False
nonstudent_to_school,False
is_student,False
is_gradeschool,False
is_highschool,False
is_university,False
school_segment,0
is_worker,False
home_taz,961
value_of_time,7.268461794470672
_hh_vot,7.268461794470672
school_taz,-1
distance_to_school,
roundtrip_auto_time_to_school,0.0
workplace_taz,-1
workplace_location_logsum,
distance_to_work,
workplace_in_cbd,False
work_taz_area_type,
roundtrip_auto_time_to_work,0.0
work_auto_savings,0.0
work_auto_savings_ratio,0.0
free_parking_at_work,False
job_sector,False
telework_option,False
telework,False
cdap_activity,N
travel_active,True
under16_not_at_school,False
has_preschool_kid_at_home,False
has_school_kid_at_home,False
mandatory_tour_frequency,
work_and_school_and_worker,False
work_and_school_and_student,False
num_mand,0
num_work_tours,0
num_joint_tours,0
gt2,1
hh_workers,two or more
hispanic_status_of_head,0
num_workers,2.0
race_of_head,6
hh_income,gt60-lt100
age_of_head,34
recent_mover,0
seniors,1.0
VEHICL,3
hh_age_of_head,lt35
income,80000.0
hh_size,four or more
hh_children,yes
lcm_county_id,6001
tenure_mover,rent not recent
serialno,2012000354796
tenure,2
sf_detached,no
hh_race_of_head,asian
hh_cars,two or more
hh_seniors,yes
block_id,60014287001014
gt55,0
hispanic_head,no
hh_type,7
hhsize,6
HHT,4
sample_rate,0.0
chunk_id,598
income_in_thousands,80.0
income_segment,3
median_value_of_time,10.44
hh_value_of_time,7.268461794470672
num_non_workers,4.0
num_drivers,3
num_adults,3
num_children,3
num_young_children,0
num_children_5_to_15,3
num_children_16_to_17,0
num_college_age,0
num_young_adults,1
non_family,True
family,False
home_is_urban,False
home_is_rural,False
auto_ownership,3
av,0
hh_work_auto_savings_ratio,1.8466615676879883
num_under16_not_at_school,0
num_travel_active,6
num_travel_active_adults,3
num_travel_active_preschoolers,0
num_travel_active_children,3
num_travel_active_non_preschoolers,6
participates_in_jtf_model,True
joint_tour_frequency,1_Eat
num_hh_joint_tours,1
auPkRetail,9.62110189736206
auPkTotal,12.291746139526367
auOpRetail,9.904668024659404
auOpTotal,12.563990592956543
trPkRetail,0.9307435586428149
trPkTotal,3.4397530555725098
trOpRetail,0.2078692618802925
trOpTotal,1.8007595539093018
nmRetail,2.881488873037887
nmTotal,6.3904337882995605
objectid,579
district,18
county,Alameda
gacres,727.484331445
Shape__Are,0.000187754811122
Shape__Len,0.06535867388971
geometry,"POLYGON ((-122.275993204 37.790432905, -122.276693204 37.7894329040001, -122.277093204 37.788232904, -122.277093204 37.7858329040001, -122.277093204 37.7853329050001, -122.277098204 37.7844489030001, -122.277093204 37.7840329050001, -122.277093203 37.782336904, -122.277093204 37.7808329040001, -122.277113204 37.7799639030001, -122.280146203 37.780106904, -122.280920204 37.7801429030001, -122.281416204 37.7801659030001, -122.282693205 37.7802329030001, -122.284193204 37.780332903, -122.285293205 37.7802329030001, -122.286925205 37.7802329040001, -122.288293204 37.7802329030001, -122.289493205 37.7802329020001, -122.291293206 37.780332903, -122.291717206 37.7802619020001, -122.291893206 37.7802329020001, -122.291793205 37.7823329030001, -122.291793206 37.7831329030001, -122.291834206 37.783753903, -122.291793206 37.783832902, -122.291793206 37.784632904, -122.291793206 37.785132903, -122.291793206 37.786432903, -122.292093207 37.787332903, -122.293893207 37.788932904, -122.294321206 37.789338903, -122.294393206 37.789432903, -122.294837208 37.7898079030001, -122.294893208 37.7908329030001, -122.293893208 37.7911329040001, -122.290893207 37.7920329040001, -122.290593207 37.7909329030001, -122.290293206 37.7920329030001, -122.289893206 37.790932904, -122.289593207 37.792332904, -122.289193206 37.790932904, -122.288693207 37.7924329040001, -122.288393207 37.790932904, -122.287893206 37.792532904, -122.280693205 37.7926329040001, -122.277293204 37.791832904, -122.277093204 37.7915329040001, -122.275993204 37.790432905))"
TOTHH,979.0
TOTPOP,2789.0
EMPRES,1305.0
HHINCQ1,261.0
HHINCQ2,171.0
HHINCQ3,77.0
HHINCQ4,470.0
AGE0004,235.0
AGE0519,660.0
AGE2044,974.0
AGE4564,753.0
AGE64P,167.0
AGE62P,241.0
SHPOP62P,0.08641089996414486
TOTEMP,2721
RETEMPN,77.0
FPSEMPN,171.0
HEREMPN,403.0
AGREMPN,24.0
MWTEMPN,703.0
OTHEMPN,1343
TOTACRE,454.239583281853
HSENROLL,535.0
TOPOLOGY,1
employment_density,5.990230926906331
pop_density,6.139931663043645
hh_density,2.1552503040945603
hq1_density,0.5745866489976305
PRKCST,5.149440606497332
OPRKCST,12.345014382708529
COLLFTE,929.0
COLLPTE,5354.0
TERMINAL,0
area_type_metric,21.11550898030947
area_type,4
county_id,1
dense_30,False
dense_50,False
cordon,False
density_index,1.5849827236327831
max_window,19
log_max_window,2.995732273553991
medium_low_income,False
medium_high_income,True
high_income,False
no_cars,False
car_sufficiency,1.0
num_hh_joint_shop_tours,0
num_hh_joint_eatout_tours,1
num_hh_joint_maint_tours,0
num_hh_joint_social_tours,0
num_hh_joint_othdiscr_tours,0
has_mandatory_tour,0
has_joint_tour,0
