alternative,utility
person_id,511627.0
0,0.0
1,-1.5803347903879619
2,-3.187834836879585
3,-4.592591218579797
4,-2.6124348252656198
5,-4.0171912069658315
6,-5.6246912534574545
7,-7.3017889176165625
8,-1.4181348312290647
9,-2.8228912129292763
10,-4.430391259420899
11,-6.107488923580007
12,-3.854991247806934
13,-5.532088911966042
14,-7.139588958457665
15,-1001.9930880729711
16,-0.7324348467977979
17,-2.1371912284980095
18,-3.7446912749896324
19,-5.42178893914874
20,-3.1692912633756674
21,-4.846388927534775
22,-6.453888974026398
23,-1001.3073880885398
24,-1.974991269339112
25,-3.65208893349822
26,-5.259588979989843
27,-1000.1130880945033
28,-4.684188968375878
29,-999.5376880828893
30,-1001.1451881293809
31,-1000.9413881067788
32,-1.938834764400337
33,-3.3435911461005485
34,-4.9510911925921715
35,-6.6281888567512794
36,-4.375691180978206
37,-6.052788845137314
38,-7.660288891628937
39,-1002.5137880061424
40,-3.181391186941651
41,-4.858488851100759
42,-6.465988897592382
43,-1001.3194880121058
44,-5.890588885978417
45,-1000.7440880004918
46,-1002.3515880469835
47,-1002.1477880243814
48,-2.4956912025103843
49,-4.172788866669492
50,-5.780288913161115
51,-1000.6337880276745
52,-5.20488890154715
53,-1000.0583880160606
54,-1001.6658880625522
55,-1001.4620880399501
56,-4.010588907510595
57,-998.864088022024
58,-1000.4715880685156
59,-1000.2677880459136
60,-999.8961880569017
61,-999.6923880342996
62,-1001.2998880807912
63,-1975.7945884530102
64,-2.3861911519656456
65,-4.063288816124754
66,-5.6707888626163765
67,-1000.5242879771298
68,-5.0953888510024115
69,-999.9488879655158
70,-1001.5563880120075
71,-1001.3525879894054
72,-3.901088856965856
73,-998.7545879714793
74,-1000.3620880179709
75,-1000.1582879953688
76,-999.7866880063569
77,-999.5828879837549
78,-1001.1903880302465
79,-1975.6850884024655
80,-3.2153888725345894
81,-998.068887987048
82,-999.6763880335396
83,-999.4725880109376
84,-999.1009880219257
85,-998.8971879993236
86,-1000.5046880458152
87,-1974.9993884180342
88,-997.9066880278891
89,-997.702888005287
90,-999.3103880517787
91,-1973.8050884239976
92,-998.7349880401647
93,-1973.2296884123837
94,-1974.8371884588753
95,-1973.3875884179627
