alternative,probability_1,probability_2,probability_3
person_id,511623.0,511624.0,511626.0
0,0.9405573730228525,0.9255967988367775,0.9255967988367775
1,0.02043307702539784,0.025575692354390188,0.025575692354390188
2,0.004057451242742177,0.005078634245753868,0.005078634245753868
3,9.763245511226809e-05,0.00012220467982631509,0.00012220467982631509
4,0.011328355653992001,0.014179486463418494,0.014179486463418494
5,0.0002725886544816978,0.0003411940138852056,0.0003411940138852056
6,5.412866468958304e-05,6.775181603504795e-05,6.775181603504795e-05
7,0.0,0.0,0.0
8,0.003651561950552515,0.004570590368951527,0.004570590368951527
9,8.786574055934708e-05,0.0001099798697104344,0.0001099798697104344
10,1.7447737204917775e-05,2.1838999504507392e-05,2.1838999504507392e-05
11,0.0,0.0,0.0
12,4.871387494014958e-05,6.0974227098096367e-05,6.0974227098096367e-05
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.013005274319015306,0.016278453536594087,0.016278453536594087
17,0.00031293952415207806,0.00039170042697409023,0.00039170042697409023
18,6.214124576517483e-05,7.778101077156388e-05,7.778101077156388e-05
19,0.0,0.0,0.0
20,0.0001734976197358477,0.000217163657782307,0.000217163657782307
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,5.5924913207999267e-05,7.000014600717794e-05,7.000014600717794e-05
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.005307169223942775,0.006642882380149269,0.006642882380149269
33,0.00012770380468690924,0.00015984441389311162,0.00015984441389311162
34,2.5358489100087728e-05,3.1740736600261165e-05,3.1740736600261165e-05
35,0.0,0.0,0.0
36,7.080060022595012e-05,8.861975940453405e-05,8.861975940453405e-05
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.282173916125725e-05,2.8565535139663565e-05,2.8565535139663565e-05
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,8.128110168971823e-05,0.00010173800296735594,0.00010173800296735594
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.00014889139679183274,0.0001863645183654961,0.0001863645183654961
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
