label,value
household_id,203307
gt2,1
hh_workers,two or more
hispanic_status_of_head,0
num_workers,2.0
race_of_head,6
hh_income,gt60-lt100
age_of_head,34
recent_mover,0
seniors,1.0
VEHICL,3
hh_age_of_head,lt35
income,80000.0
hh_size,four or more
hh_children,yes
lcm_county_id,6001
tenure_mover,rent not recent
serialno,2012000354796
tenure,2
sf_detached,no
hh_race_of_head,asian
hh_cars,two or more
hh_seniors,yes
block_id,60014287001014
gt55,0
hispanic_head,no
hh_type,7
hhsize,6
TAZ,961
HHT,4
sample_rate,0.0
chunk_id,598
