alternative,probability_1,probability_2,probability_3
person_id,511623.0,511624.0,511626.0
0,0.008349593155143194,0.0046566257526373086,0.008362978250704643
1,0.0037861225220656085,0.02772309171230988,0.00731652493168811
2,0.011299525259549121,0.007653208012163055,0.00439835719755159
3,0.012666760158780068,0.01036282010120351,0.0011253239544257727
4,0.007732022740246783,0.004406880655976412,0.0013555105138737431
5,0.001203194810738137,0.009170027564567515,0.007364107113145849
6,0.010628373346016493,0.0033184085258593956,0.005551873133721889
7,0.030965988279089026,0.0019484297294812241,0.02851459605804587
8,0.04096504300855581,0.0021003842795621116,0.03499617639834052
9,0.03619355372125243,0.004828184994328326,0.026325963015326918
10,0.050059009499295606,0.012626992973413083,0.02019995887714149
11,0.05604981382756783,0.03082036653397676,0.04102739569398697
12,0.05000047808621692,0.022169057879943988,0.03629783911527647
13,0.05027670279370853,0.029638085947744353,0.03882978265840885
14,0.04767373224806124,0.04015367815610207,0.05159155391893544
15,0.06134891719824084,0.05001730557448014,0.27077330326391197
16,0.052323183312365934,0.04138389694324751,0.19685662741752386
17,0.04825328924683822,0.06927152001912651,0.0285113686660891
18,0.06333185210115697,0.05896119502449195,0.03778170758194124
19,0.06769157190253146,0.05153939626769384,0.03423930914052946
20,0.14823637837023254,0.06771435326733649,0.023530846274951518
21,0.039883958751648414,0.07529110805486997,0.02402017551092496
22,0.040820581905204614,0.12971103227584174,0.02415636113264495
23,0.0329764263635027,0.04617323557358927,0.021257135611207692
24,0.013029851043798927,0.04212122202709738,0.02304485275977446
25,0.0021446959403398874,0.0542967593096252,0.002570371809926563
26,0.002942345001892623,0.04501948755631226,0.0
27,0.0079793894999237,0.032516400802928724,0.0
28,0.0011876459060362547,0.01823017231431593,0.0
29,0.0,0.006176672169773892,0.0
