label,value_1,value_2,value_3,value_4,value_5,value_6
tour_id,20976574,20976615,20976638,20976697,20976787,20976634
primary_purpose,school,school,eatout,school,work,escort
distance_in_miles,8.119999885559082,0.7599999904632568,8.0600004196167,0.7599999904632568,11.979999542236328,1.7699999809265137
is_joint,False,False,True,False,False,False
num_full,1,1,1,1,1,1
num_part,0,0,0,0,0,0
num_student,3,3,3,3,3,3
num_age_0_4,0,0,0,0,0,0
num_age_5_15,3,3,3,3,3,3
num_adult,3,3,3,3,3,3
more_cars_than_workers,True,True,True,True,True,True
tour_mode_is_transit,False,False,False,False,True,False
tour_mode_is_drive_transit,False,False,False,False,True,False
tour_mode_is_non_motorized,False,False,False,True,False,False
num_school_tours,1,1,1,1,0,0
num_univ_tours,0,0,0,0,0,0
num_shop_tours,0,0,0,0,0,0
num_maint_tours,0,0,0,0,0,0
num_eatout_tours,0,0,0,0,0,0
num_social_tours,0,0,0,0,0,0
num_atwork_subtours,0,0,0,0,0,0
num_hh_shop_tours,0,0,0,0,0,0
num_hh_maint_tours,0,0,0,0,0,0
hhacc,0.0,0.0,0.0,2.881488873037887,0.9307435586428149,0.0
pracc,0.0,0.0,0.0,2.881488873037887,7.2648768718107855,0.0
destination_area_type,4,4,4,4,1,3
