label,value
tour_id,20976787
person_id,511628
tour_type,work
tour_type_count,1
tour_type_num,1
tour_num,1
tour_count,1
tour_category,mandatory
number_of_participants,1
destination,17.0
origin,961
household_id,203307
tdd,49.0
start,7.0
end,19.0
duration,12.0
composition,
destination_logsum,
Unnamed: 0,512359
edu,16.0
work_at_home,0
p_hispanic,no
household_id_r,203307
MAR,1
hispanic.1,0
worker,1
earning,50000.0
hispanic,0
person_age,35 to 60
sex,1
age,36
PNUM,2
school_zone_id,-1
work_zone_id,998
hours,40.0
student,0
race_id,6
relate,1
race,asian
person_sex,male
TAZ,961
ptype,1
pemploy,1
pstudent,3
home_x,-122.2909233
home_y,37.786775
age_16_to_19,False
age_16_p,True
adult,True
male,True
female,False
has_non_worker,False
has_retiree,True
has_preschool_kid,False
has_driving_kid,False
has_school_kid,True
has_full_time,True
has_part_time,False
has_university,False
student_is_employed,False
nonstudent_to_school,False
is_student,False
is_gradeschool,False
is_highschool,False
is_university,False
school_segment,0
is_worker,True
home_taz,961
value_of_time,7.268461794470672
_hh_vot,7.268461794470672
school_taz,-1
distance_to_school,
roundtrip_auto_time_to_school,0.0
workplace_taz,17
workplace_location_logsum,13.803802910741892
distance_to_work,11.979999542236328
workplace_in_cbd,True
work_taz_area_type,1.0
roundtrip_auto_time_to_work,52.0
work_auto_savings,128.3662109375
work_auto_savings_ratio,1.0
free_parking_at_work,True
job_sector,True
telework_option,True
telework,False
cdap_activity,M
travel_active,True
under16_not_at_school,False
has_preschool_kid_at_home,False
has_school_kid_at_home,False
mandatory_tour_frequency,work1
work_and_school_and_worker,False
work_and_school_and_student,False
num_mand,1
num_work_tours,1
num_joint_tours,0
non_mandatory_tour_frequency,0
num_non_mand,0
num_escort_tours,0
num_eatout_tours,0
num_shop_tours,0
num_maint_tours,0
num_discr_tours,0
num_social_tours,0
num_non_escort_tours,0
gt2,1
hh_workers,two or more
hispanic_status_of_head,0
num_workers,2.0
race_of_head,6
hh_income,gt60-lt100
age_of_head,34
recent_mover,0
seniors,1.0
VEHICL,3
hh_age_of_head,lt35
income,80000.0
hh_size,four or more
hh_children,yes
lcm_county_id,6001
tenure_mover,rent not recent
serialno,2012000354796
tenure,2
sf_detached,no
hh_race_of_head,asian
hh_cars,two or more
hh_seniors,yes
block_id,60014287001014
gt55,0
hispanic_head,no
hh_type,7
hhsize,6
HHT,4
sample_rate,0.0
chunk_id,598
income_in_thousands,80.0
income_segment,3
median_value_of_time,10.44
hh_value_of_time,7.268461794470672
num_non_workers,4.0
num_drivers,3
num_adults,3
num_children,3
num_young_children,0
num_children_5_to_15,3
num_children_16_to_17,0
num_college_age,0
num_young_adults,1
non_family,True
family,False
home_is_urban,False
home_is_rural,False
