label,value_1,value_2,value_3,value_4,value_5,value_6
person_id,511623,511624,511625,511626,511627,511628
Unnamed: 0,512354,512355,512356,512357,512358,512359
edu,5.0,5.0,16.0,4.0,8.0,16.0
work_at_home,0,0,0,0,0,0
p_hispanic,no,no,no,no,no,no
household_id,203307,203307,203307,203307,203307,203307
MAR,5,5,1,5,1,1
hispanic.1,0,0,0,0,0,0
worker,0,0,1,0,0,1
earning,0.0,0.0,30000.0,0.0,0.0,50000.0
hispanic,0,0,0,0,0,0
person_age,19 and under,19 and under,20 to 35,19 and under,above 60,35 to 60
sex,1,1,2,2,2,1
age,9,9,34,7,68,36
PNUM,3,4,1,5,6,2
school_zone_id,961,904,-1,947,-1,-1
work_zone_id,-1,-1,36,-1,-1,998
hours,0.0,0.0,40.0,0.0,0.0,40.0
student,1,1,0,1,0,0
race_id,6,6,6,6,6,6
relate,2,2,0,2,6,1
race,asian,asian,asian,asian,asian,asian
person_sex,male,male,female,female,female,male
TAZ,961,961,961,961,961,961
ptype,7,7,1,7,5,1
pemploy,4,4,1,4,3,1
pstudent,1,1,3,1,3,3
home_x,-122.2909233,-122.2909233,-122.2909233,-122.2909233,-122.2909233,-122.2909233
home_y,37.786775,37.786775,37.786775,37.786775,37.786775,37.786775
age_16_to_19,False,False,False,False,False,False
age_16_p,False,False,True,False,True,True
adult,False,False,True,False,True,True
male,True,True,False,False,False,True
female,False,False,True,True,True,False
has_non_worker,False,False,False,False,False,False
has_retiree,True,True,True,True,False,True
has_preschool_kid,False,False,False,False,False,False
has_driving_kid,False,False,False,False,False,False
has_school_kid,True,True,True,True,True,True
has_full_time,True,True,True,True,True,True
has_part_time,False,False,False,False,False,False
has_university,False,False,False,False,False,False
student_is_employed,False,False,False,False,False,False
nonstudent_to_school,False,False,False,False,False,False
is_student,True,True,False,True,False,False
is_gradeschool,True,True,False,True,False,False
is_highschool,False,False,False,False,False,False
is_university,False,False,False,False,False,False
school_segment,1,1,0,1,0,0
is_worker,False,False,True,False,False,True
home_taz,961,961,961,961,961,961
value_of_time,4.8480640169119384,4.8480640169119384,7.268461794470672,4.8480640169119384,7.268461794470672,7.268461794470672
_hh_vot,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672
school_taz,878,961,-1,961,-1,-1
distance_to_school,8.119999885559082,0.7599999904632568,,0.7599999904632568,,
roundtrip_auto_time_to_school,34.13999938964844,4.019999980926514,0.0,4.019999980926514,0.0,0.0
workplace_taz,-1,-1,5,-1,-1,17
workplace_location_logsum,,,13.847861295705853,,,13.803802910741892
distance_to_work,,,12.390000343322754,,,11.979999542236328
workplace_in_cbd,False,False,True,False,False,True
work_taz_area_type,,,0.0,,,1.0
_auto_time_home_to_work,74.63999938964844,74.63999938964844,35.810001373291016,74.63999938964844,74.63999938964844,34.470001220703125
_auto_time_work_to_home,72.20999908447266,72.20999908447266,20.290000915527344,72.20999908447266,72.20999908447266,17.530000686645508
roundtrip_auto_time_to_work,0.0,0.0,56.10000228881836,0.0,0.0,52.0
_walk_time_home_to_work,1127.5999755859375,1127.5999755859375,1683.5999755859375,1127.5999755859375,1127.5999755859375,1672.4000244140625
_walk_time_work_to_home,1127.5999755859375,1127.5999755859375,1682.4000244140625,1127.5999755859375,1127.5999755859375,1670.39990234375
_work_walk_available,True,True,True,True,True,True
_roundtrip_walk_time_to_work,2255.199951171875,2255.199951171875,3366.0,2255.199951171875,2255.199951171875,3342.7998046875
_transit_ivt_home_to_work,0.0,0.0,27.823101043701172,0.0,0.0,26.19580078125
_transit_ivt_work_to_home,0.0,0.0,27.793100357055664,0.0,0.0,26.19580078125
_work_transit_available,False,False,True,False,False,True
_transit_iwait,0.0,0.0,29.433198928833008,0.0,0.0,46.27459716796875
_transit_xwait,0.0,0.0,46.25,0.0,0.0,58.5
_transit_waux,0.0,0.0,4.0,0.0,0.0,2.0
_transit_wacc,0.0,0.0,11.199999809265137,0.0,0.0,10.600000381469727
_transit_wegr,0.0,0.0,11.199999809265137,0.0,0.0,10.600000381469727
_roundtrip_transit_time_to_work,0.0,0.0,157.69940185546875,0.0,0.0,180.3662109375
_min_work_walk_transit,2255.199951171875,2255.199951171875,157.69940185546875,2255.199951171875,2255.199951171875,180.3662109375
work_auto_savings,0.0,0.0,101.59939575195312,0.0,0.0,128.3662109375
work_auto_savings_ratio,0.0,0.0,0.8466616272926331,0.0,0.0,1.0
