TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment
1,3894.8269999999993,1,0
2,6112.096999999999,1,0
3,481.22200000000004,1,0
4,3933.4729999999995,1,0
5,3477.709,1,0
6,763.5459999999999,1,0
7,1908.195,1,0
8,690.421,1,0
9,3180.8269999999998,1,0
10,2360.31,1,0
11,2062.084,1,0
12,2881.261,1,0
13,3864.8680000000004,1,0
14,4805.971,1,0
15,2799.1949999999997,1,0
16,5133.754,1,0
17,1675.224,1,0
18,1162.655,1,0
19,1418.796,1,0
20,938.8739999999998,1,0
21,2298.8099999999995,1,0
22,2918.4009999999994,1,0
23,1804.042,1,0
24,3812.5080000000003,1,0
25,362.54400000000004,1,0
26,1064.89,1,0
27,346.64599999999996,1,0
28,234.039,1,0
29,254.12599999999998,1,0
30,337.34399999999994,1,0
31,452.825,1,0
32,862.7109999999999,1,0
33,194.118,1,0
34,211.002,1,0
35,68.50699999999999,1,0
36,1000.053,1,0
37,561.42,1,0
38,213.808,1,0
39,192.74200000000002,1,0
40,512.125,1,0
41,1685.9150000000002,1,0
42,146.673,1,0
43,1403.849,1,0
44,622.1479999999999,1,0
45,510.506,1,0
46,472.61800000000005,1,0
47,1604.428,1,0
48,143.10999999999999,1,0
49,165.353,1,0
50,476.952,1,0
51,292.9599999999999,1,0
52,917.787,1,0
53,569.861,1,0
54,173.532,1,0
55,34.919000000000004,1,0
56,858.47,1,0
57,56.547999999999995,1,0
58,119.079,1,0
59,200.292,1,0
60,30.577999999999996,1,0
61,112.32,1,0
62,236.97399999999996,1,0
63,104.118,1,0
64,105.574,1,0
65,297.96,1,0
66,289.65599999999995,1,0
67,247.52099999999996,1,0
68,49.743,1,0
69,2024.2229999999997,1,0
70,461.29799999999994,1,0
71,1248.844,1,0
72,254.278,1,0
73,425.938,1,0
74,719.9739999999999,1,0
75,936.252,1,0
76,985.7529999999998,1,0
77,772.3269999999999,1,0
78,182.11,1,0
79,2165.082,1,0
80,66.467,1,0
81,397.639,1,0
82,571.299,1,0
83,68.544,1,0
84,119.377,1,0
85,275.133,1,0
86,140.963,1,0
87,548.5869999999999,1,0
88,272.2059999999999,1,0
89,191.62599999999998,1,0
90,2691.5719999999997,1,0
91,1197.891,1,0
92,484.731,1,0
93,1707.752,1,0
94,175.503,1,0
95,90.977,1,0
96,40.944,1,0
97,118.71,1,0
98,75.08699999999999,1,0
99,180.74699999999999,1,0
100,455.971,1,0
101,489.873,1,0
102,240.801,1,0
103,161.83499999999998,1,0
104,251.356,1,0
105,280.453,1,0
106,12770.189999999999,1,0
107,1811.551,1,0
108,835.856,1,0
109,2107.782,1,0
110,330.18499999999995,1,0
111,802.963,1,0
112,236.963,1,0
113,135.565,1,0
114,220.993,1,0
115,80.627,1,0
116,660.008,1,0
117,68.836,1,0
118,112.484,1,0
119,54.655,1,0
120,535.4509999999999,1,0
121,1033.873,1,0
122,105.83599999999998,1,0
123,341.478,1,0
124,39.373999999999995,1,0
125,17.145999999999997,1,0
126,28.737,1,0
127,92.01199999999999,1,0
128,812.798,1,0
129,30.724,1,0
130,390.102,1,0
131,47.395999999999994,1,0
132,103.12599999999999,1,0
133,1833.6639999999998,1,0
134,2196.3019999999997,1,0
135,73.155,1,0
136,254.787,1,0
137,45.444,1,0
138,2867.5969999999993,1,0
139,139.304,1,0
140,22.695,1,0
141,128.09699999999998,1,0
142,2158.786,1,0
143,92.898,1,0
144,79.27899999999998,1,0
145,63.824999999999996,1,0
146,10.261,1,0
147,341.379,1,0
148,410.424,1,0
149,329.72799999999995,1,0
150,1118.6789999999999,1,0
151,19.671,1,0
152,1044.3619999999999,1,0
153,19.887,1,0
154,79.388,1,0
155,36.471,1,0
156,13.442,1,0
157,24.418,1,0
158,11.405,1,0
159,24.127000000000002,1,0
160,24.722,1,0
161,31.298,1,0
162,74.84100000000001,1,0
163,49.93299999999999,1,0
164,112.593,1,0
165,141.38199999999998,1,0
166,1470.374,1,0
167,605.6659999999999,1,0
168,1782.543,1,0
169,1932.5569999999998,1,0
170,344.09799999999996,1,0
171,90.15100000000001,1,0
172,93.726,1,0
173,22.355,1,0
174,128.054,1,0
175,220.993,1,0
176,102.797,1,0
177,1365.3310000000001,1,0
178,116.81099999999999,1,0
179,1347.2079999999996,1,0
180,65.332,1,0
181,71.623,1,0
182,67.08800000000001,1,0
183,259.202,1,0
184,169.715,1,0
185,1934.944,1,0
186,377.25999999999993,1,0
187,488.1039999999999,1,0
188,1147.411,1,0
189,1239.0520000000001,1,0
190,167.388,1,0
191,109.353,1,0
192,439.79799999999994,1,0
193,708.6519999999999,1,0
194,1113.273,1,0
195,57.289,1,0
196,74.714,1,0
197,72.58000000000001,1,0
198,209.648,1,0
199,486.993,1,0
200,1196.8519999999999,1,0
201,278.339,1,0
202,157.69099999999997,1,0
203,564.164,1,0
204,250.67,1,0
205,99.243,1,0
206,42.675,1,0
207,227.277,1,0
208,2688.092,1,0
209,278.953,1,0
210,189.559,1,0
211,640.486,1,0
212,10058.89,1,0
213,401.471,1,0
214,310.118,1,0
215,108.555,1,0
216,1117.774,1,0
217,91.562,1,0
218,612.375,1,0
219,89.17699999999999,1,0
220,107.49399999999999,1,0
221,57.010999999999996,1,0
222,179.975,1,0
223,556.231,1,0
224,131.288,1,0
225,409.742,1,0
226,151.173,1,0
227,84.61,1,0
228,3.5859999999999994,1,0
229,140.22699999999998,1,0
230,320.1329999999999,1,0
231,73.016,1,0
232,91.67699999999999,1,0
233,200.159,1,0
234,1796.314,1,0
235,455.834,1,0
236,200.998,1,0
237,493.686,1,0
238,237.296,1,0
239,2695.635,1,0
240,872.2070000000001,1,0
241,88.49799999999999,1,0
242,89.56699999999998,1,0
243,33.058,1,0
244,373.3499999999999,1,0
245,74.921,1,0
246,3675.0029999999997,1,0
247,51.455,1,0
248,3234.8689999999997,1,0
249,1115.1970000000001,1,0
250,348.6719999999999,1,0
251,1058.5059999999999,1,0
252,293.19899999999996,1,0
253,60.461,1,0
254,372.81399999999996,1,0
255,355.50699999999995,1,0
256,453.35,1,0
257,1954.0179999999998,1,0
258,268.51099999999997,1,0
259,273.937,1,0
260,573.048,1,0
261,111.86099999999999,1,0
262,251.44999999999996,1,0
263,60.717,1,0
264,103.895,1,0
265,1428.55,1,0
266,5847.667,1,0
267,117.37899999999999,1,0
268,97.76599999999999,1,0
269,87.286,1,0
270,186.53999999999996,1,0
271,52.35999999999999,1,0
272,46.42,1,0
273,32.469,1,0
274,365.71500000000003,1,0
275,378.986,1,0
276,47.285,1,0
277,137.09199999999998,1,0
278,845.198,1,0
279,1032.3739999999998,1,0
280,760.7849999999999,1,0
281,707.083,1,0
282,1052.44,1,0
283,72.339,1,0
284,674.355,1,0
285,58.138,1,0
286,527.6679999999999,1,0
287,359.191,1,0
288,415.288,1,0
289,151.013,1,0
290,47.586999999999996,1,0
291,324.77,1,0
292,157.40099999999998,1,0
293,279.007,1,0
294,269.94899999999996,1,0
295,297.67999999999995,1,0
296,1485.0999999999997,1,0
297,665.4110000000001,1,0
298,1378.0009999999997,1,0
299,328.114,1,0
300,181.407,1,0
301,218.21299999999997,1,0
302,339.96599999999995,1,0
303,356.52799999999996,1,0
304,119.005,1,0
305,50.089,1,0
306,114.84599999999999,1,0
307,115.68999999999998,1,0
308,116.11699999999999,1,0
309,1023.5749999999999,1,0
310,2454.703,1,0
311,3099.899,1,0
312,309.07899999999995,1,0
313,2148.168,1,0
314,663.548,1,0
315,5422.014,1,0
316,233.73499999999999,1,0
317,364.6499999999999,1,0
318,166.196,1,0
319,63.892999999999994,1,0
320,187.43,1,0
321,132.684,1,0
322,193.23099999999997,1,0
323,261.424,1,0
324,136.16899999999998,1,0
325,75.312,1,0
326,248.63599999999997,1,0
327,331.74899999999997,1,0
328,91.764,1,0
329,1540.4009999999998,1,0
330,67.50800000000001,1,0
331,1904.9270000000001,1,0
332,1130.1349999999998,1,0
333,214.21399999999997,1,0
334,206.257,1,0
335,338.41799999999995,1,0
336,231.04899999999998,1,0
337,511.07800000000003,1,0
338,27.576999999999998,1,0
339,162.245,1,0
340,1814.1090000000002,1,0
341,1200.955,1,0
342,363.52299999999997,1,0
343,80.829,1,0
344,129.16799999999998,1,0
345,197.684,1,0
346,1703.973,1,0
347,539.823,1,0
348,1444.885,1,0
349,7131.637000000001,1,0
350,272.376,1,0
351,1195.504,1,0
352,23.900000000000002,1,0
353,48.373,1,0
354,290.635,1,0
355,6115.652999999999,1,0
356,4021.2129999999993,1,0
357,123.23100000000001,1,0
358,244.859,1,0
359,92.41799999999999,1,0
360,121.384,1,0
361,200.09699999999998,1,0
362,1342.637,1,0
363,152.206,1,0
364,141.279,1,0
365,424.96500000000003,1,0
366,669.059,1,0
367,459.917,1,0
368,248.381,1,0
369,175.58999999999997,1,0
370,1828.93,1,0
371,370.035,1,0
372,1002.564,1,0
373,344.89599999999996,1,0
374,1447.2549999999999,1,0
375,89.58500000000001,1,0
376,495.174,1,0
377,1260.834,1,0
378,1724.0149999999999,1,0
379,124.163,1,0
380,102.21399999999998,1,0
381,1402.001,1,0
382,65.663,1,0
383,1338.0869999999998,1,0
384,136.98499999999999,1,0
385,115.88799999999999,1,0
386,54.357,1,0
387,921.2049999999999,1,0
388,483.924,1,0
389,275.67799999999994,1,0
390,91.44999999999999,1,0
391,397.659,1,0
392,144.941,1,0
393,113.61500000000001,1,0
394,414.53499999999997,1,0
395,1392.3060000000003,1,0
396,1379.7459999999999,1,0
397,461.18999999999994,1,0
398,341.73199999999997,1,0
399,1612.1079999999997,1,0
400,67.422,1,0
401,9527.321,1,0
402,2153.286,1,0
403,4539.98,1,0
404,1388.865,1,0
405,1143.5679999999998,1,0
406,1537.8899999999999,1,0
407,3138.011,1,0
408,2263.398,1,0
409,2088.6279999999997,1,0
410,1244.67,1,0
411,220.096,1,0
412,6412.147999999999,1,0
413,331.96899999999994,1,0
414,2018.3919999999998,1,0
415,3727.1820000000002,1,0
416,613.066,1,0
417,1319.641,1,0
418,867.269,1,0
419,88.75699999999999,1,0
420,68.643,1,0
421,191.113,1,0
422,307.19899999999996,1,0
423,87.729,1,0
424,216.38299999999998,1,0
425,76.166,1,0
426,1908.0859999999998,1,0
427,3006.594,1,0
428,3022.409,1,0
429,2211.0519999999997,1,0
430,1918.81,1,0
431,1751.964,1,0
432,2778.348,1,0
433,1066.078,1,0
434,824.611,1,0
435,3392.935,1,0
436,197.531,1,0
437,95.37,1,0
438,111.54399999999998,1,0
439,172.615,1,0
440,181.15999999999997,1,0
441,520.3149999999999,1,0
442,84.303,1,0
443,351.6309999999999,1,0
444,330.483,1,0
445,254.53099999999998,1,0
446,197.37899999999996,1,0
447,66.607,1,0
448,313.55899999999997,1,0
449,339.3639999999999,1,0
450,905.0939999999999,1,0
451,199.74200000000002,1,0
452,277.78599999999994,1,0
453,878.0649999999999,1,0
454,469.013,1,0
455,158.332,1,0
456,600.9949999999999,1,0
457,130.033,1,0
458,29.866,1,0
459,241.885,1,0
460,2275.72,1,0
461,642.663,1,0
462,286.36400000000003,1,0
463,149.973,1,0
464,125.89599999999999,1,0
465,511.846,1,0
466,1152.974,1,0
467,1341.584,1,0
468,302.91200000000003,1,0
469,304.31899999999996,1,0
470,216.91799999999998,1,0
471,547.1719999999999,1,0
472,379.18199999999996,1,0
473,235.266,1,0
474,117.76299999999999,1,0
475,355.91599999999994,1,0
476,528.8109999999999,1,0
477,163.28400000000002,1,0
478,805.9759999999999,1,0
479,395.83,1,0
480,182.806,1,0
481,66.873,1,0
482,28.792,1,0
483,262.21500000000003,1,0
484,2043.302,1,0
