alternative,probability_1,probability_2
person_id,511625.0,511628.0
0,0.0642092343203499,0.033993987175828765
1,0.03222502493653942,0.07326248192395052
2,0.03212971007117165,0.02645795753784224
3,0.03407730533729499,0.023420768770544307
4,0.03327826866339912,0.028259495179219437
5,0.03282818444567064,0.034777233962767405
6,0.027846536696339883,0.030606956723419006
7,0.030896326861770136,0.019894058852878673
8,0.01785073046286199,0.01695185648983946
9,0.022811142644970722,0.015915337602085158
10,0.029638652924057585,0.024333891008235232
11,0.02526206901817798,0.037416958888864364
12,0.04318022155081192,0.038975285509654636
13,0.04050842387537678,0.04952325032831527
14,0.04341818826931688,0.04682837618352243
15,0.04190760018242133,0.040946539193583945
16,0.05327877807998219,0.050444733460228444
17,0.04281549148888264,0.046484105734087865
18,0.04448055187059884,0.06011635572236783
19,0.0410530682177931,0.03223770151471249
20,0.06998834603511682,0.02841072112635601
21,0.03745849075918551,0.029416330878154158
22,0.04503885596185963,0.03614378823174387
23,0.03794247260351566,0.04291066028858112
24,0.026920512193719333,0.03803503905933444
25,0.028716525138265586,0.02962229002808594
26,0.020239287390549757,0.021901253092865516
27,0.0,0.01607861197527497
28,0.0,0.02663397355765654
29,0.0,0.0
