TAZ,work_low,work_med,work_high,work_veryhigh
1,15,16,29,72
2,18,40,45,130
3,1,3,8,9
4,10,21,31,67
5,6,21,26,66
6,1,4,2,11
7,8,14,17,26
8,3,1,5,8
9,8,11,17,51
10,8,4,17,54
11,4,12,9,42
12,11,15,15,49
13,13,13,24,75
14,14,20,37,80
15,13,12,25,53
16,21,22,31,98
17,1,7,15,27
18,2,6,10,20
19,5,8,11,32
20,2,2,5,16
21,7,15,19,46
22,13,11,21,64
23,4,5,16,39
24,6,22,28,59
25,2,2,3,8
26,7,5,12,21
27,2,2,2,7
28,0,2,3,5
29,1,1,3,3
30,2,0,1,5
31,2,1,6,8
32,6,9,7,11
33,0,2,2,2
34,0,2,0,7
35,0,1,0,3
36,2,3,8,10
37,2,0,1,9
38,0,2,1,2
39,1,0,0,1
40,0,3,3,9
41,5,7,11,24
42,0,0,0,1
43,0,0,0,3
44,0,1,3,11
45,1,1,2,4
46,2,3,6,6
47,4,10,11,30
48,2,0,1,4
49,0,0,1,4
50,0,2,4,9
51,0,1,1,5
52,2,2,4,22
53,3,5,4,11
54,0,1,4,5
55,0,0,0,0
56,4,4,6,17
57,0,1,0,1
58,0,0,0,3
59,1,1,2,2
60,0,0,0,0
61,1,1,1,2
62,1,1,1,3
63,1,0,1,2
64,1,0,1,1
65,1,1,3,4
66,2,1,1,3
67,0,1,0,3
68,0,0,0,0
69,9,11,11,31
70,0,3,5,7
71,3,10,4,26
72,0,3,0,3
73,0,2,5,4
74,5,3,4,12
75,6,10,8,9
76,3,4,8,19
77,4,1,10,12
78,0,0,0,3
79,5,17,18,46
80,0,1,0,0
81,1,1,2,6
82,5,1,8,8
83,0,2,0,1
84,0,1,1,1
85,2,2,2,5
86,1,1,1,3
87,0,2,6,8
88,2,2,3,5
89,3,0,1,1
90,9,7,15,35
91,0,1,1,2
92,1,0,0,0
93,0,1,2,5
94,1,1,0,6
95,0,0,0,2
96,0,0,1,3
97,0,0,0,3
98,0,0,1,2
99,0,0,2,2
100,1,1,2,9
101,1,2,3,11
102,2,2,1,3
103,1,0,2,6
104,3,2,3,1
105,1,2,3,4
106,42,79,107,209
107,3,12,13,38
108,5,6,7,10
109,5,8,12,34
110,1,2,1,10
111,1,4,3,16
112,0,0,0,3
113,0,1,0,3
114,0,3,3,3
115,1,2,0,3
116,1,0,7,18
117,0,0,1,1
118,1,0,1,3
119,0,0,0,1
120,0,1,0,2
121,0,1,2,1
122,2,0,0,4
123,2,1,2,6
124,0,0,0,0
125,0,0,0,0
126,0,0,0,3
127,1,0,0,0
128,1,1,0,3
129,1,0,0,0
130,1,2,2,2
131,0,0,1,1
132,3,0,0,3
133,0,1,3,6
134,1,0,0,2
135,0,0,2,0
136,0,4,2,8
137,0,0,0,1
138,5,11,5,24
139,0,1,0,0
140,0,0,0,0
141,1,1,0,2
142,5,9,19,44
143,0,0,0,2
144,0,0,1,0
145,0,0,0,1
146,0,0,0,0
147,2,2,3,5
148,1,0,3,7
149,3,5,2,3
150,0,1,3,14
151,0,0,0,0
152,0,3,2,6
153,0,0,0,1
154,0,0,3,2
155,0,0,1,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,1,0,0,0
161,0,0,0,1
162,1,2,0,0
163,0,0,1,0
164,0,0,1,1
165,0,0,2,5
166,1,2,1,2
167,0,0,0,0
168,1,0,5,1
169,0,0,2,2
170,1,1,1,8
171,0,1,0,3
172,0,1,0,2
173,0,0,0,0
174,0,0,0,0
175,0,0,2,5
176,0,1,1,0
177,2,1,4,6
178,2,0,0,0
179,0,0,0,1
180,0,0,0,2
181,0,0,0,0
182,0,0,0,2
183,0,2,1,3
184,2,0,2,3
185,3,4,1,9
186,0,1,2,10
187,0,1,1,4
188,8,6,11,18
189,1,0,0,0
190,0,1,1,2
191,0,1,0,2
192,1,4,2,6
193,5,3,7,11
194,6,7,7,19
195,0,1,0,0
196,1,0,0,1
197,0,0,0,1
198,1,2,0,0
199,2,3,8,8
200,2,6,7,16
201,1,2,2,6
202,1,1,0,3
203,3,6,9,5
204,2,2,0,4
205,0,0,0,1
206,0,0,0,0
207,1,0,1,2
208,3,11,15,39
209,0,0,2,0
210,1,0,0,3
211,0,2,4,12
212,14,41,57,144
213,2,2,2,5
214,0,0,2,4
215,0,1,1,1
216,1,12,5,14
217,0,0,0,2
218,0,4,0,6
219,0,2,1,1
220,0,0,1,4
221,0,0,0,1
222,0,0,1,2
223,0,1,0,2
224,0,0,0,0
225,1,2,3,2
226,0,0,1,4
227,0,0,1,1
228,0,0,0,0
229,0,0,1,3
230,0,2,1,9
231,0,0,0,0
232,0,0,1,2
233,0,1,0,0
234,0,10,15,26
235,0,2,4,4
236,0,1,1,2
237,1,5,0,6
238,1,1,3,4
239,3,11,17,35
240,2,1,7,6
241,0,1,0,0
242,0,0,0,0
243,0,0,1,0
244,0,1,3,4
245,0,0,0,0
246,7,12,22,56
247,0,0,1,0
248,4,12,22,47
249,3,4,10,17
250,0,2,3,5
251,0,2,11,12
252,2,2,1,2
253,0,0,0,1
254,0,0,1,4
255,3,1,3,4
256,0,1,1,3
257,1,5,10,27
258,1,1,2,1
259,0,3,4,5
260,1,4,2,2
261,0,1,0,3
262,1,0,1,1
263,0,1,0,1
264,0,0,2,1
265,1,4,2,15
266,7,26,21,63
267,0,1,1,1
268,0,0,1,2
269,0,1,0,1
270,0,0,0,3
271,0,1,0,0
272,0,0,0,0
273,0,1,0,1
274,0,2,1,1
275,0,2,1,8
276,0,0,0,0
277,0,0,0,0
278,0,2,8,15
279,0,8,10,18
280,1,2,7,8
281,1,5,2,11
