alternative,probability
tour_id,48410873.0
0,1.0436620525342878e-07
1,1.3450680921688453e-07
2,3.042751863749561e-08
3,1.887384827046625e-07
4,2.5556509523413665e-06
5,1.9423211174649603e-07
6,1.4257181807799854e-07
7,2.1831179215238172e-07
8,5.658381238058901e-07
9,2.7471981123463825e-07
10,1.3856410047757162e-06
11,6.477594646520342e-07
12,3.4140392917106866e-07
13,5.4185431878722885e-08
14,5.5796952082682464e-08
15,1.4899504447605247e-07
16,1.5913967349030625e-07
17,2.5693068989062526e-07
18,7.850021005547202e-07
19,2.6905674387617267e-07
20,3.486434204827045e-07
21,1.6972542920269148e-07
22,6.648025384202414e-08
23,2.3927133215579484e-07
24,1.1467757142449788e-07
25,6.92777370259695e-08
26,1.1454101178345379e-07
27,4.777045724034873e-08
28,1.585435902111722e-08
29,7.18861185209927e-08
30,1.002562242092845e-07
31,3.194737840056198e-07
32,6.811433390599336e-08
33,6.639025262274941e-08
34,9.989701397922e-09
35,2.399569812152309e-07
36,6.296915106575909e-08
37,4.247808540639509e-08
38,2.6817862950954415e-08
39,3.264211419708738e-08
40,6.605721504883095e-07
41,5.4555312705994737e-08
42,1.1593991753096225e-07
43,9.238958736623602e-08
44,1.457600732891939e-07
45,5.966718827510346e-08
46,4.2939993105098115e-07
47,4.194937831864991e-08
48,2.7407107244986866e-08
49,1.2158292316538686e-07
50,7.15058601765688e-08
51,5.086202162086463e-08
52,2.175080824835001e-07
53,5.8658282670611e-08
54,1.5886884709587688e-08
55,1.844427357999797e-07
56,6.286275842883229e-09
57,2.7371123374734268e-08
58,3.7487575224297095e-08
59,4.21788756750271e-09
60,1.300622184645675e-08
61,5.4661623981724407e-08
62,2.1225469284202682e-08
63,2.7056679668322917e-08
64,9.864505372738614e-08
65,1.0390340155483064e-07
66,9.548990327554896e-08
67,1.5724683937031146e-08
68,6.81989044493966e-07
69,2.2783848386439512e-07
70,2.606248333687465e-07
71,5.169068349474448e-08
72,2.0988677445563602e-07
73,2.362251631929398e-07
74,3.11972543296348e-07
75,1.0097706327444853e-07
76,2.6210340796881757e-07
77,1.3572625112574622e-08
78,6.956102799254821e-07
79,9.45976880355627e-09
80,7.397457570721901e-08
81,3.462428623104551e-07
82,3.4949717097960635e-08
83,2.8118157157490485e-08
84,9.019239108231845e-08
85,3.220143505171595e-08
86,1.645667025187937e-07
87,2.2885439520325736e-07
88,5.8664788175167434e-08
89,1.0177525715292167e-06
90,2.118106954686971e-08
91,9.03311741808501e-09
92,7.715036682872484e-09
93,1.1700115901241017e-07
94,9.500393075418348e-09
95,8.940876539419587e-09
96,9.407512555737112e-08
97,5.0499145686129276e-08
98,5.143508337001467e-08
99,2.663993094070592e-07
100,2.5157377032167965e-07
101,1.4135867377554204e-07
102,6.207035866447067e-08
103,1.0827899541521389e-07
104,8.679642904801318e-08
105,1.494324582640124e-06
106,1.0570252598089292e-06
107,1.2113509681789714e-07
108,3.747394782748133e-07
109,3.457369629388389e-08
110,1.2742209243136066e-07
111,5.516387274851415e-08
