alternative,probability
tour_id,48410873.0
0,0.0009217157122973289
1,0.00038144511002850134
2,0.0004358902865700703
3,0.0004357649145520423
4,0.0004899130825532019
5,0.0004774561149130618
6,0.00046284216248003196
7,0.0009486142764396293
8,0.00047675075508245014
9,0.00045385190686602137
10,0.0005070734047131093
11,0.0005540896146298028
12,0.0005295330754321452
13,0.001080209577253957
14,0.0005078103557647854
15,0.00047665689694122675
16,0.06843077533067261
17,0.001806446856690278
18,0.000569556798511817
19,0.24523716193884107
20,0.31158900147886753
21,0.36224204830094897
22,0.0004488225017719773
23,0.0005365695471783867
24,0.0
25,0.0
26,0.0
27,0.0
