tour_id,tdd,start,end,duration,mode_choice_logsum
48410873,37,7,7,0,0
48410873,38,7,8,1,0
48410873,39,7,9,2,0
48410873,40,7,10,3,0
48410873,41,7,11,4,0
48410873,42,7,12,5,0
48410873,43,7,13,6,0
48410873,44,7,14,7,0
48410873,45,7,15,8,0
48410873,46,7,16,9,0
48410873,47,7,17,10,0
48410873,48,7,18,11,0
48410873,54,8,8,0,0
48410873,55,8,9,1,0
48410873,56,8,10,2,0
48410873,57,8,11,3,0
48410873,58,8,12,4,0
48410873,59,8,13,5,0
48410873,60,8,14,6,0
48410873,61,8,15,7,0
48410873,62,8,16,8,0
48410873,63,8,17,9,0
48410873,64,8,18,10,0
48410873,70,9,9,0,0
48410873,71,9,10,1,0
48410873,72,9,11,2,0
48410873,73,9,12,3,0
48410873,74,9,13,4,0
48410873,75,9,14,5,0
48410873,76,9,15,6,0
48410873,77,9,16,7,0
48410873,78,9,17,8,0
48410873,79,9,18,9,0
48410873,85,10,10,0,0
48410873,86,10,11,1,0
48410873,87,10,12,2,0
48410873,88,10,13,3,0
48410873,89,10,14,4,0
48410873,90,10,15,5,0
48410873,91,10,16,6,0
48410873,92,10,17,7,0
48410873,93,10,18,8,0
48410873,99,11,11,0,0
48410873,100,11,12,1,0
48410873,101,11,13,2,0
48410873,102,11,14,3,0
48410873,103,11,15,4,0
48410873,104,11,16,5,0
48410873,105,11,17,6,0
48410873,106,11,18,7,0
48410873,112,12,12,0,0
48410873,113,12,13,1,0
48410873,114,12,14,2,0
48410873,115,12,15,3,0
48410873,116,12,16,4,0
48410873,117,12,17,5,0
48410873,118,12,18,6,0
48410873,124,13,13,0,0
48410873,125,13,14,1,0
48410873,126,13,15,2,0
48410873,127,13,16,3,0
48410873,128,13,17,4,0
48410873,129,13,18,5,0
48410873,135,14,14,0,0
48410873,136,14,15,1,0
48410873,137,14,16,2,0
48410873,138,14,17,3,0
48410873,139,14,18,4,0
48410873,145,15,15,0,0
48410873,146,15,16,1,0
48410873,147,15,17,2,0
48410873,148,15,18,3,0
48410873,154,16,16,0,0
48410873,155,16,17,1,0
48410873,156,16,18,2,0
48410873,162,17,17,0,0
48410873,163,17,18,1,0
48410873,169,18,18,0,0
