alternative,probability
tour_id,48410873.0
0,0.00047865230143964005
1,0.00022690609461412098
2,0.0003566633510835556
3,0.0003359614267826549
4,7.418298956201689e-05
5,0.00014516437562892551
6,0.004875684555262491
7,0.0024434636866213794
8,0.001310168533326743
9,0.0003920245245104456
10,0.0001828600302607943
11,1.569832755484545e-05
12,0.0013974770457158751
13,0.0006624768288014922
14,0.0019572381216851216
15,0.0009808756392951775
16,0.0002165852431581216
17,0.004215739892523616
18,0.014235087197193758
19,0.004000908427368861
20,0.0022838493519570036
21,0.001065302832287368
22,0.00038370953689217713
23,0.001131887794918864
24,0.0010085328188022557
25,0.001585266783792115
26,0.0007944611096511532
27,0.001744925069202258
28,0.0034145423322181723
29,0.006466168478756983
30,0.0019347865619707652
31,0.0017217157825366483
32,0.000620141863595748
33,0.007219637143263513
34,0.0034224836353691987
35,0.005379646080001952
36,0.026817186531844655
37,0.005921450827334087
38,0.006498483743297084
39,0.013101291758911376
40,0.0061111046459957335
41,0.004199253376217242
42,0.01691297796642405
43,0.008017631518982478
44,0.1253567265008474
45,0.06282289205597792
46,0.007779667399025946
47,0.009089343291363029
48,0.028566309944600517
49,0.010289249717564904
50,0.029322574957711497
51,0.13826661796800951
52,0.2173349966263579
53,0.061084094151448394
54,0.008053020586849948
55,0.014667288744630455
56,0.03559552809730524
57,0.038163403794919545
58,0.018091438997037634
59,0.015948271754776908
60,0.004771991561830484
61,0.0009807309807811436
62,0.001379319538873863
63,0.002363523647936184
64,0.0006283681328728648
65,0.0005897150804242881
66,0.00027507291497743904
67,4.365379640134993e-05
68,0.0006852891930589398
69,0.00019396155168829285
70,0.00028376791405596485
71,0.0001022098721083995
72,0.0003657199011346199
73,0.00016136521336450747
74,0.0001822978370234687
75,0.00017598256407589465
76,5.9959075128560125e-05
77,6.539049922441813e-05
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
