expression,household
household_id,456291.0
HHH,0.0017367155923178554
HHM,0.002638543150373255
HHN,0.0014101686593892676
HMH,0.00864777522966665
HMM,0.0181293700517007
HMN,0.005807880277572379
HNH,0.0007698636404513532
HNM,0.0009674314772446911
HNN,0.0010956761977050928
MHH,0.007624769472944697
MHM,0.015984720192508284
MHN,0.005120825537998922
MMH,0.06821799859844807
MMM,0.6011470788261459
MMN,0.12344824680923788
MNH,0.005274397632654984
MNM,0.029793661483168834
MNN,0.02022618505791396
NHH,0.0007698636404513532
NHM,0.0009674314772446911
NHN,0.0010956761977050928
NMH,0.005982056947548711
NMM,0.03379103967529085
NMN,0.0229399069381872
NNH,0.0016370904016816527
NNM,0.005543087798615164
NNN,0.00923253903583237
