tour_id,tdd,start,end,duration,out_period,in_period,mode_choice_logsum
48410863,0,5,5,0,EA,EA,-4.734948120178365
48410863,1,5,6,1,EA,EA,-4.735376134194749
48410863,2,5,7,2,EA,AM,-5.251026512549653
48410863,3,5,8,3,EA,AM,-5.2514435855133685
48410863,4,5,9,4,EA,AM,-5.2518606519411435
48410863,5,5,10,5,EA,AM,-5.252277711833757
48410863,6,5,11,6,EA,AM,-5.252694765191992
48410863,7,5,12,7,EA,MD,-4.752508339358479
48410863,8,5,13,8,EA,MD,-4.7529363008487095
48410863,9,5,14,9,EA,MD,-4.753364254589177
48410863,10,5,15,10,EA,MD,-4.75379220058056
48410863,11,5,16,11,EA,MD,-4.7542201388235386
48410863,12,5,17,12,EA,PM,-4.797930788881467
48410863,13,5,18,13,EA,PM,-4.798355877540933
48410863,14,5,19,14,EA,PM,-4.7987809587360495
48410863,15,5,20,15,EA,PM,-4.799206032467534
48410863,16,5,21,16,EA,EV,-4.741123251759528
48410863,17,5,22,17,EA,EV,-4.7415511416924705
48410863,18,5,23,18,EA,EV,-4.741979023881007
48410863,19,6,6,0,EA,EA,-4.734948120178365
48410863,20,6,7,1,EA,AM,-5.250609433049212
48410863,21,6,8,2,EA,AM,-5.251026512549653
48410863,22,6,9,3,EA,AM,-5.2514435855133685
48410863,23,6,10,4,EA,AM,-5.2518606519411435
48410863,24,6,11,5,EA,AM,-5.252277711833757
48410863,25,6,12,6,EA,MD,-4.752080370117809
48410863,26,6,13,7,EA,MD,-4.752508339358479
48410863,27,6,14,8,EA,MD,-4.7529363008487095
48410863,28,6,15,9,EA,MD,-4.753364254589177
48410863,29,6,16,10,EA,MD,-4.75379220058056
48410863,30,6,17,11,EA,PM,-4.797505692756936
48410863,31,6,18,12,EA,PM,-4.797930788881467
48410863,32,6,19,13,EA,PM,-4.798355877540933
48410863,33,6,20,14,EA,PM,-4.7987809587360495
48410863,34,6,21,15,EA,EV,-4.740695354081501
48410863,35,6,22,16,EA,EV,-4.741123251759528
48410863,36,6,23,17,EA,EV,-4.7415511416924705
48410863,37,7,7,0,AM,AM,-5.270554588964101
48410863,38,7,8,1,AM,AM,-5.270968624494755
48410863,39,7,9,2,AM,AM,-5.271382653880199
48410863,40,7,10,3,AM,AM,-5.271796677121218
48410863,41,7,11,4,AM,AM,-5.272210694218605
48410863,42,7,12,5,AM,MD,-4.777220745108021
48410863,43,7,13,6,AM,MD,-4.777645100764871
48410863,44,7,14,7,AM,MD,-4.778069449032642
48410863,45,7,15,8,AM,MD,-4.778493789912058
48410863,46,7,16,9,AM,MD,-4.778918123403843
48410863,47,7,17,10,AM,PM,-4.8212759704918495
48410863,48,7,18,11,AM,PM,-4.821697589150533
48410863,49,7,19,12,AM,PM,-4.822119200718626
48410863,50,7,20,13,AM,PM,-4.822540805196882
48410863,51,7,21,14,AM,EV,-4.765804016637643
48410863,52,7,22,15,AM,EV,-4.766228304194296
48410863,53,7,23,16,AM,EV,-4.7666525843677245
48410863,54,8,8,0,AM,AM,-5.270554588964101
48410863,55,8,9,1,AM,AM,-5.270968624494755
48410863,56,8,10,2,AM,AM,-5.271382653880199
48410863,57,8,11,3,AM,AM,-5.271796677121218
48410863,58,8,12,4,AM,MD,-4.776796382061373
48410863,59,8,13,5,AM,MD,-4.777220745108021
48410863,60,8,14,6,AM,MD,-4.777645100764871
48410863,61,8,15,7,AM,MD,-4.778069449032642
48410863,62,8,16,8,AM,MD,-4.778493789912058
48410863,63,8,17,9,AM,PM,-4.82085434474183
48410863,64,8,18,10,AM,PM,-4.8212759704918495
48410863,65,8,19,11,AM,PM,-4.821697589150533
48410863,66,8,20,12,AM,PM,-4.822119200718626
48410863,67,8,21,13,AM,EV,-4.765379721697038
48410863,68,8,22,14,AM,EV,-4.765804016637643
48410863,69,8,23,15,AM,EV,-4.766228304194296
48410863,70,9,9,0,AM,AM,-5.270554588964101
48410863,71,9,10,1,AM,AM,-5.270968624494755
48410863,72,9,11,2,AM,AM,-5.271382653880199
48410863,73,9,12,3,AM,MD,-4.776372011624199
48410863,74,9,13,4,AM,MD,-4.776796382061373
48410863,75,9,14,5,AM,MD,-4.777220745108021
48410863,76,9,15,6,AM,MD,-4.777645100764871
48410863,77,9,16,7,AM,MD,-4.778069449032642
48410863,78,9,17,8,AM,PM,-4.820432711899721
48410863,79,9,18,9,AM,PM,-4.82085434474183
48410863,80,9,19,10,AM,PM,-4.8212759704918495
48410863,81,9,20,11,AM,PM,-4.821697589150533
48410863,82,9,21,12,AM,EV,-4.76495541937176
48410863,83,9,22,13,AM,EV,-4.765379721697038
48410863,84,9,23,14,AM,EV,-4.765804016637643
48410863,85,10,10,0,AM,AM,-5.270554588964101
48410863,86,10,11,1,AM,AM,-5.270968624494755
48410863,87,10,12,2,AM,MD,-4.775947633795778
48410863,88,10,13,3,AM,MD,-4.776372011624199
48410863,89,10,14,4,AM,MD,-4.776796382061373
48410863,90,10,15,5,AM,MD,-4.777220745108021
48410863,91,10,16,6,AM,MD,-4.777645100764871
48410863,92,10,17,7,AM,PM,-4.820011071964775
48410863,93,10,18,8,AM,PM,-4.820432711899721
48410863,94,10,19,9,AM,PM,-4.82085434474183
48410863,95,10,20,10,AM,PM,-4.8212759704918495
48410863,96,10,21,11,AM,EV,-4.764531109661083
48410863,97,10,22,12,AM,EV,-4.76495541937176
48410863,98,10,23,13,AM,EV,-4.765379721697038
48410863,99,11,11,0,AM,AM,-5.270554588964101
48410863,100,11,12,1,AM,MD,-4.775523248575387
48410863,101,11,13,2,AM,MD,-4.775947633795778
48410863,102,11,14,3,AM,MD,-4.776372011624199
48410863,103,11,15,4,AM,MD,-4.776796382061373
48410863,104,11,16,5,AM,MD,-4.777220745108021
48410863,105,11,17,6,AM,PM,-4.819589424936241
48410863,106,11,18,7,AM,PM,-4.820011071964775
48410863,107,11,19,8,AM,PM,-4.820432711899721
48410863,108,11,20,9,AM,PM,-4.82085434474183
48410863,109,11,21,10,AM,EV,-4.764106792564286
48410863,110,11,22,11,AM,EV,-4.764531109661083
48410863,111,11,23,12,AM,EV,-4.76495541937176
48410863,112,12,12,0,MD,MD,-4.767437068362784
48410863,113,12,13,1,MD,MD,-4.7678650862397145
48410863,114,12,14,2,MD,MD,-4.768293096363005
48410863,115,12,15,3,MD,MD,-4.768721098733335
48410863,116,12,16,4,MD,MD,-4.76914909335138
48410863,117,12,17,5,MD,PM,-4.812879502356326
48410863,118,12,18,6,MD,PM,-4.813304645189356
48410863,119,12,19,7,MD,PM,-4.813729780553805
48410863,120,12,20,8,MD,PM,-4.814154908450392
