alternative,utility_1,utility_2
tour_id,48410912.0,48410953.0
0,-6.349628338121796,-5.477060065065038
1,-6.196114905719946,-5.408928272739894
2,-7.943826384213065,-7.19156115546943
3,-6.1810209500540205,-5.514131904660027
4,-6.027507486603853,-5.445994570590173
5,-4.315021187591963,-3.818884321675381
6,-4.161507724099895,-3.750746862696676
7,-3.387183325595105,-3.1020827205371
8,-3.1162519317374873,-2.91652791506245
9,-1.5104087857556197,-1.3960612279851672
10,-1.0340474537775097,-1.005076394020673
11,-0.9522454641928545,-1.008650907814528
12,-1.0681359801722283,-1.2021453312251142
13,-0.814920312395283,-1.0343039486473673
14,-2.0507664986000904,-2.3555244242951483
15,-1.8972529945352132,-2.287385213894448
16,-1.7065772790262308,-2.1993933830948
17,-2.622587509012114,-3.2007836878111187
18,-2.852974130447742,-3.516550391880372
19,-5.570271750641947,-4.654041476045187
20,-7.317983260141483,-6.4366797799156
21,-7.164469796733216,-6.368542566449579
22,-5.401664362574171,-4.691113315640176
23,-3.8896022579191696,-3.2644273403654878
24,-3.535664600112114,-2.9958657326555302
25,-3.340266867966553,-2.9261276109732566
26,-2.4904087767562313,-2.161646170158225
27,-2.3368953442576377,-2.093509326042599
28,-0.35249812231942534,-0.19448856300897166
29,0.021393020325722434,0.09402608162256043
30,0.21813418268684648,0.21316111410681582
31,-0.1890770940511739,-0.2794244435640586
32,-0.731286878566194,-0.907008513278277
33,-1.271409911120241,-1.5325058352752972
34,-1.080734056813305,-1.4445080250916373
35,-1.996744286819876,-2.445898389348444
36,-2.2271309082761914,-2.7616650855351947
37,-6.916099401286608,-5.891491874916896
38,-6.762585666072464,-5.823327472558775
39,-6.609071930836463,-5.755162997530938
40,-3.487717583643944,-2.7191578336596907
41,-3.334203848364229,-2.6509932174362847
42,-2.938354836492622,-2.3819486351238295
43,-2.6674231695199198,-2.1963674297727382
44,-1.9349827665112302,-1.549277416533257
45,-1.4029149848979656,-1.1025599528133898
46,0.479012320866547,0.6940171744007915
47,0.9678413286340791,1.1067910179687184
48,0.8732620072185693,0.9268644356159359
49,-0.32937444880597455,-0.36111900548383635
50,-0.17586080666386017,-0.29295234230642353
