alternative,probability_1,probability_2
person_id,1180753.0,1180754.0
0,0.8513935920419995,0.8711141131080776
1,0.023241802724650998,0.021153531744815806
2,0.008397880916544281,0.007643333121009866
3,0.0005610177839540021,0.0005234753612844473
4,0.012783012965479483,0.01163446199777185
5,0.000853965146376432,0.0007968191496053906
6,0.0003085602993498545,0.00028791193220613804
7,1.2362969909653146e-05,1.414415010022422e-05
8,0.020258474664710854,0.018438255069904128
9,0.0013533610056667975,0.001262796227949515
10,0.0004890052934934304,0.00045628183277425077
11,1.9592791884952625e-05,2.241560008059584e-05
12,0.0007443498031271066,0.0006945390917338848
13,2.9823584685736735e-05,3.4120382190078764e-05
14,1.077605363329456e-05,1.2328600748140224e-05
15,1.3623342672212939e-06,1.5586109570008329e-06
16,0.031018884933961828,0.028231844789019214
17,0.0020722068173284376,0.0019335380149839195
18,0.0007487433867562343,0.000698638663696437
19,2.9999620754916354e-05,3.4321780446624365e-05
20,0.0011397156634915108,0.001063447694122792
21,4.566456048621458e-05,5.224362774461431e-05
22,1.6499819123876586e-05,1.887701094641005e-05
23,2.085946280552988e-06,2.3864765108025485e-06
24,0.0018062174352923245,0.0016853482216446813
25,7.236903726714115e-05,8.27955202670135e-05
26,2.6148856188759025e-05,2.991622155402959e-05
27,3.3058004392742483e-06,3.7820797070753406e-06
28,3.980303733943793e-05,4.553761261962292e-05
29,5.031994415791226e-06,5.756973028371477e-06
30,1.8181932949508362e-06,2.0801473321492044e-06
31,1.553486351882378e-07,1.7773030509859584e-07
32,0.02855711722964194,0.021657689621361012
33,0.0019077492028645017,0.0014832883402614884
34,0.0006893204806052298,0.0005359514919728169
35,2.761874543739523e-05,2.632950392439843e-05
36,0.0010492638236376851,0.0008158099571595022
37,4.204046050724197e-05,4.007801413058459e-05
38,1.5190335500182347e-05,1.4481251477246686e-05
39,1.9203982540090252e-06,1.830754169480745e-06
40,0.001662869672835723,0.0012928927939732163
41,6.662557617509167e-05,6.351549795568215e-05
42,2.4073591078248485e-05,2.294983717511267e-05
43,3.0434405002997255e-06,2.9013728656848177e-06
44,3.6644128433954224e-05,3.4933582540704706e-05
45,4.6326376572395935e-06,4.416386387031696e-06
46,1.6738950861902637e-06,1.5957577559335531e-06
47,1.430196216266357e-07,1.363434735810228e-07
48,0.0025461128685920374,0.001979620552482302
49,0.00010201415038586641,9.725213547506309e-05
50,3.6860423302461804e-05,3.513978077668565e-05
51,4.659982167690208e-06,4.442454457243363e-06
52,5.6107876935974076e-05,5.348876433667291e-05
53,7.093290921895995e-06,6.76217649307443e-06
54,2.5629944963480304e-06,2.4433540546862553e-06
55,2.189853510670864e-07,2.08763126963033e-07
56,8.891956899892799e-05,8.47688084246992e-05
57,1.1241422880404882e-05,1.071667388065682e-05
58,4.061824799073282e-06,3.872219041586752e-06
59,3.470472257609089e-07,3.3084708041268787e-07
60,6.182792967184143e-06,5.8941805326466406e-06
61,5.282653124784851e-07,5.036059168420229e-07
62,1.9087629471314947e-07,1.819661998086213e-07
63,0.0,0.0
64,0.004629633925867839,0.0029994086468000582
65,0.0001854938079811673,0.0001473509131322693
66,6.702384185242092e-05,5.324180039254849e-05
67,8.473313105482173e-06,6.730954725319924e-06
68,0.00010202176571804762,8.104313832107552e-05
69,1.289783367546455e-05,1.0245665826757901e-05
70,4.660330034256084e-06,3.7020313158652396e-06
71,3.981842372639558e-07,3.163060351948624e-07
72,0.00016168374088562206,0.0001284368848611725
73,2.0440442128132652e-05,1.623729570915623e-05
74,7.385674893949114e-06,5.866966404786788e-06
75,6.310409998239787e-07,5.012807088277805e-07
76,1.1242262049962242e-05,8.930527637355866e-06
77,9.605524730182106e-07,7.630350875381406e-07
78,3.470731327541709e-07,2.7570485285523253e-07
79,0.0,0.0
80,0.0002475630291632913,0.00019665690624403573
81,3.129750550648885e-05,2.486183266889201e-05
82,1.1308620391550502e-05,8.9832407835972e-06
83,9.662222100190702e-07,7.675389625374682e-07
84,1.721365693601207e-05,1.3674030931126941e-05
85,1.4707556776466555e-06,1.1683257487371615e-06
86,5.314231079462649e-07,4.2214713832076243e-07
87,0.0,0.0
88,2.7280143880550618e-05,2.167055684999978e-05
89,2.33084850293483e-06,1.851558599278422e-06
90,8.421975005145007e-07,6.690173224063972e-07
91,0.0,0.0
92,1.2819688294653039e-06,1.0183589397657848e-06
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
