alternative,utility_1,utility_2
person_id,1180753.0,1180754.0
0,0.0,0.0
1,-3.6009220281051464,-3.7179661050500474
2,-4.618895124804589,-4.73593920174949
3,-7.32487720049712,-7.4170382973106594
4,-4.198757349527458,-4.315801426472359
5,-6.904739425219988,-6.996900522033528
6,-7.922712521919432,-8.01487361873297
7,-11.139924098851635,-11.028227143025834
8,-3.73830131902194,-3.855345395966841
9,-6.444283394714471,-6.536444491528011
10,-7.462256491413914,-7.554417588227453
11,-10.679468068346118,-10.567771112520317
12,-7.042118716136783,-7.134279812950322
13,-10.259330293068986,-10.147633337243185
14,-11.277303389768429,-11.165606433942628
15,-13.345430204550128,-13.233733248724326
16,-3.312278316566494,-3.429322393511394
17,-6.018260392259025,-6.110421489072564
18,-7.036233488958467,-7.128394585772006
19,-10.253445065890672,-10.14174811006487
20,-6.616095713681336,-6.708256810494875
21,-9.83330729061354,-9.721610334787739
22,-10.851280387312983,-10.739583431487182
23,-12.919407202094682,-12.80771024626888
24,-6.155639683175818,-6.247800779989357
25,-9.372851260108023,-9.261154304282222
26,-10.390824356807466,-10.279127400981665
27,-12.458951171589165,-12.347254215763362
28,-9.970686581530334,-9.858989625704533
29,-12.038813396312033,-11.92711644048623
30,-13.056786493011476,-12.945089537185675
31,-15.516713234550984,-15.405016278725181
32,-3.3949683319485966,-3.6944124119690973
33,-6.100950407641128,-6.375511507530266
34,-7.118923504340571,-7.39348460422971
35,-10.336135081272774,-10.406838128522573
36,-6.69878572906344,-6.973346828952579
37,-9.915997305995642,-9.98670035324544
38,-10.933970402695085,-11.004673449944884
39,-13.002097217476786,-13.072800264726583
40,-6.238329698557922,-6.512890798447061
41,-9.455541275490125,-9.526244322739924
42,-10.473514372189568,-10.544217419439367
43,-12.541641186971269,-12.612344234221066
44,-10.053376596912436,-10.124079644162235
45,-12.121503411694137,-12.192206458943934
46,-13.13947650839358,-13.210179555643377
47,-15.59940324993309,-15.670106297182887
48,-5.812306696102476,-6.086867795991615
49,-9.029518273034679,-9.100221320284477
50,-10.047491369734121,-10.11819441698392
51,-12.115618184515823,-12.18632123176562
52,-9.62735359445699,-9.698056641706788
53,-11.69548040923869,-11.766183456488488
54,-12.713453505938134,-12.78415655318793
55,-15.173380247477642,-15.244083294727439
56,-9.166897563951473,-9.237600611201271
57,-11.235024378733174,-11.30572742598297
58,-12.252997475432617,-12.323700522682413
59,-14.712924216972123,-14.78362726422192
60,-11.832859700155485,-11.903562747405282
61,-14.292786441694995,-14.363489488944792
62,-15.31075953839444,-15.381462585644236
63,-993.4711869768314,-993.8692900229845
64,-5.2143967277030026,-5.671357830667741
65,-8.431608304635207,-8.684711354960605
66,-9.44958140133465,-9.702684451660048
67,-11.51770821611635,-11.770811266441747
68,-9.029443626057517,-9.282546676382916
69,-11.097570440839219,-11.350673491164615
70,-12.115543537538661,-12.368646587864058
71,-14.575470279078168,-14.828573329403564
72,-8.568987595552,-8.822090645877399
73,-10.637114410333702,-10.890217460659098
74,-11.655087507033144,-11.908190557358541
75,-14.11501424857265,-14.368117298898046
76,-11.234949731756013,-11.48805278208141
77,-13.69487647329552,-13.947979523620917
78,-14.712849569994964,-14.96595262032036
79,-992.873277008432,-993.4537800576607
80,-8.142964593096554,-8.396067643421953
81,-10.211091407878255,-10.464194458203652
82,-11.229064504577698,-11.482167554903095
83,-13.688991246117203,-13.9420942964426
84,-10.808926729300566,-11.062029779625963
85,-13.268853470840073,-13.52195652116547
86,-14.286826567539515,-14.539929617864912
87,-992.4472540059764,-993.0277570552051
88,-10.34847069879505,-10.601573749120446
89,-12.808397440334556,-13.061500490659952
90,-13.826370537034,-14.079473587359395
91,-991.986797975471,-992.5673010246996
92,-13.406232761756868,-13.659335812082263
93,-991.5666602001938,-992.1471632494225
94,-992.5846332968933,-993.165136346122
95,-991.7567602032277,-992.3372632524564
