alternative,probability
person_id,1180752.0
0,0.8946923858744368
1,0.03099978047953899
2,0.009477116790444079
3,0.000328696565059443
4,0.0073793099430843785
5,0.00025593794868567535
6,7.824422603256126e-05
7,2.7110503926102837e-06
8,0.015460371517466815
9,0.0005362148768134014
10,0.0001639292580051768
11,5.679914056409759e-06
12,0.0001276427029769
13,4.4226368840987185e-06
14,1.3520691315860755e-06
15,4.684717000159193e-08
16,0.015323385822968943
17,0.000531463777060243
18,0.0001624767726473062
19,5.629587518601371e-06
20,0.000126511732463344
21,4.383450375262518e-06
22,1.340089204144474e-06
23,4.6432083461745345e-08
24,0.0002650543750414876
25,9.183754558710361e-06
26,2.807617124421833e-06
27,9.727972753351544e-08
28,2.186137136508706e-06
29,7.574637693316559e-08
30,2.3156849808095327e-08
31,0.0
32,0.02003899357327668
33,0.0006950160581988201
34,0.0002124772579964493
35,7.362032739288817e-06
36,0.00016544436217072646
37,5.732410246239147e-06
38,1.7524872935859777e-06
39,6.072105948602187e-08
40,0.00034662201809626796
41,1.2009956592275535e-05
42,3.6716312023010715e-06
43,1.272165210336343e-07
44,2.858897409157028e-06
45,9.905651258140839e-08
46,3.028312214042045e-08
47,0.0
48,0.0003435507944957532
49,1.1903543092262069e-05
50,3.639098934262168e-06
51,1.260893266796237e-07
52,2.833566320143476e-06
53,9.817882829321577e-08
54,3.001480035311523e-08
55,0.0
56,5.936596831774862e-06
57,2.0569418716247329e-07
58,6.288392384394114e-08
59,0.0
60,4.8964255136082546e-08
61,0.0
62,0.0
63,0.0
64,0.002008482787451812
65,6.959105259992294e-05
66,2.1275071076542505e-05
67,7.371493426150211e-07
68,1.6565728481182988e-05
69,5.739776763099537e-07
70,1.7547393527794537e-07
71,0.0
72,3.470681117230879e-05
73,1.202539016104141e-06
74,3.676349485186465e-07
75,0.0
76,2.862571276703493e-07
77,0.0
78,0.0
79,0.0
80,3.4399293553674994e-05
81,1.191883991281762e-06
82,3.6437754110850636e-07
83,0.0
84,2.8372076356069083e-07
85,0.0
86,0.0
87,0.0
88,5.944225741566043e-07
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
