label,value_1,value_2,value_3
person_id,1180752,1180753,1180754
age,1,38,38
earning,0.0,56000.0,120000.0
edu,0.0,22.0,22.0
hispanic,0,0,0
hours,0.0,40.0,40.0
PNUM,3,1,2
race_id,9,9,2
relate,2,0,1
sex,1,2,1
student,0,0,0
work_at_home,0,0,0
worker,0,1,1
household_id,456291,456291,456291
person_age,19 and under,35 to 60,35 to 60
person_sex,male,female,male
race,other,other,black
hispanic.1,0,0,0
p_hispanic,no,no,no
MAR,5,1,1
TAZ,755,755,755
ptype,8,1,1
pemploy,4,1,1
pstudent,1,3,3
home_x,-121.9209833,-121.9209833,-121.9209833
home_y,37.5205143,37.5205143,37.5205143
