TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment,TAZ,TAZ_chooser,school_segment,household_id
1,0.0,1,0,1,755,1,456291
2,1.0,1,0,2,755,1,456291
3,6.0,1,0,3,755,1,456291
4,3.0,1,0,4,755,1,456291
5,19.0,1,0,5,755,1,456291
6,144.0,1,0,6,755,1,456291
7,300.0,1,0,7,755,1,456291
8,554.0,1,0,8,755,1,456291
9,734.0,1,0,9,755,1,456291
10,349.0,1,0,10,755,1,456291
11,412.0,1,0,11,755,1,456291
12,68.0,1,0,12,755,1,456291
13,1.0,1,0,13,755,1,456291
14,18.0,1,0,14,755,1,456291
15,20.0,1,0,15,755,1,456291
16,219.0,1,0,16,755,1,456291
17,388.0,1,0,17,755,1,456291
18,88.0,1,0,18,755,1,456291
19,25.0,1,0,19,755,1,456291
20,256.0,1,0,20,755,1,456291
21,112.0,1,0,21,755,1,456291
22,57.0,1,0,22,755,1,456291
23,79.0,1,0,23,755,1,456291
24,60.0,1,0,24,755,1,456291
25,413.0,1,0,25,755,1,456291
26,190.0,1,0,26,755,1,456291
27,308.0,1,0,27,755,1,456291
28,213.0,1,0,28,755,1,456291
29,153.0,1,0,29,755,1,456291
30,510.0,1,0,30,755,1,456291
31,124.0,1,0,31,755,1,456291
32,233.0,1,0,32,755,1,456291
33,359.0,1,0,33,755,1,456291
34,177.0,1,0,34,755,1,456291
35,393.0,1,0,35,755,1,456291
36,709.0,1,0,36,755,1,456291
37,247.0,1,0,37,755,1,456291
38,249.0,1,0,38,755,1,456291
39,224.0,1,0,39,755,1,456291
40,155.0,1,0,40,755,1,456291
41,149.0,1,0,41,755,1,456291
42,362.0,1,0,42,755,1,456291
43,313.0,1,0,43,755,1,456291
44,143.0,1,0,44,755,1,456291
45,207.0,1,0,45,755,1,456291
46,192.0,1,0,46,755,1,456291
47,90.0,1,0,47,755,1,456291
48,277.0,1,0,48,755,1,456291
49,278.0,1,0,49,755,1,456291
50,378.0,1,0,50,755,1,456291
51,260.0,1,0,51,755,1,456291
52,369.0,1,0,52,755,1,456291
53,0.0,1,0,53,755,1,456291
54,716.0,1,0,54,755,1,456291
55,282.0,1,0,55,755,1,456291
56,1.0,1,0,56,755,1,456291
57,542.0,1,0,57,755,1,456291
58,578.0,1,0,58,755,1,456291
59,834.0,1,0,59,755,1,456291
60,451.0,1,0,60,755,1,456291
61,412.0,1,0,61,755,1,456291
62,929.0,1,0,62,755,1,456291
63,676.0,1,0,63,755,1,456291
64,672.0,1,0,64,755,1,456291
65,615.0,1,0,65,755,1,456291
66,262.0,1,0,66,755,1,456291
67,342.0,1,0,67,755,1,456291
68,313.0,1,0,68,755,1,456291
69,294.0,1,0,69,755,1,456291
70,533.0,1,0,70,755,1,456291
71,516.0,1,0,71,755,1,456291
72,121.0,1,0,72,755,1,456291
73,220.0,1,0,73,755,1,456291
74,126.0,1,0,74,755,1,456291
75,6.0,1,0,75,755,1,456291
76,80.0,1,0,76,755,1,456291
77,342.0,1,0,77,755,1,456291
78,423.0,1,0,78,755,1,456291
79,91.0,1,0,79,755,1,456291
80,253.0,1,0,80,755,1,456291
81,476.0,1,0,81,755,1,456291
82,68.0,1,0,82,755,1,456291
83,171.0,1,0,83,755,1,456291
84,149.0,1,0,84,755,1,456291
85,223.0,1,0,85,755,1,456291
86,533.0,1,0,86,755,1,456291
87,377.0,1,0,87,755,1,456291
88,286.0,1,0,88,755,1,456291
89,497.0,1,0,89,755,1,456291
90,296.0,1,0,90,755,1,456291
91,461.0,1,0,91,755,1,456291
92,299.0,1,0,92,755,1,456291
93,226.0,1,0,93,755,1,456291
94,96.0,1,0,94,755,1,456291
95,219.0,1,0,95,755,1,456291
96,217.0,1,0,96,755,1,456291
97,288.0,1,0,97,755,1,456291
98,330.0,1,0,98,755,1,456291
99,319.0,1,0,99,755,1,456291
100,524.0,1,0,100,755,1,456291
101,619.0,1,0,101,755,1,456291
102,305.0,1,0,102,755,1,456291
103,230.0,1,0,103,755,1,456291
104,155.0,1,0,104,755,1,456291
105,618.0,1,0,105,755,1,456291
106,501.0,1,0,106,755,1,456291
107,111.0,1,0,107,755,1,456291
108,60.0,1,0,108,755,1,456291
109,342.0,1,0,109,755,1,456291
110,62.0,1,0,110,755,1,456291
111,41.0,1,0,111,755,1,456291
112,202.0,1,0,112,755,1,456291
113,584.0,1,0,113,755,1,456291
114,152.0,1,0,114,755,1,456291
115,201.0,1,0,115,755,1,456291
116,474.0,1,0,116,755,1,456291
117,609.0,1,0,117,755,1,456291
118,555.0,1,0,118,755,1,456291
119,265.0,1,0,119,755,1,456291
120,392.0,1,0,120,755,1,456291
121,378.0,1,0,121,755,1,456291
122,553.0,1,0,122,755,1,456291
123,403.0,1,0,123,755,1,456291
124,758.0,1,0,124,755,1,456291
125,444.0,1,0,125,755,1,456291
126,755.0,1,0,126,755,1,456291
127,435.0,1,0,127,755,1,456291
128,429.0,1,0,128,755,1,456291
129,262.0,1,0,129,755,1,456291
130,405.0,1,0,130,755,1,456291
131,794.0,1,0,131,755,1,456291
132,499.0,1,0,132,755,1,456291
133,779.0,1,0,133,755,1,456291
134,1319.0,1,0,134,755,1,456291
135,1027.0,1,0,135,755,1,456291
136,476.0,1,0,136,755,1,456291
137,859.0,1,0,137,755,1,456291
138,1502.0,1,0,138,755,1,456291
139,779.0,1,0,139,755,1,456291
140,713.0,1,0,140,755,1,456291
141,471.0,1,0,141,755,1,456291
142,3.0,1,0,142,755,1,456291
143,173.0,1,0,143,755,1,456291
144,794.0,1,0,144,755,1,456291
145,1323.0,1,0,145,755,1,456291
146,9.0,1,0,146,755,1,456291
147,916.0,1,0,147,755,1,456291
148,640.0,1,0,148,755,1,456291
149,526.0,1,0,149,755,1,456291
150,430.0,1,0,150,755,1,456291
151,332.0,1,0,151,755,1,456291
152,431.0,1,0,152,755,1,456291
153,555.0,1,0,153,755,1,456291
154,591.0,1,0,154,755,1,456291
155,528.0,1,0,155,755,1,456291
156,507.0,1,0,156,755,1,456291
157,977.0,1,0,157,755,1,456291
158,95.0,1,0,158,755,1,456291
159,684.0,1,0,159,755,1,456291
160,739.0,1,0,160,755,1,456291
161,729.0,1,0,161,755,1,456291
