alternative,probability
person_id,1180752.0
0,0.024309815412158948
1,0.024094389956294985
2,0.019562586619282327
3,0.015357831626257827
4,0.021999047065891147
5,0.024289100804881694
6,0.01765233120181647
7,0.018189792958145663
8,0.03500790765321613
9,0.03723740520148835
10,0.39638909041678716
11,0.029239449922471943
12,0.03458621455616918
13,0.07093527519388489
14,0.04123991891264619
15,0.07918137152250009
16,0.03171118199291983
17,0.02593682003241471
18,0.02536931702236587
19,0.012776879503059288
20,0.00986938632177008
21,0.005064886103577243
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
