label,value_1,value_2,value_3,value_4
tour_id,48410863,48410912,48410953,48410873
person_id,1180752,1180753,1180754,1180753
tour_type,school,work,work,business
tour_type_count,1,1,1,1
tour_type_num,1,1,1,1
tour_num,1,1,1,1
tour_count,1,1,1,1
tour_category,mandatory,mandatory,mandatory,atwork
number_of_participants,1,1,1,1
destination,1257.0,697.0,604.0,660.0
origin,755.0,755.0,755.0,697.0
household_id,456291,456291,456291,456291
tdd,42.0,48.0,65.0,114.0
start,7.0,7.0,8.0,12.0
end,12.0,18.0,19.0,14.0
duration,5.0,11.0,11.0,2.0
composition,,,,
destination_logsum,,,,13.429410879710963
tour_mode,SHARED3FREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE
mode_choice_logsum,-4.777220745108021,-0.9434598892574753,-0.2822704024159821,-0.30404256871224444
atwork_subtour_frequency,,business1,no_subtours,
parent_tour_id,,,,48410912.0
stop_frequency,0out_1in,0out_1in,1out_0in,0out_0in
primary_purpose,school,work,work,atwork
