label,value_1,value_2,value_3
tour_id,48410863,48410912,48410953
person_id,1180752,1180753,1180754
tour_type,school,work,work
tour_type_count,1,1,1
tour_type_num,1,1,1
tour_num,1,1,1
tour_count,1,1,1
tour_category,mandatory,mandatory,mandatory
number_of_participants,1,1,1
destination,1257.0,697.0,604.0
origin,755,755,755
household_id,456291,456291,456291
tdd,42.0,48.0,65.0
start,7.0,7.0,8.0
end,12.0,18.0,19.0
duration,5.0,11.0,11.0
composition,,,
destination_logsum,,,
tour_mode,SHARED3FREE,DRIVEALONEFREE,DRIVEALONEFREE
mode_choice_logsum,-4.777220745108021,-0.9434598892574753,-0.2822704024159821
