label,value_1,value_2
tour_id,48410912,48410953
person_id,1180753,1180754
tour_type,work,work
tour_type_count,1,1
tour_type_num,1,1
tour_num,1,1
tour_count,1,1
tour_category,mandatory,mandatory
number_of_participants,1,1
destination,697.0,604.0
origin,755,755
household_id,456291,456291
tdd,48.0,65.0
start,7.0,8.0
end,18.0,19.0
duration,11.0,11.0
composition,,
destination_logsum,,
age,38,38
earning,56000.0,120000.0
edu,22.0,22.0
hispanic,0,0
hours,40.0,40.0
PNUM,1,2
race_id,9,2
relate,0,1
sex,2,1
student,0,0
work_at_home,0,0
worker,1,1
household_id_r,456291,456291
person_age,35 to 60,35 to 60
person_sex,female,male
race,other,black
hispanic.1,0,0
p_hispanic,no,no
MAR,1,1
TAZ,755,755
ptype,1,1
pemploy,1,1
pstudent,3,3
home_x,-121.9209833,-121.9209833
home_y,37.5205143,37.5205143
age_16_to_19,False,False
age_16_p,True,True
adult,True,True
male,False,True
female,True,False
has_non_worker,False,False
has_retiree,False,False
has_preschool_kid,True,True
has_driving_kid,False,False
has_school_kid,False,False
has_full_time,True,True
has_part_time,False,False
has_university,False,False
student_is_employed,False,False
nonstudent_to_school,False,False
is_student,False,False
is_gradeschool,False,False
is_highschool,False,False
is_university,False,False
school_segment,0,0
is_worker,True,True
home_taz,755,755
value_of_time,50.0,50.0
school_taz,-1,-1
distance_to_school,,
roundtrip_auto_time_to_school,0.0,0.0
workplace_taz,697,604
workplace_location_logsum,13.694958406839737,13.70945737419383
distance_to_work,29.34000015258789,9.989999771118164
workplace_in_cbd,False,False
work_taz_area_type,5.0,3.0
roundtrip_auto_time_to_work,69.47000122070312,31.170000076293945
work_auto_savings,1112.9300537109375,116.22340393066406
work_auto_savings_ratio,1.0,0.9685283899307251
free_parking_at_work,False,False
cdap_activity,M,M
travel_active,True,True
under16_not_at_school,False,False
has_preschool_kid_at_home,False,False
has_school_kid_at_home,False,False
mandatory_tour_frequency,work1,work1
work_and_school_and_worker,False,False
work_and_school_and_student,False,False
num_mand,1,1
num_work_tours,1,1
num_joint_tours,0,0
non_mandatory_tour_frequency,0,0
num_non_mand,0,0
num_escort_tours,0,0
num_eatout_tours,0,0
num_shop_tours,0,0
num_maint_tours,0,0
num_discr_tours,0,0
num_social_tours,0,0
num_non_escort_tours,0,0
serialno,2011000577793,2011000577793
VEHICL,2.0,2.0
income,176000.0,176000.0
race_of_head,9,9
age_of_head,38,38
num_workers,2.0,2.0
hispanic_status_of_head,0,0
tenure,2,2
recent_mover,1,1
sf_detached,no,no
hh_age_of_head,gt35-lt65,gt35-lt65
hh_race_of_head,other,other
hispanic_head,no,no
hh_size,three,three
hh_cars,two or more,two or more
hh_children,yes,yes
seniors,0.0,0.0
hh_income,gt150,gt150
hh_workers,two or more,two or more
tenure_mover,rent recent,rent recent
hh_seniors,no,no
block_id,60014431052029,60014431052029
lcm_county_id,6001,6001
hhsize,3,3
gt55,0,0
gt2,1,1
hh_type,7,7
HHT,4,4
sample_rate,0.008,0.008
chunk_id,7202,7202
income_in_thousands,176.0,176.0
income_segment,4,4
median_value_of_time,12.86,12.86
hh_value_of_time,50.0,50.0
num_non_workers,1.0,1.0
num_drivers,2,2
num_adults,2,2
num_children,1,1
num_young_children,1,1
num_children_5_to_15,0,0
num_children_16_to_17,0,0
num_college_age,0,0
num_young_adults,0,0
non_family,True,True
family,False,False
home_is_urban,False,False
home_is_rural,False,False
auto_ownership,2,2
hh_work_auto_savings_ratio,1.968528389930725,1.968528389930725
num_under16_not_at_school,0,0
num_travel_active,3,3
num_travel_active_adults,2,2
num_travel_active_preschoolers,1,1
num_travel_active_children,1,1
num_travel_active_non_preschoolers,2,2
participates_in_jtf_model,True,True
joint_tour_frequency,0_tours,0_tours
num_hh_joint_tours,0,0
auPkRetail,9.585255046813549,9.585255046813549
auPkTotal,11.993991510888469,11.993991510888469
auOpRetail,9.863735588052773,9.863735588052773
auOpTotal,12.315698536695649,12.315698536695649
trPkRetail,1.8089844563393735,1.8089844563393735
trPkTotal,4.387170898016154,4.387170898016154
trOpRetail,1.8430443435447164,1.8430443435447164
trOpTotal,4.413758125056013,4.413758125056013
nmRetail,3.047157405320902,3.047157405320902
nmTotal,5.3042792619979116,5.3042792619979116
objectid,728,728
district,16,16
county,Alameda,Alameda
gacres,2071.95879918,2071.95879918
Shape__Are,0.000536629818725,0.000536629818725
Shape__Len,0.09018048847753599,0.09018048847753599
