dest_taz,utility
1,-3.449856225395637
2,-3.334740249846238
3,-4.609832009805332
4,-3.1032179870233483
5,-0.1495633402216754
6,-3.808590185078593
7,-3.2043965132982875
8,-2.763505465504621
9,-3.7579851470776147
10,-3.8779242761824833
11,-0.8163971052832473
12,-2.300328019086475
13,-2.303651294076624
14,-4.20205491517742
15,-4.433008391460187
16,-3.7566021602056363
17,-3.022132867811595
18,-2.6543454079798634
19,-1.5891042498219106
20,-2.846685673042585
21,-2.3354994319646574
22,-3.0571973304609683
23,-6.166320169069135
24,-2.709850262011255
25,-3.197404280916606
26,-3.7118459560025796
27,-4.051718905899008
28,-4.167971642891563
29,-5.504360779070992
30,-4.738606746535318
31,-5.019505722705143
32,-3.1190336033053434
33,-3.892427070574006
34,-4.026136203909686
35,-6.097986529608606
36,-2.6697769112775926
37,-5.115689787029604
38,-4.467256754771422
39,-5.466402959195014
40,-4.590149566293648
41,-1.3892847130561732
42,-6.9261351152558435
43,-3.3158648236814887
44,-4.7260079259469085
45,-3.2705905328735083
46,-5.659243742028968
47,-4.454806375005123
48,-5.250147311476517
49,-6.515628607845963
50,-3.3791106125244887
51,-6.4156714876633085
52,-5.777552422213017
53,-6.322047555572206
54,-5.02109327384635
55,-6.002854162568817
56,-10.064774592805252
57,-9.359738118593897
58,-5.869390173913193
59,-6.459963775579022
60,-7.977849153655012
61,-6.680746727310903
62,-4.793445642406713
63,-5.950942450090159
64,-5.546420447761516
65,-3.9984305042521244
66,-3.875963060890501
67,-4.641163689710119
68,-5.556488608098013
69,-3.933846540625626
70,-2.966055495601453
71,-4.385702701832231
72,-5.8705703081295635
73,-2.981454266823393
74,-3.535103119369186
75,-2.7148804094135714
76,-4.033173560749234
77,-4.003272135754582
78,-7.529177024909706
79,-4.233266942319034
80,-7.263034642696792
81,-4.787078939122124
82,-3.1274580789536177
83,-5.001197008378235
84,-5.227524077627456
85,-4.659925771818171
86,-5.579839863829273
87,-5.366467588105433
88,-3.0052322322763745
89,-4.731914602242528
90,-7.987967717391139
91,-7.063576994354651
92,-7.4031132338587025
93,-6.958184558979243
94,-3.9599570965924897
95,-7.925553603566785
96,-7.286845492165009
97,-4.449468965622319
98,-5.146001468708707
99,-5.800736748713971
100,-3.663999940146568
101,-3.215004480487316
102,-3.917718570694184
103,-4.571217282598625
104,-4.381700333370007
105,-4.37859390293129
106,-2.8423536667711344
107,-1.518305807187736
108,-4.275552231914888
109,-3.812370913743208
110,-4.788917178957953
111,-3.8905415544845265
112,-4.932666996557375
113,-6.169208241320952
114,-3.5142163933190886
115,-6.160970200185662
116,-3.43688123133955
117,-5.864329141906901
118,-7.001659573679667
119,-4.612489643950582
120,-5.226888836626302
