alternative,probability
trip_id,387286909.0
0,0.0002631888326765958
1,0.00029529880590083325
2,8.250805996392307e-05
3,0.0003722292797714001
4,0.00713783404795886
5,0.00018385323617098117
6,0.00033641027835754495
7,0.000522812310857246
8,0.00019339657004458516
9,0.00017153781170590107
10,0.0036640738810146973
11,0.000830809042325152
12,0.0008280526181278664
13,0.00012404855725617111
14,9.846681653472285e-05
15,0.00019366421999756798
16,0.0004036689563551809
17,0.0005831139296664163
18,0.0016919275922711104
19,0.0004810842072657104
20,0.0008020962097406187
21,0.0003897598048721328
22,1.7398914615185226e-05
23,0.0005516301109977721
24,0.000338770780170686
25,0.0002025287878984181
26,0.00014417229667285577
27,0.00012834941532827634
28,3.372931079391762e-05
29,7.253877513735349e-05
30,5.477436388626518e-05
31,0.0003663885534035097
32,0.00016906798706177193
33,0.00014790819703444497
34,1.8629409078519788e-05
35,0.0005741846782182154
36,4.9751380296687864e-05
37,9.515158391745735e-05
38,3.503421080658502e-05
39,8.414810731745799e-05
40,0.002066152129665241
41,8.138394133461925e-06
42,0.00030092563403733057
43,7.345845945475483e-05
44,0.00031486294913311895
45,2.888967465418659e-05
46,9.634366279110528e-05
47,4.349215962873492e-05
48,1.2269289935248728e-05
49,0.00028248272051068017
50,1.3559080998492981e-05
51,2.5666215951323797e-05
52,1.4889859925042385e-05
53,5.468747577028135e-05
54,2.048870650890686e-05
55,3.5273204207819994e-07
56,7.139016125492873e-07
57,2.341408632607158e-05
58,1.2971624218047987e-05
59,2.8430540419136686e-06
60,1.0401824959160985e-05
61,6.866793511501783e-05
62,2.158040106772963e-05
63,3.234008709160452e-05
64,0.0001520633926262988
65,0.0001718745643996987
66,7.996302219041409e-05
67,3.2016115544895395e-05
68,0.0001622083231171667
69,0.0004269523862094275
70,0.00010323679116728609
71,2.3386470859836482e-05
72,0.0004204282051954287
73,0.00024168249861163135
74,0.0005488622973193105
75,0.00014687096822771153
76,0.00015132893713034321
77,4.452879519734955e-06
78,0.00012023655002032367
79,5.810655296570788e-06
80,6.91065181656423e-05
81,0.0003633148871494211
82,5.578644878220652e-05
83,4.448730721128312e-05
84,7.847673591446493e-05
85,3.1277160386610194e-05
86,3.8716288648759795e-05
87,0.0004105491946967832
88,7.302584303394883e-05
89,2.8144314722435867e-06
90,7.093302298268931e-06
91,5.051144044258307e-06
92,7.88169857565403e-06
93,0.00015802778915883527
94,2.995689407851597e-06
95,5.673932856293868e-06
96,9.685926312184978e-05
97,4.8265958837046964e-05
98,2.507800698231942e-05
99,0.00021245454397146756
100,0.0003328605103614732
101,0.0001648456240644603
102,8.575639944072077e-05
103,0.00010365081082131829
104,0.0001039732954838081
105,0.0004831727876741562
106,0.0018160556223120454
107,0.00011525830764788083
108,0.00018315944930725914
109,6.897960049932906e-05
110,0.00016938706819336421
111,5.9743535850050774e-05
112,1.7348737784706193e-05
113,0.0002467835413472569
114,1.7492247708940197e-05
115,0.0002666259563256815
116,2.3532886137611654e-05
117,7.546383344156686e-06
118,8.228907484655853e-05
119,4.4515576350762265e-05
120,0.0001051754220119146
121,2.4345590988056078e-05
122,0.00015572627161282448
123,4.178234949434969e-05
124,5.268595784006586e-06
125,1.1721197484479644e-06
126,4.583477351799958e-05
127,2.2332665878722782e-05
128,3.304641116282254e-06
129,8.990063074196096e-05
130,2.5254323661307766e-05
131,3.302672199168905e-05
132,5.4707254110716894e-05
133,8.589286053997033e-05
134,5.0182966735514925e-05
135,2.854216470950311e-06
136,4.423253082556502e-05
137,0.00010582872408836966
138,9.429043087650949e-05
139,2.1601775789831734e-06
140,4.4383807513506805e-05
141,0.0003902374429272656
142,4.2053388520344456e-05
143,1.1755637531710976e-06
144,1.778319041131646e-05
145,5.022637972511139e-07
146,3.315794135924481e-05
147,1.3016688804454147e-05
148,4.819978766321067e-06
149,0.00010947155265797557
150,2.0331906197391144e-06
151,7.238458141497727e-06
152,4.316257769303247e-06
153,5.5089645835684955e-06
154,4.472856757110697e-06
155,6.804714357109461e-07
156,3.885463063198058e-06
157,4.658706914620752e-07
158,5.376069982068232e-06
159,8.301625684312002e-07
160,7.773387249587034e-07
161,2.1943840081505353e-05
162,1.1252297304276361e-06
163,0.00010717468772399765
164,6.74005004356268e-05
165,6.914074344025874e-06
166,3.56173513861947e-05
167,1.6625961119561174e-05
168,3.022193061686437e-05
169,5.7688829963844044e-05
170,4.380228520517259e-05
171,5.224178808450386e-05
172,1.0449329630959023e-05
173,2.74473094673178e-06
174,4.884633144923954e-05
175,6.721626548108221e-05
176,0.00011194153799214015
177,1.1584535858818341e-05
178,3.321442057650018e-06
179,1.8697448439378273e-05
180,4.282579863355196e-06
181,1.0830700448607547e-05
182,3.2606335958319526e-05
183,5.69973262804786e-05
184,5.3675512977711324e-05
185,3.6629339249050724e-05
186,7.868163738477102e-05
187,0.0004389308441487141
188,2.3507230406628553e-06
189,4.892934728310911e-07
190,4.288935087649533e-06
191,0.00023265856834300803
192,1.8520320918877087e-05
193,3.874363167773072e-05
194,9.609963612192282e-07
195,1.3773042399109536e-05
196,4.550928342991728e-05
197,1.219000550963758e-05
198,0.0004144796354267382
199,0.0009026102889265086
200,0.0001149356534476507
201,2.8505430200291557e-05
202,0.00015872915176475753
203,3.678831980293879e-05
204,4.982012140585188e-06
205,6.815261945535704e-07
206,3.286428311782809e-05
207,0.00018195838078122623
208,1.6014429935358024e-06
209,8.76154186066694e-05
210,0.00022116368271817027
211,0.0008060669950262008
212,4.23224516013488e-05
213,1.4804655963869209e-05
214,3.915641986087585e-05
215,0.00020458729853621468
216,1.2687045347180987e-05
217,8.63492837575117e-05
218,4.1190996667453074e-05
219,2.6360239609022747e-06
220,9.327235393680897e-06
221,1.1970439062652142e-05
222,6.2374078089373505e-06
223,5.354798780210857e-05
224,1.1797536268565181e-05
225,1.2733189795013137e-05
226,7.34825918818489e-07
227,2.3524398601915614e-07
228,1.4554608838274012e-06
229,0.00010846653930935134
230,2.20321064295388e-06
231,2.8443125830042187e-06
232,4.05864706981396e-05
233,0.00073646960778701
234,9.876059396745165e-05
235,3.4539310737273466e-05
236,0.00011644871218502567
237,3.201131014313351e-05
238,0.00017031185974186692
239,0.0002289444106004006
240,4.187000186355346e-06
241,6.634725563111695e-07
242,4.261261149566632e-06
243,9.821637363453314e-05
244,4.448288926005881e-06
245,0.00013000268219352324
246,9.083418342122742e-07
247,0.0001791979058757562
248,0.0002241327220526771
249,9.278337444397378e-05
250,0.0004224062691316743
251,1.1617711531941411e-06
