alternative,utility
trip_id,387286909.0
0,-3.449856225395637
1,-3.334740249846238
2,-4.609832009805332
3,-3.1032179870233483
4,-0.1495633402216754
5,-3.808590185078593
6,-3.2043965132982875
7,-2.763505465504621
8,-3.7579851470776147
9,-3.8779242761824833
10,-0.8163971052832473
11,-2.300328019086475
12,-2.303651294076624
13,-4.20205491517742
14,-4.433008391460187
15,-3.7566021602056363
16,-3.022132867811595
17,-2.6543454079798634
18,-1.5891042498219106
19,-2.846685673042585
20,-2.3354994319646574
21,-3.0571973304609683
22,-6.166320169069135
23,-2.709850262011255
24,-3.197404280916606
25,-3.7118459560025796
26,-4.051718905899008
27,-4.167971642891563
28,-5.504360779070992
29,-4.738606746535318
30,-5.019505722705143
31,-3.1190336033053434
32,-3.892427070574006
33,-4.026136203909686
34,-6.097986529608606
35,-2.6697769112775926
36,-5.115689787029604
37,-4.467256754771422
38,-5.466402959195014
39,-4.590149566293648
40,-1.3892847130561732
41,-6.9261351152558435
42,-3.3158648236814887
43,-4.7260079259469085
44,-3.2705905328735083
45,-5.659243742028968
46,-4.454806375005123
47,-5.250147311476517
48,-6.515628607845963
49,-3.3791106125244887
50,-6.4156714876633085
51,-5.777552422213017
52,-6.322047555572206
53,-5.02109327384635
54,-6.002854162568817
55,-10.064774592805252
56,-9.359738118593897
57,-5.869390173913193
58,-6.459963775579022
59,-7.977849153655012
60,-6.680746727310903
61,-4.793445642406713
62,-5.950942450090159
63,-5.546420447761516
64,-3.9984305042521244
65,-3.875963060890501
66,-4.641163689710119
67,-5.556488608098013
68,-3.933846540625626
69,-2.966055495601453
70,-4.385702701832231
71,-5.8705703081295635
72,-2.981454266823393
73,-3.535103119369186
74,-2.7148804094135714
75,-4.033173560749234
76,-4.003272135754582
77,-7.529177024909706
78,-4.233266942319034
79,-7.263034642696792
80,-4.787078939122124
81,-3.1274580789536177
82,-5.001197008378235
83,-5.227524077627456
84,-4.659925771818171
85,-5.579839863829273
86,-5.366467588105433
87,-3.0052322322763745
88,-4.731914602242528
89,-7.987967717391139
90,-7.063576994354651
91,-7.4031132338587025
92,-6.958184558979243
93,-3.9599570965924897
94,-7.925553603566785
95,-7.286845492165009
96,-4.449468965622319
97,-5.146001468708707
98,-5.800736748713971
99,-3.663999940146568
100,-3.215004480487316
101,-3.917718570694184
102,-4.571217282598625
103,-4.381700333370007
104,-4.37859390293129
105,-2.8423536667711344
106,-1.518305807187736
107,-4.275552231914888
108,-3.812370913743208
109,-4.788917178957953
110,-3.8905415544845265
111,-4.932666996557375
112,-6.169208241320952
113,-3.5142163933190886
114,-6.160970200185662
115,-3.43688123133955
116,-5.864329141906901
117,-7.001659573679667
118,-4.612489643950582
119,-5.226888836626302
120,-4.367098352964202
121,-5.830377230024926
122,-3.9746281980404756
123,-5.290254005453626
124,-7.360964122506155
125,-8.863914134527349
126,-5.197684944750623
127,-5.91667755065745
128,-7.827400115613134
129,-4.5240230374138
130,-5.793730619732692
131,-5.525411003792563
132,-5.020731677987526
133,-4.569627282991125
134,-5.107052333844164
135,-7.973930630462361
136,-5.233267485003046
