alternative,utility
trip_id,387286909.0
0,-8.979875259198154
1,-8.522319049273527
2,-6.621501778760591
3,-6.534353280908845
4,-6.428175372655338
5,-5.986134281850121
6,-5.6843323854066625
7,-6.031457205110824
8,-5.972656176839427
9,-6.7304133473211545
10,-6.634946125774711
11,-6.264273028348556
12,-6.557465748972999
13,-6.761536901664327
14,-6.591355296373572
15,-6.0807406704338005
16,-4.914686920522704
17,-4.699156712959171
18,-5.643295793185238
19,-5.652835544257185
20,-6.148742469852379
21,-5.121752960730185
22,-6.46575139361997
23,-6.853846897788939
24,-8.608374628548653
25,-999.0
26,-999.0
27,-999.0
28,-999.0
29,-999.0
