label,value_1,value_2,value_3
trip_id,387286909,387287301,387287625
person_id,1180752,1180753,1180754
household_id,456291,456291,456291
tour_id,48410863,48410912,48410953
primary_purpose,school,work,work
trip_num,1,1,1
outbound,False,False,True
trip_count,2,2,2
purpose,shopping,eatout,shopping
destination,755,755,604
origin,1257,697,755
failed,False,False,False
next_trip_id,387286910,387287302,387287626
tour_mode,SHARED3FREE,DRIVEALONEFREE,DRIVEALONEFREE
_tod,12,18,8
trip_period,MD,PM,AM
is_joint,False,False,False
