alternative,probability_1,probability_2
trip_id,387287301.0,387287625.0
0,6.007679240688211e-08,9.331704563986356e-08
1,7.68294096594325e-08,1.0274635328613048e-07
2,1.7202255397124144e-08,2.792385640084035e-08
3,1.085096156899602e-07,1.2901408459578564e-07
4,1.4460610276994645e-06,2.3888201350034095e-06
5,1.0836053874354931e-07,5.888396758209934e-08
6,7.943944985005617e-08,1.0816997906562715e-07
7,1.2140401873389564e-07,1.67623735492016e-07
8,3.0786466324097974e-07,5.8951375020960763e-08
9,1.5025693156214438e-07,5.3463911359231295e-08
10,7.771481500832121e-07,1.2156815737640754e-06
11,3.7224728658359095e-07,2.882991572555428e-07
12,1.9832550381509424e-07,2.9520293578840233e-07
13,3.1492863869211706e-08,4.505249826250932e-08
14,3.212696238511961e-08,3.4784919523686796e-08
15,8.77455232351303e-08,7.273611497372749e-08
16,9.289397474125355e-08,1.427598819559607e-07
17,1.4678217426275623e-07,1.977098312225246e-07
18,4.3627523388593236e-07,5.44197471183394e-07
19,1.4956154995849682e-07,1.5688684112082888e-07
20,1.9970839508039797e-07,2.758070421127591e-07
21,9.667915691592494e-08,1.288679638827359e-07
22,3.706594816067647e-08,5.592273812144165e-09
23,1.3473384979024738e-07,1.8538011445193716e-07
24,6.445159390369218e-08,1.0845735574478001e-07
25,3.889938109832886e-08,6.742927487044571e-08
26,6.382683673062057e-08,4.598188438578769e-08
27,2.6598754727586442e-08,4.088089116993677e-08
28,8.89063496542021e-09,1.094683124273585e-08
29,3.939627827125932e-08,2.1986327880206543e-08
30,5.50840028936267e-08,1.6626328425333496e-08
31,1.7448639052602697e-07,1.1109566120456574e-07
32,3.6791412590486315e-08,4.984796473315811e-08
33,3.57536166143846e-08,4.2881065260459815e-08
34,5.482185739788661e-09,5.6877173366084904e-09
35,1.3336993748503297e-07,1.8123816147037304e-07
36,3.5176562116155664e-08,1.5934402405001053e-08
37,2.3168548106252344e-08,2.946414323923177e-08
38,1.4584906822479007e-08,1.0411543688876518e-08
39,1.741230910731688e-08,2.3716570023685366e-08
40,3.58024181583821e-07,6.046222087148791e-07
41,3.325048619932765e-08,3.45159477713003e-09
42,5.9314436662356416e-08,7.531352662083221e-08
43,4.8163383363388906e-08,1.9492821779072993e-08
44,7.646552107086437e-08,8.49264711061064e-08
45,3.187353591636868e-08,8.210479737855469e-09
46,2.2406402920621135e-07,2.560644993188254e-08
47,2.159361716308271e-08,1.1135612113812125e-08
48,1.41729512580083e-08,3.17570511930893e-09
49,6.154761375124063e-08,6.860290578116455e-08
50,3.5620972111929504e-08,3.134597545308502e-09
51,2.422322828746333e-08,5.213389672416699e-09
52,1.0008501970043939e-07,3.5854369692492748e-09
53,2.4746976656330175e-08,1.113156115945585e-08
54,6.874543550209088e-09,3.904753418376574e-09
55,8.090593465865709e-08,6.74738781731682e-11
56,2.8200232255782647e-09,1.4630370642657777e-10
57,1.241246617269747e-08,4.942721668972262e-09
58,1.6396914999260246e-08,2.65074568112104e-09
59,1.889804513552466e-09,6.431140289430847e-10
60,5.8894383024999604e-09,2.2652473914907883e-09
61,2.5549553099367063e-08,1.4201194122452014e-08
62,9.78746133502808e-09,4.720578997624658e-09
63,1.2756842802442237e-08,7.165387075901211e-09
64,4.7254249510656084e-08,3.194583175370179e-08
65,5.0764212705516796e-08,3.8073412393565824e-08
66,4.62504058926961e-08,1.7626159658382017e-08
67,7.648626556101405e-09,7.089905633641335e-09
68,3.428721899505524e-07,3.9511089282775445e-08
69,1.1451327584903511e-07,1.0072525558444957e-07
70,1.2965187893506136e-07,2.3832692081892952e-08
71,2.6677837902691605e-08,6.029876088225018e-09
72,1.1205803545518119e-07,1.1733810883777164e-07
73,1.2441530309251032e-07,6.489636593210596e-08
74,1.6903776985777292e-07,1.5992982000291298e-07
75,5.4313272190460095e-08,4.30756694894679e-08
76,1.3906675799359403e-07,4.231107218012356e-08
77,7.207235175360637e-09,1.2615516974165904e-09
78,3.699128917315875e-07,3.455801011466285e-08
79,4.939100162604468e-09,1.577317812325502e-09
80,3.876325930073866e-08,1.9040210278827703e-08
81,1.7906414294321987e-07,9.866137024192848e-08
82,1.762757717921195e-08,1.3900827173163926e-08
83,1.432767495919347e-08,1.1354872044000172e-08
84,4.596251722845052e-08,2.0159058776299182e-08
85,1.6516254602140236e-08,8.089098808828594e-09
86,8.211476528869723e-08,9.341374785045707e-09
87,1.1371450031525752e-07,9.666411862937698e-08
88,2.850556798489746e-08,1.7799358895925794e-08
89,4.800507464036879e-07,6.62516196262772e-10
90,1.010152425361395e-08,1.787412548543517e-09
91,4.213501634803643e-09,1.3320073917427209e-09
92,3.7139858835296386e-09,2.1884452307834797e-09
93,5.82871537891303e-08,4.4615388845227573e-08
94,4.625008202052795e-09,8.708079565257794e-10
95,4.255543580186929e-09,1.706201794680696e-09
96,4.594150007925094e-08,2.9592311539792724e-08
97,2.5010267916828968e-08,1.4273991712358383e-08
98,2.5587650404081784e-08,7.79276458005294e-09
99,1.3378495872599145e-07,6.74069875435037e-08
100,1.2996141320936013e-07,1.0226950375892679e-07
101,7.181447818746242e-08,4.922722168607014e-08
102,3.13993024968236e-08,2.4280412209638784e-08
103,5.5687817777055704e-08,2.9153781293649426e-08
104,4.5482173087234714e-08,2.9617441669264847e-08
105,7.869285833974625e-07,1.3934524005855322e-07
106,5.738144591019907e-07,5.61483459864602e-07
107,6.573587868164906e-08,3.48301510323302e-08
108,2.1365383926121523e-07,6.078038457803574e-08
109,1.9262614779010912e-08,2.1947355656274175e-08
110,6.796156646032343e-08,5.417273965095639e-08
111,2.9235180636694623e-08,1.8187609333545936e-08
112,1.5920897568821556e-08,5.657656634978798e-09
113,9.253552126027902e-08,7.725451729917792e-08
114,1.552261977431219e-08,5.634639352271625e-09
115,1.168359261322088e-07,8.334985840831164e-08
116,1.610044633312103e-08,7.524172821101079e-09
117,5.207439240451461e-09,2.4380947998911626e-09
118,3.619219940418015e-08,2.6708264178611847e-08
119,3.656305974382672e-08,1.5101938370359404e-08
120,4.980421971031299e-08,3.474861833983644e-08
121,1.886171763108111e-08,8.388315218671379e-09
122,1.2233486179728436e-07,5.114037411328515e-08
123,2.291439864519522e-08,1.364763995883269e-08
124,3.4007605411182316e-09,1.91496116541278e-09
125,1.7805673750899573e-09,3.9694281532991903e-10
126,3.5935560787953786e-08,1.4881512659838077e-08
127,1.5385311943687925e-08,7.256366023039034e-09
128,2.7939677708614526e-09,1.0028473964287266e-09
129,5.724360165175678e-08,2.866854381531147e-08
130,1.8119479002501367e-08,7.815410716370938e-09
131,4.346165822289864e-08,1.090516735074448e-08
132,1.2997975458882854e-07,1.7828095269763175e-08
133,7.236982850184089e-08,3.026448350974644e-08
134,4.402874449556941e-08,1.8320806437446738e-08
135,9.020176409641577e-08,1.0169260159058979e-09
136,3.569604393110599e-08,1.638700244656254e-08
137,1.0392245193487495e-07,4.146078335257009e-08
138,6.250036653905161e-08,3.614535232096067e-08
139,2.648969545021562e-09,8.139038639295467e-10
140,3.420072981290703e-08,1.640211735478119e-08
141,2.464097629921408e-07,1.3379252890777547e-07
142,2.7524157624363605e-08,1.504301211864182e-08
143,1.03757690703566e-08,3.969737327800453e-10
144,1.4024967548084617e-08,6.0389594299719265e-09
145,0.0,1.6084640629329387e-10
146,3.412334346316726e-08,1.213921430473202e-08
147,2.0182283099917375e-08,5.016202349540571e-09
148,1.5185680617949686e-08,2.4525849892418934e-09
149,9.919854033311018e-08,4.304940981259637e-08
150,3.93990279480678e-09,8.460019860195708e-10
151,1.4235595009406717e-08,2.913669357457134e-09
152,4.7096023173624345e-09,2.1159622969902336e-09
153,3.147896575534932e-08,3.1207969670402317e-09
154,1.1712908504041718e-08,2.1853873896919437e-09
155,0.0,3.3674856780868677e-10
156,5.856624876332508e-09,1.8701824422881854e-09
157,0.0,1.8222161767024676e-10
158,6.243831861487942e-09,2.4952727314766354e-09
159,2.7077307441937843e-09,3.1132957807923853e-10
160,2.047304348485414e-09,2.7745928463772013e-10
161,2.4955536948006795e-08,8.147824806239951e-09
162,1.0287924458804376e-08,4.004290079116696e-10
163,1.2492661104491388e-07,4.882124156238249e-08
164,6.730016558451965e-08,2.434797690309517e-08
165,1.9430062293774785e-08,2.663388108204716e-09
166,4.3532663401275074e-08,1.4720466652843405e-08
167,2.6679848529791923e-08,6.5469174327067445e-09
168,5.725511480506213e-08,9.934036017755276e-09
169,6.826298674898746e-08,1.7528631858255994e-08
170,2.9969527905507226e-08,1.2889154921450584e-08
171,3.852209495046291e-08,1.4932057678979793e-08
172,6.524817975261739e-09,2.875997740471307e-09
173,1.1058765017638842e-08,6.926532756444471e-10
174,2.941392648072353e-08,1.2334137753000756e-08
175,3.857797401367678e-08,1.7261246265378027e-08
176,6.720554215127661e-08,2.8352963575027517e-08
177,1.2757569454708962e-08,2.7760828899915314e-09
178,3.228850565891727e-09,7.760386727287353e-10
179,1.1756623518834098e-08,4.335914365464264e-09
180,4.285470348349947e-09,1.0399623891607658e-09
181,1.1015726061292895e-08,2.8684407865531132e-09
182,3.828484884882038e-08,8.436150552824034e-09
183,3.970290996393396e-08,1.4500226980494233e-08
184,7.789315296198947e-08,1.4703184034658826e-08
185,5.636686618993994e-08,9.740134255256682e-09
186,7.489670393968925e-08,2.4501187097267145e-08
187,6.819049952256794e-07,1.5319062024801724e-07
188,2.8710945266514893e-09,9.468726397006388e-10
189,4.949078491690394e-08,1.9127361835461743e-10
190,1.2305733912900291e-08,2.1609699416914098e-09
191,3.5157631922913217e-07,1.3820002162378678e-07
192,1.5220403264575946e-07,1.2839652179908077e-08
193,5.80933330716334e-07,3.102625574880463e-08
194,6.2192495352210645e-09,5.92042559909464e-10
195,2.9582276080166095e-08,1.0090194198421573e-08
196,8.934943191750399e-08,3.8373759678200463e-08
197,1.581370598892707e-07,1.3486338664432315e-08
198,9.877002801247627e-07,4.6707686352367253e-07
199,2.3902709822880283e-06,1.0341811106251443e-06
200,2.3340466992604816e-07,9.272547813157172e-08
201,7.157343722711167e-08,1.8276151427415058e-08
202,2.967567758123075e-07,1.1491854188164101e-07
203,6.430198430806202e-08,1.9933047120195155e-08
204,7.775636890012315e-09,2.175519959473389e-09
205,9.233712424519388e-10,4.4767047554855063e-10
206,7.088596446185494e-08,1.8718409969617743e-08
207,4.058600383659641e-07,1.8307021655358945e-07
208,3.687056884876925e-08,2.9567232408258365e-09
209,2.7852838422251117e-07,1.8217613200830418e-07
210,8.201262575247003e-07,5.185247910507752e-07
211,3.943300066267189e-06,2.2525245199964976e-06
212,4.358719528381397e-07,1.0739107192572926e-07
213,9.542836934353851e-08,3.077438602005199e-08
214,1.4643395268916698e-07,7.780976375215667e-08
215,1.712269261427378e-06,3.428843339885295e-07
216,6.134107052809428e-08,1.8101115770993957e-08
217,4.7591878870683617e-07,1.442540955744975e-07
218,1.4535495465839454e-07,5.5206678411135455e-08
219,3.0437610397640893e-08,3.499486485187927e-09
220,2.3184705007959725e-08,1.0590219597116044e-08
221,7.645886911057565e-08,1.3502314288491798e-08
222,5.523137156297248e-08,8.154856318930918e-09
223,1.8755050372408459e-07,7.41180735014873e-08
224,5.41326731461132e-08,1.3383080165366254e-08
225,5.330956862770193e-08,1.259302615791197e-08
226,5.2824339992086636e-09,5.563731947187745e-10
227,6.1077939701755924e-09,7.216872510910281e-10
228,1.4322766414710735e-07,3.774062701634384e-09
229,4.7537263856455597e-07,2.1148809794787167e-07
230,4.557317418086052e-08,5.124296283858659e-09
231,7.078778034762822e-08,7.4139421012726744e-09
232,2.9415832654070136e-07,1.6609750561458012e-07
233,3.8228010538948365e-06,2.5524348871499468e-06
234,7.083730511877901e-07,3.6728405863458993e-07
235,3.4151122566919064e-07,1.6821709148040283e-07
236,1.3319964892831354e-06,5.551392303749491e-07
237,1.7762168975426954e-07,1.324054329317608e-07
238,1.188594945852789e-06,8.884144315997141e-07
239,2.4287914697233964e-06,1.9011426454398273e-06
240,1.1809145416846173e-07,2.203930873253258e-08
241,4.0222258351083236e-08,4.151973563207693e-09
242,8.624258200419627e-08,3.433739434429462e-08
243,1.5625516094810747e-06,8.207094989279052e-07
244,1.5410489775139984e-07,3.8504003569340286e-08
245,6.302768449941824e-06,1.4944528388811917e-06
246,6.919144439659464e-08,1.2951932213862843e-08
247,5.170174117054912e-06,2.627888487698823e-06
248,5.182419226944433e-06,5.987331197716735e-06
249,2.324860221499009e-06,1.9170186794238427e-06
250,9.595699797700953e-06,1.0810850393054238e-05
251,5.882510907248842e-07,2.4390594649467336e-08
252,7.773831825315179e-08,9.831303669115748e-08
253,4.485802749685219e-07,1.553735599408292e-07
254,2.6277194422476596e-06,2.853769849091651e-06
255,1.11233441826549e-06,2.9070130907714926e-07
256,1.6111624171516226e-05,1.2228862380824194e-05
257,1.9755448535357e-06,3.147913812122002e-07
258,2.3776658664789893e-06,1.8624644445763572e-06
259,4.539530572813073e-06,5.229700331466679e-06
260,4.2435684182819647e-07,3.003583754004779e-07
261,1.5069531827192355e-06,1.3830546613866927e-06
262,3.1811141637173733e-07,1.3569528591102422e-07
263,2.5057548998040725e-06,3.7587816619470686e-06
264,9.98147432343737e-06,2.0310239622418693e-05
265,4.063665594798157e-05,6.79532078455108e-05
266,8.442142812198937e-07,1.123859284610264e-07
267,6.324436695802489e-07,4.1358002268306595e-07
268,4.5334483357950804e-07,1.6247229176406406e-07
269,1.4148811186354175e-06,2.3762314503334923e-06
270,3.1731780916428673e-07,5.242134275411305e-07
271,3.368443422829846e-07,5.0864652657781316e-08
272,7.444956376000897e-08,4.4190237506329303e-08
273,5.884262526974986e-06,8.917212432914368e-06
274,5.206945983932474e-06,7.92895668507468e-06
275,7.771013363376818e-07,1.4540263845980762e-06
276,1.4397781288818039e-06,1.3598759192085102e-06
277,1.0824137722792751e-05,1.248501396371997e-05
278,7.928958733276797e-06,9.54620037766964e-06
279,6.004232662090553e-06,7.569796752095176e-06
280,7.3775318590755474e-06,5.1565695318898365e-06
281,3.226463174175427e-06,2.116987456599466e-06
282,7.914414906727677e-07,4.4870686655473317e-07
283,5.747270967069336e-05,0.00010035604936216624
284,4.933716077093276e-07,2.822130352661046e-07
285,1.1835556347104299e-05,1.340897170897509e-05
286,4.681932072833588e-06,6.552840924507893e-06
287,3.14398619683008e-06,4.3957855326923325e-07
288,1.687969436355903e-06,2.258688870654861e-06
289,2.5057397040526137e-08,4.264713718409442e-08
290,2.9907736625648666e-06,1.6091717362936622e-06
291,5.142668384766173e-07,3.059210504617376e-07
292,1.529191066971429e-08,1.4531304498696259e-09
293,4.294496507045416e-08,1.2334189613863108e-08
294,4.5519995077974076e-07,1.6154743314219962e-07
295,4.317964604366249e-07,1.1598416693568434e-07
296,1.2827308488182776e-06,2.0319692663831028e-07
297,2.7806615384753166e-05,7.818884877962544e-06
298,9.884799293767189e-06,7.405432295968122e-06
299,8.855331803824415e-06,2.2847004347742673e-06
300,1.1795157625162881e-05,8.664056943166962e-06
301,7.880965911119455e-07,4.6495578779707793e-07
302,1.4869072760925189e-05,4.694411775346157e-06
303,1.914986334619917e-06,2.84843530179904e-07
304,5.280154086531765e-07,1.439624812286153e-07
305,5.748977055267335e-07,1.191237796063445e-07
306,1.59458175800919e-06,1.8463067135575657e-07
307,1.8666898345000688e-06,4.6740906808371664e-07
308,3.373386415971216e-05,5.8233599256907344e-05
309,7.488949816320163e-05,0.00015821362531380934
310,2.022042562015254e-05,1.0349518936395078e-05
311,2.1084110461352238e-06,3.064581297091331e-06
