alternative,utility_1,utility_2
trip_id,387287301.0,387287625.0
0,-9.270110947960807,-8.24956533788443
1,-9.024147060165756,-8.153304764541323
2,-10.520694062328403,-9.456086734559989
3,-8.678895772366843,-7.925646544840573
4,-6.089135958968181,-5.007013270486176
5,-8.680270576293008,-8.709999269798034
6,-8.990739470929919,-8.101864256045264
7,-8.566610583968988,-7.663846328253694
8,-7.636074283945968,-8.708855174236803
9,-8.35338785941481,-8.806561253900327
10,-6.710103563750774,-5.682507961602319
11,-7.446176182984998,-7.1215694446662905
12,-8.075824925755345,-7.097905088395763
13,-9.915973588958988,-8.977739688310914
14,-9.89603893802326,-9.236384180317312
15,-8.891293721510017,-8.49873009778734
16,-8.834275779042308,-7.824404054404221
17,-8.376784885211563,-7.498767669230672
18,-7.287461250728814,-6.486255946668479
19,-8.358026551779766,-7.730043337869498
20,-8.068876287293238,-7.1658666277182945
21,-8.794336729850425,-7.926779781756826
22,-9.75303585648501,-11.064182157446819
23,-8.46243321581855,-7.56315973631683
24,-9.199820105355345,-8.099211065043447
25,-9.704756224861928,-8.574488857278789
26,-9.209560824972906,-8.95732062493302
27,-10.084870165351676,-9.074905380841464
28,-11.180736093634215,-10.392518095997513
29,-9.692063213569167,-9.69514732597389
30,-9.356875219895052,-9.974580637522413
31,-8.203887817944949,-8.075176483336513
32,-9.760470100866772,-8.876590458401221
33,-9.789083137229085,-9.027137766873436
34,-11.664230686228061,-11.047259129578258
35,-8.472607813390253,-7.58575615057922
36,-9.805354553435773,-10.01708768102868
37,-10.222938891466548,-9.402394085524488
38,-10.685747350577419,-10.442652965485017
39,-10.508557189213427,-9.619394165193157
40,-7.485134034848023,-6.380964311578717
41,-9.86166517575997,-11.546731747678013
42,-9.282881837612383,-8.463908371083296
43,-9.491135514196063,-9.815521842249835
44,-9.028894631012633,-8.343782289843528
45,-9.903958494902906,-10.680156771041787
46,-7.953802709611273,-9.542723855939801
47,-10.293336795979343,-10.375419854903692
48,-10.714399258185951,-11.63003843364611
49,-9.245923482685281,-8.557233233994527
50,-9.792799996619229,-11.643067335013377
51,-10.17842254589724,-11.134337873035083
52,-8.759714543511363,-11.508687771316891
53,-10.157031239037753,-10.375783704805182
54,-11.437909316639413,-11.423373489959408
55,-8.972447385961006,-15.481582872186047
56,-12.328989444354328,-14.707638763005892
57,-10.847033261184547,-11.187652001533925
58,-10.568641357957015,-11.81072713663737
59,-12.729261173551823,-13.227001357675247
60,-11.592573936776118,-11.967884149568517
61,-10.125114740012865,-10.132242071953282
62,-11.084632454426107,-11.233636665092778
63,-10.819666747265812,-10.816306043179964
64,-9.510191978661947,-9.321526415385575
65,-9.438542933266131,-9.146051925063736
66,-9.531664325312876,-9.91618398340118
67,-11.331208468721158,-10.826896095482436
68,-7.5283768116176155,-9.108986752312603
69,-8.625043802738269,-8.173171557633102
70,-8.500881561046905,-9.614509871140244
71,-10.081901385657439,-10.98884166484375
72,-8.646717654494662,-8.020508539731622
73,-8.542109377338662,-8.612776498895824
74,-8.235612385055575,-7.710833032127335
75,-9.370965944820682,-9.022609801448432
76,-8.43078047411952,-9.04051932068735
77,-11.390649158361743,-12.5532256569871
78,-7.452467015122755,-9.242928761577824
79,-11.768551404002128,-12.329842308785999
80,-9.708261692517492,-9.83901505279698
81,-8.177990483174035,-8.193874641920617
82,-10.496270004348283,-10.153619778928514
83,-10.703541586496774,-10.355921219353453
84,-9.537908343826668,-9.7819143717256
85,-10.561389541901676,-10.695050796984711
86,-8.957616719829991,-10.551114691486694
87,-8.63204364130933,-8.214325851196731
88,-10.015635129207173,-9.906405686588704
89,-7.191842745302951,-13.19727840038679
90,-11.053048236631184,-12.204799055657817
91,-11.927440521069054,-12.498881004696095
92,-12.053628903248354,-12.002376774735337
93,-9.300352842884692,-8.987489285269543
94,-11.834256420911458,-12.923901938788715
95,-11.917512060499964,-12.25129839880505
96,-9.53836571555386,-9.398053543842197
97,-10.146448108070741,-10.127129006217599
98,-10.123624736291386,-10.732372440905449
99,-8.469500840014849,-8.574819440858398
100,-8.498496980362184,-8.157956603613474
101,-9.091648463499816,-8.889121369361222
102,-9.918948886100566,-9.595898182775374
103,-9.345973153642127,-9.412983503292965
104,-9.54841411638853,-9.397204692779017
105,-6.697597066356661,-7.84861353098402
106,-7.013428463208074,-6.454985809463908
107,-9.1800896902029,-9.23508470551546
108,-8.001377433499586,-8.678301011308648
109,-10.407568405985863,-9.69692146513171
110,-9.146792219013108,-8.793390302705168
111,-9.990361764900452,-9.884827569775206
112,-10.598102006513045,-11.05255834175956
113,-8.838141980862439,-8.43846273572235
114,-10.623436264889872,-11.056634982083223
115,-8.604963955443711,-8.36252121572044
116,-10.58688757113084,-10.767447245668619
117,-11.715646338906325,-11.894351211565409
118,-9.7768909557522,-9.500595088842262
119,-9.766696131183338,-10.070745021675021
120,-9.457634851711322,-9.237428314939647
121,-10.428600219534818,-10.6587284341041
122,-8.558972511726957,-8.850993840846089
123,-10.233969090519864,-10.17200151626151
124,-12.14173547011935,-12.135870782886125
125,-12.788802501726568,-13.70953117681541
126,-9.784007208872481,-10.085448444669911
127,-10.632321280889823,-10.803688970425219
128,-12.338271839647604,-12.782724775880926
129,-9.318418690643899,-9.429767638784272
130,-10.468747017710964,-10.729470608784892
131,-9.593855436038869,-10.396331380379701
132,-8.498355860895389,-9.904792527257396
133,-9.083945086156907,-9.37559326255295
134,-9.580891860679715,-9.877530748366853
135,-8.863685580803834,-12.768783759123586
136,-9.790694696900589,-9.989079639292227
137,-8.722089598760647,-9.060820125149352
138,-9.23056214394111,-9.198019752317679
139,-12.391563851850353,-12.991481149390285
140,-9.833487581891536,-9.988157692659877
141,-7.858738711883643,-7.889277817779675
142,-10.050670487170152,-10.074654553839862
143,-11.026261374658336,-13.709453290921193
144,-10.724895427747072,-10.987336408856411
145,-1013.3588348056369,-14.61287349367715
146,-9.83575285616812,-10.289127062162654
147,-10.36092942000013,-11.172894982820843
148,-10.645381646069188,-11.888425560173216
149,-8.768611265492495,-9.02321960472288
150,-11.994578513654433,-12.952801697993097
151,-10.70998904638957,-11.716154891718853
152,-11.816131094508505,-12.036058430375528
153,-9.916414996304809,-11.64747971879875
154,-10.90504304072181,-12.003775018269128
155,-1012.8540505145778,-13.873986842836885
156,-11.59816108730088,-12.159532137326774
157,-1013.0810516431656,-14.488099779324187
158,-11.534140491013297,-11.871170091712765
159,-12.369623644950492,-13.952471317493428
160,-12.649210589407081,-14.067649204741903
161,-10.14863884595076,-10.687817129465197
162,-11.034763740473997,-13.700786912988702
163,-8.538008112047011,-8.897402630084468
164,-9.156571868249388,-9.593119364140165
165,-10.398913095845394,-11.805969088972077
166,-9.592223026179962,-10.096329311397588
167,-10.081826021553944,-10.906573808245735
168,-9.31821758527433,-10.489601283771524
169,-9.14236686729091,-9.921732476003415
170,-9.965553436321919,-10.229181872140785
171,-9.71450259379479,-10.082057702333842
172,-11.490121508983064,-11.729168471946554
173,-10.962511237489549,-13.1527938548966
174,-9.984266313281537,-10.27319728108984
175,-9.713053073094002,-9.937104237696612
176,-9.157978848673425,-9.440836566170622
177,-10.819609787124257,-11.764527224449484
178,-12.193608353343446,-13.039121050205344
179,-10.901317779791631,-11.318635611875274
180,-11.91050425302253,-12.746383577924448
181,-10.966410671522079,-11.731799523960435
182,-9.720680338786032,-10.65304201722764
183,-9.684310081444533,-10.111403823024094
184,-9.010396511502186,-10.097504054828011
185,-9.333853058322202,-10.509313224688588
186,-9.049624681881891,-9.586846556828737
187,-6.840844220339377,-7.753885096258296
188,-12.311041240050672,-12.8401588091682
189,-9.463948076341858,-14.439618445390956
190,-10.85566923975652,-12.01501095817133
191,-7.503307753201264,-7.856866058354392
192,-8.340512624513073,-10.23302991705259
193,-7.001098564220737,-9.35073432049921
194,-11.538085319320663,-13.30974488109855
195,-9.978559164377533,-10.474004045352434
196,-8.873179681652104,-9.138194241859507
197,-8.302272440643133,-10.183890903861583
198,-6.470355273763849,-6.639074292043389
199,-5.586572545082287,-5.844202931081357
200,-7.912960837386668,-8.255924846345676
201,-9.095010548605895,-9.879971116900112
202,-7.6728216986591065,-8.041344580241292
203,-9.202144074367201,-9.793189112488538
204,-11.314739195466533,-12.008300428358524
205,-13.445458477795611,-13.589265989019426
206,-9.104662113806373,-9.856060596233661
207,-7.359726198212232,-7.575698349892596
208,-9.758320924664758,-11.70148648424557
209,-7.73621459290338,-7.580594148767261
210,-6.656276264294261,-6.5345802866088984
211,-5.085961333302868,-5.065761251051027
212,-7.28838605122734,-8.109091076719103
213,-8.807358658469536,-9.358885404891362
214,-8.379160073376807,-8.431301204745473
215,-5.920159742085301,-6.9481749545526945
216,-9.24928495439187,-9.889594544977179
217,-7.2004873375759795,-7.813991828972577
218,-8.386555851090133,-8.774484194481447
219,-9.950055537427648,-11.532951886941873
220,-10.2222417709291,-10.425637230485389
221,-9.02898162773415,-10.182707026625971
222,-9.354203448027604,-10.686954509007494
223,-8.131686402954571,-8.47990871669104
224,-9.37429662188272,-10.191576891269609
225,-9.389618726259902,-10.252424944954992
226,-11.701347589095118,-13.371884122526918
227,-11.556168909647102,-13.111731530323963
228,-8.401299144037615,-11.457416065241386
229,-7.201635566576322,-7.431399403730575
230,-9.546415307386013,-11.151574921025368
231,-9.106048173447526,-10.782205830835087
232,-7.681616417256668,-7.672993127020387
233,-5.116995872212482,-4.940765085883587
234,-6.802763701907563,-6.879432575756459
235,-7.532354015168416,-7.66031276974549
236,-6.171300349867556,-6.4663491783299065
237,-8.186078615195159,-7.899699449266464
238,-6.2852073945526765,-5.996129789782815
239,-5.570585490232235,-5.23535774942791
240,-8.59427520568427,-9.692740506585105
241,-9.671314032570596,-11.361984347554824
242,-8.908570518826782,-9.249333151715856
243,-6.0116591541581315,-6.075398917408581
244,-8.328101040527848,-9.134805901453982
245,-4.616990312936711,-5.476052701382081
246,-9.128857346198378,-10.224323143436115
247,-4.815072920008545,-4.911632179833557
248,-4.812707306834518,-4.08816707728168
249,-5.614319368862278,-5.227041639065392
250,-4.19666422592873,-3.497262551358583
251,-6.988580683499394,-9.591370533352702
252,-9.012386273067932,-8.197411486318943
253,-7.2596469143711655,-7.739735844648434
254,-5.4918629485211365,-4.8291719728938105
255,-6.351518399842268,-7.113271815411233
256,-3.678438276603055,-3.374013920539408
257,-5.777135050794492,-7.0336579886012025
258,-5.591860008224478,-5.255912266244142
259,-4.945155677660444,-4.223458868736639
260,-7.3151598559272735,-7.080591779779367
261,-6.047889433690482,-5.553518271492335
262,-7.603332877925875,-7.875156298967078
263,-5.539389239963878,-4.553717968357051
264,-4.157248479096927,-2.866687673402371
265,-2.753308771168855,-1.6589934987791848
266,-6.6273282152178705,-8.063629388160706
267,-6.9161434086076685,-6.760717105184023
268,-7.249081507360783,-7.695060651145505
269,-6.110933773841868,-5.012297038660453
270,-7.605830741065273,-6.523669220292391
271,-7.546113633979214,-8.856399890640626
272,-9.055612665681146,-8.997064232364735
273,-4.685697867472118,-3.6898294569426984
274,-4.8079857859226465,-3.807291385746259
275,-6.71016380343038,-5.503476322010459
276,-6.093490261757569,-5.570419387463535
277,-4.076200671686168,-3.3532838050023184
278,-4.3874575665628495,-3.6216696380628806
279,-4.665514622107579,-3.8536466292130163
280,-4.4595401400725425,-4.237541308171291
281,-5.28659274153204,-5.127818780120896
282,-6.691878610783553,-6.679198310070627
283,-2.4066690655934524,-1.2690884911152835
284,-7.164471907015882,-7.1429058962154794
285,-3.9868710358205646,-3.2818888337313252
286,-4.914268425497216,-3.997914162626696
287,-5.312487802072857,-6.699751691737617
288,-5.934452996723344,-5.063028347966545
289,-10.144565490311072,-9.032607977938376
290,-5.362447182354682,-5.402093250058375
291,-7.12299229353791,-7.062241062518935
292,-10.638410591109206,-12.411847965920826
293,-9.605815151428596,-10.273193076438137
294,-7.244997790607845,-7.700769322948188
295,-7.2977802444727375,-8.032114436298555
296,-6.208988005365482,-7.471392535376811
297,-3.132705330440855,-3.8212709015101174
298,-4.166981134013178,-3.8755990222285277
299,-4.276959544988549,-5.051577932176686
300,-3.9902902098113664,-3.7186297651083713
301,-6.696113905392,-6.64362580509461
302,-3.7586958841412415,-4.331440029828266
303,-5.808268799670522,-7.133628113564228
304,-7.096609098955392,-7.816015407551069
305,-7.011542443752205,-8.005405008881088
306,-5.991367805141898,-7.5672106675317705
307,-5.833812565973662,-6.638363303118244
308,-2.939477082287665,-1.813350352193523
309,-2.1419656170555577,-0.8138666684066784
310,-3.4512860234746414,-3.5408728081173404
311,-5.712044681215807,-4.75790189491722
312,-2.1253302443955495,-0.8831710580331107
313,-2.58622593652617,-0.923830082741385
314,-0.9921961051928658,-0.033053793749985516
315,-3.1668352824186043,-1.7154235288366122
316,-3.660773458559777,-3.747457004629564
317,-5.307760562353817,-5.095611959021498
318,-6.307873614315124,-7.138462260861196
319,-4.1824801950733335,-3.641419936462321
320,-4.86517393569894,-5.0374561396546325
321,-4.340812338238919,-3.456658247934099
322,-2.625306010823129,-1.1397517841692126
323,-3.0405282962455873,-1.5678491265077499
324,-3.8016835411334884,-2.3685316831415024
325,-3.170290990535712,-1.6724946559053224
326,-3.147815074671199,-1.7599850204289842
327,-4.804172739070333,-3.1837101365668063
328,-2.2236391527961215,-2.0872214702990783
329,-4.99604705240707,-3.5441892948767375
330,-3.2151793893700105,-1.843638989850393
331,-1.8247924823479234,-0.21163681750362517
332,-1.60654245886312,0.11513455277722784
333,-3.628272151113799,-2.733488073908817
334,-1.6879681673944602,-0.08296046115559808
335,-2.520248998611014,-0.9487021434723513
336,-2.389709381252762,-5.970142460011511
337,-6.003469292694902,-5.881396875190067
338,-3.7885832972875044,-3.3870703116595386
339,-3.3171020938902953,-2.2428687731939183
340,-1.0396343996966646,0.2589193272625421
341,-3.6084321268117425,-5.259270899241179
342,-5.007668034858735,-4.803848266740914
343,-3.7049197941922167,-6.544024801746197
344,-3.922657205241291,-3.7634061980419498
345,-2.924448220121549,-2.55127277669643
346,-1.1902199630940515,-3.637655421413294
347,-5.8013821517360125,-1006.0478665478839
348,0.4913811849361931,-4.731823761152396
349,-5.357024122060914,-6.133497109681268
350,-0.719378290877267,-0.025719239336154054
351,-5.287237716776492,-6.630607729990504
