alternative,utility_1,utility_2
trip_id,387287301.0,387287625.0
0,6.323263866484932,6.6201884442732295
1,6.7160857230878745,7.350983897937756
2,5.607837680612983,6.412188483279719
3,5.297361848501474,6.000619470885403
4,5.048737005139765,6.097659111814757
5,4.493878779883296,5.365568907872
6,3.760398076445386,6.968586401611671
7,4.030530773545721,6.859000506688294
8,4.151557566081303,8.497467427246107
9,4.867386510592349,7.611567942319439
10,6.072108873450005,6.9233470462211315
11,5.675771640422678,6.882920726286205
12,4.265869856665604,6.676124655571094
13,4.234367267714812,5.920760577764822
14,5.901704073556662,6.88615337477523
15,5.204491659469695,7.232534539494857
16,5.86158418765912,6.841529451531708
17,4.389137405077314,7.315680648701833
18,2.7709245250021706,6.41595030326603
19,3.69156088540326,6.282098465844157
20,3.8648081554968536,4.825361526191781
21,3.5680464095330793,-999.0
22,1.267295452730902,-999.0
23,0.1501174386566677,-999.0
24,-999.0,-999.0
25,-999.0,-999.0
26,-999.0,-999.0
27,-999.0,-999.0
28,-999.0,-999.0
29,-999.0,-999.0
