label,value_1,value_2
trip_id,387286909,387287301
person_id,1180752,1180753
household_id,456291,456291
tour_id,48410863,48410912
primary_purpose,school,work
trip_num,1,1
outbound,False,False
trip_count,2,2
purpose,shopping,eatout
destination,1161,437
origin,1257,697
destination_logsum,-2.803170216295622,8.385370637139209
chunk_id,78,79
earliest,7.0,14.0
latest,12.0,18.0
tour_hour,12,18
outbound_departure,,
max_outbound_departure,7.0,7.0
next_trip_id,0,0
HR5,0.0,0.0
HR6,0.0,0.001141884
HR7,0.0,0.00034725099999999997
HR8,0.0,0.005493278000000001
HR9,0.019446017,0.0034211999999999997
HR10,0.011496295,0.004108535
HR11,0.285657861,0.018739263
HR12,0.683399827,0.013709509
HR13,0.0,0.003846669
HR14,0.0,0.010612585
HR15,0.0,0.030088047000000003
HR16,0.0,0.076311695
HR17,0.0,0.45943014299999996
HR18,0.0,0.37274994100000003
HR19,0.0,0.0
HR20,0.0,0.0
HR21,0.0,0.0
HR22,0.0,0.0
HR23,0.0,0.0
