label,value
trip_id,387287626
person_id,1180754
household_id,456291
tour_id,48410953
primary_purpose,work
trip_num,2
outbound,True
trip_count,2
purpose,work
destination,604
origin,607
destination_logsum,
chunk_id,80
earliest,8.0
latest,19.0
tour_hour,8
next_trip_id,0
HR5,0.0
HR6,0.0
HR7,0.0
HR8,0.456491659
HR9,0.443858962
HR10,0.071483886
HR11,0.007227768000000001
HR12,0.011205848000000001
HR13,0.004971545999999999
HR14,0.0037790890000000002
HR15,0.0
HR16,0.000629094
HR17,0.00035214800000000004
HR18,0.0
HR19,0.0
HR20,0.0
HR21,0.0
HR22,0.0
HR23,0.0
