label,value_1,value_2,value_3
person_id,1180752,1180753,1180754
age,1,38,38
earning,0.0,56000.0,120000.0
edu,0.0,22.0,22.0
hispanic,0,0,0
hours,0.0,40.0,40.0
PNUM,3,1,2
race_id,9,9,2
relate,2,0,1
sex,1,2,1
student,0,0,0
work_at_home,0,0,0
worker,0,1,1
household_id,456291,456291,456291
person_age,19 and under,35 to 60,35 to 60
person_sex,male,female,male
race,other,other,black
hispanic.1,0,0,0
p_hispanic,no,no,no
MAR,5,1,1
TAZ,755,755,755
ptype,8,1,1
pemploy,4,1,1
pstudent,1,3,3
home_x,-121.9209833,-121.9209833,-121.9209833
home_y,37.5205143,37.5205143,37.5205143
age_16_to_19,False,False,False
age_16_p,False,True,True
adult,False,True,True
male,True,False,True
female,False,True,False
has_non_worker,False,False,False
has_retiree,False,False,False
has_preschool_kid,False,True,True
has_driving_kid,False,False,False
has_school_kid,False,False,False
has_full_time,True,True,True
has_part_time,False,False,False
has_university,False,False,False
student_is_employed,False,False,False
nonstudent_to_school,False,False,False
is_student,True,False,False
is_gradeschool,True,False,False
is_highschool,False,False,False
is_university,False,False,False
school_segment,1,0,0
is_worker,False,True,True
home_taz,755,755,755
value_of_time,33.35,50.0,50.0
school_taz,1257,-1,-1
distance_to_school,62.58000183105469,,
roundtrip_auto_time_to_school,132.72000122070312,0.0,0.0
workplace_taz,-1,697,604
workplace_location_logsum,,13.694958406839737,13.70945737419383
distance_to_work,,29.34000015258789,9.989999771118164
workplace_in_cbd,False,False,False
work_taz_area_type,,5.0,3.0
_auto_time_home_to_work,45.099998474121094,34.959999084472656,15.609999656677246
_auto_time_work_to_home,45.119998931884766,34.5099983215332,15.5600004196167
roundtrip_auto_time_to_work,0.0,69.47000122070312,31.170000076293945
_walk_time_home_to_work,576.3999633789062,592.4000244140625,199.79998779296875
_walk_time_work_to_home,578.3999633789062,590.0,199.79998779296875
_work_walk_available,True,True,True
_roundtrip_walk_time_to_work,1154.7999267578125,1182.4000244140625,399.5999755859375
_transit_ivt_home_to_work,0.0,0.0,38.34659957885742
_transit_ivt_work_to_home,0.0,0.0,38.37879943847656
_work_transit_available,False,False,True
_transit_iwait,0.0,0.0,25.26799964904785
_transit_xwait,0.0,0.0,25.0
_transit_waux,0.0,0.0,0.0
_transit_wacc,0.0,0.0,10.199999809265137
_transit_wegr,0.0,0.0,10.199999809265137
_roundtrip_transit_time_to_work,0.0,0.0,147.39340209960938
_min_work_walk_transit,1154.7999267578125,1182.4000244140625,147.39340209960938
work_auto_savings,0.0,1112.9300537109375,116.22340393066406
work_auto_savings_ratio,0.0,1.0,0.9685283899307251
