label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55
person_id,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754
alt_dest,16,106,212,401,406,408,414,415,434,519,563,567,605,641,682,697,746,751,761,774,777,798,810,824,853,873,891,973,284,287,349,376,401,408,414,428,548,558,587,604,606,723,736,751,760,767,773,776,797,853,887,945,1014,1121,1161
prob,0.0025004700291901827,0.004488656297326088,0.0042959703132510185,0.009208916686475277,0.006175283808261156,0.007247820496559143,0.005628778599202633,0.010418955236673355,0.001990140648558736,0.0024523171596229076,0.005643125623464584,0.0004916178877465427,0.010846941731870174,0.0001033973167068325,0.00024148459488060325,0.0005747937830165029,0.0013597126817330718,0.03390272706747055,0.0071990592405200005,0.0025685899890959263,0.012866729870438576,0.0009011548827402294,0.010128840804100037,0.0010847827652469277,0.001622164505533874,0.0030903504230082035,4.287217234377749e-05,0.0017771999118849635,0.0005704446230083704,0.000295590260066092,0.009096489287912846,0.0007835887954570353,0.009208916686475277,0.007247820496559143,0.005628778599202633,0.005660798866301775,0.00041701862937770784,0.009892188012599945,7.754705438856035e-05,0.0030834157951176167,0.0028082849457859993,0.0009184585651382804,0.006225759629160166,0.03390272706747055,0.00042504764860495925,0.007634828798472881,0.0031535665038973093,0.0017976259114220738,0.005871746223419905,0.001622164505533874,5.033584238844924e-05,0.005250025074928999,0.0018713494064286351,0.0015058649005368352,0.0015868924092501402
pick_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1
hhsize,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
density_index,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501
age,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
age_16_p,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
age_16_to_19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
auto_ownership,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
num_workers,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
value_of_time,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
TAZ,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755
in_period,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM
out_period,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM
duration,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
