alternative,probability_1,probability_2
person_id,1180753.0,1180754.0
0,0.001918324194084718,0.001918324194084718
1,0.0029236922308640357,0.0029236922308640357
2,0.00021841199237801194,0.00021841199237801194
3,0.0018719149538630956,0.0018719149538630956
4,0.001317276721243374,0.001317276721243374
5,0.00027870837991663983,0.00027870837991663983
6,0.0007583435289084377,0.0007583435289084377
7,0.00023620248546087788,0.00023620248546087788
8,0.0011341960363200924,0.0011341960363200924
9,0.0009214659533200566,0.0009214659533200566
10,0.000821735467662799,0.000821735467662799
11,0.0012288105235934445,0.0012288105235934445
12,0.0018703742631247667,0.0018703742631247667
13,0.0024172622036494097,0.0024172622036494097
14,0.0014349401250610553,0.0014349401250610553
15,0.002500470078254135,0.002500470078254135
16,0.0007680927876057251,0.0007680927876057251
17,0.0005071779724266337,0.0005071779724266337
18,0.0006061021948186675,0.0006061021948186675
19,0.00037247417222103,0.00037247417222103
20,0.000919899755915012,0.000919899755915012
21,0.0013805094320507956,0.0013805094320507956
22,0.0007805847876802926,0.0007805847876802926
23,0.0017308224482291859,0.0017308224482291859
24,0.00014325172070869178,0.00014325172070869178
25,0.0005275463486423627,0.0005275463486423627
26,0.00012379691488630215,0.00012379691488630215
27,8.833874978600339e-05,8.833874978600339e-05
28,9.499912701792617e-05,9.499912701792617e-05
29,0.00012257208155590864,0.00012257208155590864
30,0.00016013344173552562,0.00016013344173552562
31,0.00031492186161945874,0.00031492186161945874
32,7.031924024031114e-05,7.031924024031114e-05
33,7.703973356779417e-05,7.703973356779417e-05
34,2.447543529485818e-05,2.447543529485818e-05
35,0.0003837267343696986,0.0003837267343696986
36,0.00022581226713838074,0.00022581226713838074
37,8.688901976742465e-05,8.688901976742465e-05
38,7.18346576764497e-05,7.18346576764497e-05
39,0.00019597184528008903,0.00019597184528008903
40,0.0006418390089229271,0.0006418390089229271
41,6.121566328978298e-05,6.121566328978298e-05
42,8.03428898951429e-05,8.03428898951429e-05
43,0.00020299108441453517,0.00020299108441453517
44,0.00018182132263003744,0.00018182132263003744
45,0.0001358465118321816,0.0001358465118321816
46,0.0005381846434270234,0.0005381846434270234
47,4.529623715601657e-05,4.529623715601657e-05
48,5.477020918684053e-05,5.477020918684053e-05
49,0.00015847349897668705,0.00015847349897668705
50,8.50114149844937e-05,8.50114149844937e-05
51,0.00027958699310397434,0.00027958699310397434
52,0.0001496421179926617,0.0001496421179926617
53,4.558541277497261e-05,4.558541277497261e-05
54,9.921518995382339e-06,9.921518995382339e-06
55,0.00021177928256189372,0.00021177928256189372
56,1.6805506070885494e-05,1.6805506070885494e-05
57,3.320242338003067e-05,3.320242338003067e-05
58,5.322935829255631e-05,5.322935829255631e-05
59,8.738810809757595e-06,8.738810809757595e-06
60,3.5081096480468964e-05,3.5081096480468964e-05
61,7.090827287093954e-05,7.090827287093954e-05
62,3.2302582806235194e-05,3.2302582806235194e-05
63,3.3885134784048694e-05,3.3885134784048694e-05
64,9.226829839935064e-05,9.226829839935064e-05
65,8.93955236146139e-05,8.93955236146139e-05
66,7.214972207915247e-05,7.214972207915247e-05
67,1.6295930272889912e-05,1.6295930272889912e-05
68,0.0006015082611877231,0.0006015082611877231
69,0.00014793339633019796,0.00014793339633019796
70,0.00037548784610432216,0.00037548784610432216
71,8.387611145080424e-05,8.387611145080424e-05
72,0.00014235302040882292,0.00014235302040882292
73,0.00022929643716296559,0.00022929643716296559
74,0.0003388705014606565,0.0003388705014606565
75,0.00035609628137892214,0.00035609628137892214
76,0.00025302011739561305,0.00025302011739561305
77,6.341593251085422e-05,6.341593251085422e-05
78,0.0007293608603173185,0.0007293608603173185
79,2.1368410057137693e-05,2.1368410057137693e-05
80,0.00011722972690013798,0.00011722972690013798
81,0.00018434369131476255,0.00018434369131476255
82,2.2742468937962477e-05,2.2742468937962477e-05
83,4.649898353461377e-05,4.649898353461377e-05
84,8.707660912934006e-05,8.707660912934006e-05
85,4.369877114643472e-05,4.369877114643472e-05
86,0.0001501728282632945,0.0001501728282632945
87,8.654515666477446e-05,8.654515666477446e-05
88,6.127279655923356e-05,6.127279655923356e-05
89,0.0007338221638541398,0.0007338221638541398
90,3.7689993258926094e-05,3.7689993258926094e-05
91,1.0098925647109652e-05,1.0098925647109652e-05
92,6.208094195116944e-05,6.208094195116944e-05
93,5.837110095230931e-05,5.837110095230931e-05
94,3.0650975503208396e-05,3.0650975503208396e-05
95,1.3373307032325766e-05,1.3373307032325766e-05
96,4.020347409246637e-05,4.020347409246637e-05
97,2.5696889991366797e-05,2.5696889991366797e-05
98,4.5897207349234724e-05,4.5897207349234724e-05
99,0.0001515453469311204,0.0001515453469311204
100,0.00017458049039222406,0.00017458049039222406
101,8.279184532782705e-05,8.279184532782705e-05
102,5.698324827828695e-05,5.698324827828695e-05
103,8.377986442662354e-05,8.377986442662354e-05
104,9.850963531931888e-05,9.850963531931888e-05
105,0.0044886562704240735,0.0044886562704240735
106,0.0006857120938834883,0.0006857120938834883
107,0.0003465064821662597,0.0003465064821662597
108,0.0008662619143793897,0.0008662619143793897
109,0.00014497504483656332,0.00014497504483656332
110,0.00030901875234864415,0.00030901875234864415
111,8.907233677808992e-05,8.907233677808992e-05
112,4.9780299953422656e-05,4.9780299953422656e-05
113,8.461342015797028e-05,8.461342015797028e-05
114,2.893613777137346e-05,2.893613777137346e-05
115,0.00024782297151279336,0.00024782297151279336
116,2.434976617517672e-05,2.434976617517672e-05
