process,time,rss,used,available,percent,event
, 04/03/2022 21:52:38, 0.13, 1.57, 121.20, 2.0%, run_multiprocess.start
, 04/03/2022 21:52:42, 6.85, 1.61, 114.47, 7.5%, allocate_shared_skim_buffer.completed
, 04/03/2022 21:52:43, 6.85, 1.61, 114.47, 7.5%, allocate_shared_shadow_pricing_buffers.completed
, 04/03/2022 21:52:43, 6.85, 1.61, 114.47, 7.5%, mp_setup_skims.start
, 04/03/2022 21:53:53, 6.85, 1.61, 114.47, 7.5%, mp_setup_skims.completed
, 04/03/2022 21:53:53, 6.95, 1.61, 114.47, 7.5%, mp_initialize.start
, 04/03/2022 21:53:54, 7.14, 1.82, 114.26, 7.6%, mp_initialize.initialize_landuse.completed
, 04/03/2022 21:53:57, 13.79, 1.78, 114.29, 7.6%, mp_initialize.compute_accessibility.completed
mp_initialize high water mark rss: 6.85 timestamp: 04/03/2022 21:52:43 label: allocate_shared_shadow_pricing_buffers.completed
mp_initialize high water mark used: 1.61 timestamp: 04/03/2022 21:52:43 label: allocate_shared_shadow_pricing_buffers.completed
, 04/03/2022 21:54:21, 6.85, 1.60, 114.48, 7.4%, mp_initialize.initialize_households.completed
, 04/03/2022 21:54:21, 6.85, 1.60, 114.48, 7.4%, mp_initialize.completed
, 04/03/2022 21:54:21, 6.85, 1.60, 114.48, 7.4%, mp_households_apportion.start
, 04/03/2022 21:54:28, 6.85, 1.60, 114.48, 7.4%, mp_households_apportion.completed
, 04/03/2022 21:54:28, 6.95, 1.60, 114.48, 7.4%, mp_households_0.start
, 04/03/2022 21:54:28, 7.05, 1.60, 114.47, 7.5%, mp_households_1.start
, 04/03/2022 21:54:28, 7.15, 1.61, 114.46, 7.5%, mp_households_2.start
, 04/03/2022 21:54:28, 7.26, 1.63, 114.45, 7.5%, mp_households_3.start
, 04/03/2022 21:54:28, 7.38, 1.65, 114.43, 7.5%, mp_households_4.start
, 04/03/2022 21:54:28, 7.51, 1.69, 114.38, 7.5%, mp_households_5.start
, 04/03/2022 21:54:28, 7.62, 1.73, 114.35, 7.6%, mp_households_6.start
, 04/03/2022 21:54:28, 7.74, 1.76, 114.31, 7.6%, mp_households_7.start
, 04/03/2022 21:54:28, 7.86, 1.80, 114.27, 7.6%, mp_households_8.start
, 04/03/2022 21:54:28, 7.98, 1.84, 114.24, 7.6%, mp_households_9.start
, 04/03/2022 21:54:28, 8.09, 1.89, 114.19, 7.7%, mp_households_10.start
, 04/03/2022 21:54:28, 8.22, 1.91, 114.16, 7.7%, mp_households_11.start
, 04/03/2022 21:54:28, 8.33, 1.96, 114.12, 7.7%, mp_households_12.start
, 04/03/2022 21:54:28, 8.47, 2.00, 114.08, 7.8%, mp_households_13.start
, 04/03/2022 21:54:28, 8.57, 2.06, 114.02, 7.8%, mp_households_14.start
, 04/03/2022 21:54:28, 8.68, 2.08, 114.00, 7.8%, mp_households_15.start
, 04/03/2022 21:54:28, 8.81, 2.12, 113.96, 7.9%, mp_households_16.start
, 04/03/2022 21:54:28, 8.93, 2.16, 113.91, 7.9%, mp_households_17.start
, 04/03/2022 21:54:28, 9.07, 2.21, 113.87, 7.9%, mp_households_18.start
, 04/03/2022 21:54:28, 9.15, 2.27, 113.80, 8.0%, mp_households_19.start
