TAZ,university,gradeschool,highschool
1,0,0,0
2,0,0,0
3,3,0,0
4,0,0,0
5,7,1,0
6,0,1,0
7,0,4,0
8,0,2,0
9,16,8,1
10,21,1,0
11,3,6,0
12,109,1,0
13,16,0,0
14,0,0,0
15,0,0,0
16,0,3,0
17,0,3,0
18,0,1,4
19,0,0,0
20,1,1,8
21,0,2,0
22,0,0,0
23,0,1,0
24,0,0,0
25,0,0,0
26,0,4,0
27,0,2,1
28,0,1,0
29,0,2,0
30,0,3,0
31,0,1,0
32,2,3,0
33,0,1,1
34,0,1,0
35,0,2,0
36,0,7,0
37,0,2,0
38,0,0,0
39,27,3,1
40,0,0,4
41,0,2,0
42,0,2,0
43,0,1,0
44,0,0,1
45,0,0,0
46,0,2,0
47,0,0,0
48,0,4,0
49,0,0,0
50,0,3,0
51,0,2,1
52,0,1,0
53,0,0,0
54,0,3,0
55,0,1,0
56,0,0,0
57,0,5,0
58,0,6,3
59,0,8,5
60,0,0,0
61,0,7,0
62,0,8,1
63,0,7,0
64,0,6,0
65,0,5,0
66,0,0,0
67,0,3,0
68,0,0,0
69,86,2,1
70,0,5,5
71,0,1,0
72,0,1,1
73,0,2,0
74,0,2,0
75,0,0,0
76,0,0,0
77,0,2,1
78,0,3,0
79,0,1,0
80,0,1,0
81,12,5,0
82,0,4,0
83,0,4,0
84,0,1,0
85,0,3,0
86,0,4,4
87,0,6,0
88,0,3,0
89,0,3,0
90,0,3,0
91,33,1,2
92,0,1,0
93,0,0,1
94,0,0,0
95,0,1,3
96,0,2,0
97,0,2,5
98,0,4,1
99,0,1,0
100,0,4,0
101,0,3,0
102,0,5,0
103,0,1,4
104,0,2,2
105,0,4,0
106,0,3,1
107,0,2,0
108,15,0,0
109,0,3,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,1,0
114,0,0,0
115,0,0,0
116,0,4,1
117,0,7,6
118,0,4,0
119,0,3,0
120,0,2,1
121,0,5,0
122,0,3,0
123,0,4,0
124,0,8,1
125,0,5,1
126,0,9,0
127,0,5,1
128,0,3,0
129,0,0,0
130,0,2,2
131,0,7,1
132,0,9,0
