TAZ,work_low,work_med,work_high,work_veryhigh
1,16,17,31,80
2,19,40,46,143
3,1,3,8,10
4,12,21,32,72
5,7,24,26,64
6,1,3,5,14
7,11,14,18,29
8,3,1,6,8
9,9,13,20,56
10,9,8,17,51
11,6,10,10,35
12,9,15,18,51
13,13,15,30,82
14,11,19,43,90
15,13,15,25,60
16,24,27,39,110
17,4,10,11,33
18,4,4,12,22
19,4,10,8,31
20,2,1,6,14
21,7,19,26,47
22,14,12,27,58
23,4,6,16,35
24,12,21,27,65
25,2,2,3,5
26,7,7,15,28
27,2,1,0,6
28,0,1,2,7
29,2,0,5,3
30,1,1,3,6
31,2,2,4,7
32,4,10,8,19
33,1,2,2,3
34,1,1,1,6
35,0,0,0,2
36,2,3,5,12
37,1,0,3,8
38,1,4,2,3
39,2,0,0,2
40,0,2,2,5
41,1,5,12,34
42,0,0,0,2
43,0,1,1,3
44,1,2,3,13
45,2,1,1,6
46,2,5,7,4
47,2,8,14,32
48,1,0,2,3
49,0,0,0,4
50,1,1,1,10
51,0,1,0,5
52,0,2,2,20
53,3,6,3,14
54,0,1,4,5
55,0,0,0,0
56,2,4,5,12
57,0,1,0,1
58,0,1,0,3
59,2,1,0,1
60,0,0,0,1
61,0,2,1,2
62,1,0,1,2
63,1,0,2,2
64,0,1,1,1
65,0,1,2,4
66,1,1,0,4
67,0,0,0,6
68,0,0,0,0
69,11,14,14,30
70,0,4,8,7
71,3,5,4,26
72,0,2,0,5
73,0,1,4,6
74,6,5,4,14
75,4,8,6,11
76,3,5,8,22
77,4,2,10,17
78,0,0,0,4
79,9,18,19,47
80,1,1,0,0
81,2,2,3,2
82,3,2,5,8
83,0,2,1,1
84,1,1,1,1
85,0,0,1,2
86,0,1,1,1
87,2,2,4,8
88,1,1,3,4
89,1,0,1,2
90,13,8,15,39
91,0,1,1,1
92,1,0,0,0
93,0,1,2,2
94,1,0,1,4
95,0,0,0,2
96,0,0,1,3
97,0,0,0,2
98,0,0,1,1
99,0,0,2,3
100,2,1,2,9
101,3,1,3,11
102,1,2,1,4
103,1,0,2,6
104,1,1,3,1
105,0,3,3,2
106,38,89,110,217
107,3,8,13,42
108,5,5,6,15
109,6,8,11,38
110,0,0,1,10
111,2,4,4,11
112,1,1,1,3
113,0,0,0,5
114,0,1,2,2
115,2,1,0,3
116,4,0,10,11
117,0,0,0,1
118,1,1,1,3
119,0,0,0,1
120,1,1,0,2
121,0,1,1,1
122,2,0,0,3
123,1,2,0,9
124,0,0,1,0
125,0,0,0,0
126,0,0,0,2
127,1,0,1,0
128,2,1,1,5
129,1,0,0,0
130,1,2,2,1
131,0,0,1,1
132,1,0,1,3
133,0,1,4,4
134,1,0,0,3
135,0,0,1,0
136,1,3,1,6
137,0,0,0,1
138,6,10,10,20
139,0,1,0,0
140,0,0,0,0
141,1,1,0,4
142,4,10,20,40
143,0,1,0,3
144,0,1,0,0
145,0,0,1,1
146,0,0,0,0
147,1,2,2,2
148,1,1,3,6
149,2,2,2,1
150,1,1,3,13
151,0,0,1,2
152,1,3,1,4
153,0,0,0,1
154,0,0,3,1
155,0,1,1,0
156,1,0,0,0
157,0,1,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,1
161,0,0,0,0
162,1,1,0,1
163,0,0,1,0
164,1,1,2,1
165,0,1,1,4
166,0,1,0,0
167,0,0,0,0
168,1,0,1,0
169,1,1,2,3
170,1,0,1,9
171,0,1,0,4
172,0,1,0,1
173,0,0,0,0
174,0,0,0,1
175,0,0,3,7
176,0,1,1,1
177,1,0,5,4
178,1,0,0,1
179,0,0,0,2
180,0,0,0,2
181,0,0,0,0
182,0,0,0,1
183,0,2,1,3
184,2,1,2,5
185,2,3,2,10
186,1,2,1,7
187,2,0,2,4
188,8,6,12,16
189,1,2,1,3
190,0,3,1,3
191,0,0,0,2
192,1,2,2,6
193,5,6,6,9
194,4,7,12,21
195,0,0,0,0
196,1,0,0,1
197,0,0,0,1
198,0,3,1,1
199,0,2,7,8
200,2,6,4,18
201,2,1,3,3
202,1,1,0,4
203,3,4,10,8
204,1,3,0,6
205,0,0,0,1
206,0,0,0,1
207,3,0,1,2
208,4,8,9,34
209,0,0,1,0
210,0,0,3,4
211,0,5,3,9
212,9,38,55,134
213,1,2,3,4
214,0,1,1,3
215,0,0,1,1
216,3,13,8,12
217,0,0,0,2
218,0,1,2,7
219,0,2,1,1
220,0,0,1,3
221,0,0,0,1
222,0,0,0,4
223,0,0,1,1
224,0,1,0,1
225,1,1,3,1
226,0,0,1,2
227,0,0,0,1
228,0,0,0,0
229,1,0,0,3
230,0,2,1,10
231,0,0,0,0
232,0,0,1,2
233,0,0,0,0
234,0,11,12,24
235,0,1,4,3
236,0,1,2,1
237,1,5,0,5
238,1,0,2,5
239,3,11,15,32
240,1,2,7,6
241,0,1,0,0
242,0,0,0,0
243,0,0,0,0
244,0,1,2,4
245,0,0,0,0
246,6,12,22,51
247,0,0,0,0
248,4,12,24,41
249,3,4,9,15
250,0,3,3,3
251,0,2,12,18
252,2,1,1,2
253,0,0,0,1
254,0,0,1,2
255,3,1,3,3
256,0,2,1,4
257,1,6,9,29
258,1,3,3,1
259,1,2,6,4
260,1,4,1,2
261,0,1,0,5
262,0,0,1,3
263,0,1,0,0
264,0,0,4,1
265,1,4,3,12
266,7,24,18,63
267,0,1,0,1
268,0,0,1,2
269,0,1,0,1
