participant_id,tour_id,household_id,person_id,participant_num
7391768502,73917685,692036,1802871,1
7391768504,73917685,692036,1802872,2
7391768503,73917685,692036,1802873,3
22203239901,222032399,2079163,5415424,1
22203239902,222032399,2079163,5415426,2
6726875402,67268754,629633,1640702,1
6726875404,67268754,629633,1640703,2
21744565302,217445653,2041504,5303537,1
21744565301,217445653,2041504,5303552,2
230003703,2300037,25957,56082,1
230003701,2300037,25957,56098,2
27071375502,270713755,2523339,6602770,1
27071375504,270713755,2523339,6602772,2
27071375501,270713755,2523339,6602774,3
24934988302,249349883,2321804,6081703,1
24934988301,249349883,2321804,6081704,2
38103002,381030,5070,9292,1
38103001,381030,5070,9293,2
13485451302,134854513,1269172,3289132,1
13485451301,134854513,1269172,3289134,2
13485451304,134854513,1269172,3289136,3
20136713201,201367132,1890141,4911393,1
20136713202,201367132,1890141,4911395,2
3184336002,31843360,315075,776666,1
3184336001,31843360,315075,776667,2
7221962902,72219629,676828,1761453,1
7221962901,72219629,676828,1761454,2
7638613103,76386131,718094,1863074,1
7638613101,76386131,718094,1863076,2
17639714403,176397144,1698673,4302368,1
17639714401,176397144,1698673,4302369,2
17639714402,176397144,1698673,4302370,3
20018181801,200181818,1880712,4882483,1
20018181802,200181818,1880712,4882484,2
15953433401,159534334,1535753,3891081,1
15953433402,159534334,1535753,3891082,2
13131891901,131318919,1235713,3202900,1
13131891903,131318919,1235713,3202904,2
2710208504,27102085,260070,661023,1
2710208502,27102085,260070,661024,2
2710208503,27102085,260070,661025,3
2710208501,27102085,260070,661026,4
2400153802,24001538,230997,585400,1
2400153801,24001538,230997,585403,2
2400153804,24001538,230997,585409,3
451907802,4519078,46472,110217,1
451907803,4519078,46472,110219,2
451907804,4519078,46472,110223,3
451907805,4519078,46472,110225,4
8607632101,86076321,800088,2099422,1
8607632102,86076321,800088,2099426,2
5024059504,50240595,469775,1225377,1
5024059503,50240595,469775,1225383,2
5024059506,50240595,469775,1225395,3
21346984003,213469840,2007546,5206580,1
21346984001,213469840,2007546,5206581,2
21346984002,213469840,2007546,5206582,3
22664793707,226647937,2118647,5527995,1
22664793709,226647937,2118647,5527997,2
22664793705,226647937,2118647,5527999,3
22664793702,226647937,2118647,5528002,4
22664793708,226647937,2118647,5528003,5
21369152101,213691521,2010218,5211988,1
21369152102,213691521,2010218,5211992,2
20335439802,203354398,1910459,4959862,1
20335439804,203354398,1910459,4959865,2
4306034903,43060349,411530,1050253,1
4306034904,43060349,411530,1050254,2
19468778102,194687781,1833296,4748483,1
19468778103,194687781,1833296,4748484,2
27602710101,276027101,2577581,6732368,1
27602710102,276027101,2577581,6732369,2
17074041503,170740415,1642810,4164396,1
17074041501,170740415,1642810,4164400,2
6731766904,67317669,630050,1641895,1
6731766903,67317669,630050,1641896,2
12587243202,125872432,1187148,3070055,1
12587243201,125872432,1187148,3070059,2
