TAZ,work_low,work_med,work_high,work_veryhigh
1,3436.506,3631.9529999999995,3864.968,4542.886
2,5342.973,5678.506,6059.625,6999.158000000001
3,413.70799999999997,442.35699999999997,472.35299999999995,529.494
4,3505.1769999999997,3692.5029999999997,3912.473,4490.552
5,3265.0579999999995,3251.0060000000003,3248.5640000000003,3219.205
6,806.376,775.799,758.381,697.142
7,1582.1860000000001,1755.8980000000001,1902.2419999999997,1893.149
8,559.075,591.309,617.959,590.244
9,3090.6319999999996,3096.982,3124.798,2914.358
10,2142.3859999999995,2252.26,2357.843,2340.536
11,1883.8539999999998,1976.0010000000002,2048.081,2017.9160000000002
12,2929.0199999999995,2878.942,2879.793,2947.46
13,3508.087,3667.0409999999993,3863.8379999999997,4416.620000000001
14,4207.5599999999995,4491.5109999999995,4805.143,5655.34
15,2549.39,2649.631,2798.9309999999996,3405.225
16,4519.0689999999995,4814.367,5131.942999999999,5746.099
17,1443.3070000000002,1561.283,1672.062,1823.587
18,1017.652,1088.232,1151.984,1231.752
19,1252.138,1337.0230000000001,1406.433,1513.9750000000001
20,815.4699999999999,883.153,932.311,922.6990000000001
21,1942.2189999999996,2136.92,2295.306,2217.353
22,2649.0069999999996,2751.81,2894.5319999999997,3398.067
23,1610.336,1702.938,1800.4699999999998,1948.702
24,3364.227,3582.6189999999997,3809.05,4218.0380000000005
25,323.047,344.677,361.85299999999995,357.834
26,969.6879999999999,1007.9159999999999,1063.86,1292.34
27,389.784,362.50600000000003,344.054,309.769
28,200.84699999999998,217.38600000000002,230.87499999999997,220.91699999999997
29,200.625,224.43400000000003,243.28400000000002,235.265
30,321.418,325.24,329.143,315.193
31,470.08299999999997,453.87200000000007,445.18199999999996,411.79200000000003
32,991.381,910.9970000000001,858.674,811.388
33,170.99,181.723,189.82999999999998,183.019
34,200.34599999999998,204.534,208.79699999999997,202.348
35,59.089,62.488,65.25,61.867000000000004
36,930.765,966.9200000000001,998.693,967.121
37,537.2379999999999,545.836,558.3779999999999,564.2360000000001
38,206.534,208.161,212.10899999999998,220.269
39,181.647,182.363,184.964,186.312
40,427.192,470.265,507.9099999999999,524.4960000000001
41,1525.368,1603.637,1668.435,1684.6660000000002
42,177.451,159.107,146.673,130.717
43,228.07299999999998,232.23800000000003,235.82999999999998,228.799
44,593.2679999999999,586.4839999999999,586.402,561.5699999999999
45,478.44,487.218,497.5969999999999,498.225
46,381.657,377.481,377.839,361.447
47,1967.3379999999997,1746.6109999999999,1600.3949999999998,1489.457
48,157.22299999999998,146.238,138.994,126.988
49,172.184,165.429,161.892,152.762
50,424.71799999999996,450.665,472.501,459.14699999999993
51,375.67099999999994,325.91700000000003,291.01099999999997,252.477
52,835.5139999999999,878.115,916.8050000000001,893.3230000000001
53,715.4729999999998,626.247,563.9309999999999,488.774
54,158.227,166.521,173.378,169.485
55,31.104,32.981,34.558,35.16
56,1021.463,924.2850000000001,858.231,754.9680000000001
57,56.33,55.962,56.438,56.835
58,113.45299999999999,116.02600000000001,118.564,111.395
59,206.743,201.836,199.865,189.144
60,27.318,28.994,30.423999999999996,28.795
61,101.29599999999999,106.591,111.902,117.92500000000001
62,215.36599999999999,226.788,236.55599999999998,230.74800000000002
63,96.80699999999999,99.974,103.33,104.953
64,99.54399999999998,102.347,105.31,106.61500000000001
65,274.532,286.796,297.173,288.898
66,283.587,285.25800000000004,287.585,271.93100000000004
67,292.89799999999997,265.421,246.16099999999997,219.911
68,42.054,46.087,49.325,48.717
69,2646.0969999999993,2278.364,2019.878,1744.3000000000002
70,493.41399999999993,473.648,460.56299999999993,435.99800000000005
71,1444.6519999999996,1326.39,1247.524,1120.192
72,272.95,257.865,249.00099999999998,234.981
73,428.94599999999997,423.245,419.455,383.189
74,796.328,739.434,701.1659999999999,630.838
75,905.213,909.626,919.213,891.5340000000001
76,826.701,906.0150000000001,971.8339999999998,934.2180000000001
77,920.8219999999999,831.3620000000001,769.9409999999999,680.884
78,158.35399999999998,169.733,179.38799999999998,168.56199999999998
79,2519.0329999999994,2301.117,2155.707,1933.85
80,58.062999999999995,59.69900000000001,61.330000000000005,57.503
81,317.25399999999996,320.117,325.039,316.977
82,659.355,601.871,561.848,505.877
83,65.627,66.91300000000001,67.708,64.142
84,111.737,114.35,118.237,130.57500000000002
85,292.02099999999996,276.647,266.84499999999997,244.33700000000002
86,135.44299999999998,133.507,132.82399999999998,121.768
87,630.098,553.3040000000001,499.832,436.61100000000005
88,273.472,271.399,269.43899999999996,254.656
89,180.108,185.53000000000003,190.83800000000002,184.86700000000002
90,3545.6809999999996,3043.024,2690.7969999999996,2321.188
91,112.89199999999998,110.85999999999999,110.76400000000001,115.565
92,31.675999999999995,31.810000000000006,32.163999999999994,31.141999999999996
93,156.53099999999998,177.018,193.597,187.72399999999996
94,163.50799999999998,169.64600000000002,174.781,167.881
95,81.07499999999999,85.874,90.39599999999999,90.457
96,36.914,38.705,40.416,40.094
97,114.04499999999999,116.093,118.18199999999999,118.44500000000001
98,79.47800000000001,76.374,74.713,73.882
99,144.046,143.26600000000002,143.45499999999998,131.696
100,472.41599999999994,461.57900000000006,455.817,431.213
