TAZ,university,gradeschool,highschool
1,0,74,0
2,0,87,0
3,0,73,11
4,0,96,17
5,0,122,0
6,0,73,31
7,0,197,22
8,0,116,18
9,0,135,28
10,0,97,49
11,0,60,0
12,0,174,19
13,0,156,103
14,0,307,75
15,0,106,0
16,0,65,10
17,0,73,24
18,0,77,56
19,0,93,50
20,0,70,0
21,0,62,53
22,0,92,9
23,0,139,49
24,0,147,42
25,0,62,44
26,0,129,0
27,0,93,13
28,0,100,33
29,0,16,0
30,0,111,0
31,0,73,36
32,0,62,0
33,0,81,18
34,0,158,30
35,0,114,40
36,0,54,0
37,0,57,16
38,0,73,0
39,0,100,27
40,0,57,34
41,0,79,0
42,0,29,0
43,0,52,17
44,0,62,35
45,0,124,16
46,0,96,109
47,0,40,0
48,0,37,0
49,0,52,10
50,0,104,32
51,0,23,7
52,0,36,14
53,0,80,15
54,0,45,6
55,0,89,75
56,0,115,6
57,0,94,9
58,0,120,0
59,0,66,43
60,0,115,12
61,0,141,11
62,0,151,96
63,0,42,0
64,0,88,27
65,0,80,0
66,0,32,0
67,0,91,14
68,0,62,6
69,0,54,0
70,0,30,18
71,0,52,12
72,0,83,0
73,0,43,0
74,0,83,16
75,0,81,0
76,0,63,10
77,0,69,22
78,0,95,51
79,0,20,0
80,0,64,0
81,0,65,14
82,0,212,24
83,3101,27,0
84,0,63,33
85,0,53,42
86,0,54,12
87,0,73,43
88,0,17,0
89,0,77,27
90,0,79,13
91,0,37,0
92,0,32,0
93,0,65,28
94,0,105,0
95,0,81,8
96,0,51,0
97,0,171,15
98,0,75,38
99,0,77,19
100,0,68,0
101,0,80,16
102,0,156,77
103,0,43,0
104,0,79,34
105,0,137,35
106,0,121,54
107,0,115,19
108,0,46,7
109,0,32,0
110,0,28,32
111,0,29,0
112,0,31,0
113,0,48,0
114,0,14,0
115,0,68,0
116,0,40,13
117,0,91,14
118,0,110,97
119,0,87,15
120,0,71,12
121,0,39,39
122,0,88,31
123,0,70,0
124,0,32,52
125,0,76,10
126,0,107,39
127,0,94,9
128,0,85,0
129,0,31,42
130,5166,16,0
131,0,7,14
132,0,64,8
133,0,58,7
134,0,160,69
135,0,101,71
136,0,167,14
137,0,77,0
138,0,102,17
139,0,103,14
140,0,147,6
141,0,120,0
142,0,31,0
143,0,39,6
144,0,22,0
145,0,16,0
146,0,45,8
147,0,19,5
148,0,34,21
149,0,45,0
150,0,37,14
151,0,43,44
152,196,51,10
153,0,21,4
154,0,109,7
155,0,71,8
156,0,39,0
157,0,34,0
158,0,31,0
159,0,38,34
160,0,74,14
161,0,110,23
162,0,69,0
163,0,127,21
164,0,75,6
165,0,90,69
166,0,55,13
167,0,114,24
168,0,52,24
169,0,211,81
170,0,135,20
171,0,128,19
172,0,133,49
173,0,36,46
174,0,52,0
175,0,38,10
176,0,127,0
177,0,89,0
178,0,63,9
179,0,123,36
180,0,49,19
181,0,80,15
182,0,42,0
183,0,21,8
184,0,33,7
185,0,143,24
186,0,44,0
187,0,139,37
188,0,102,0
189,0,101,37
190,0,66,0
191,0,86,15
192,0,35,28
193,0,230,39
194,0,49,0
195,0,0,0
196,0,71,0
197,0,54,11
198,0,64,39
199,0,308,53
200,0,48,22
201,0,14,0
202,0,19,0
203,0,91,25
204,0,49,12
205,0,118,9
206,0,43,0
207,0,89,37
208,0,62,0
209,0,165,61
210,0,182,36
211,0,37,0
212,0,113,35
213,0,41,11
214,0,34,0
215,0,39,0
216,0,81,4
217,0,51,4
218,0,12,9
219,0,7,7
220,0,31,0
221,0,47,28
222,0,37,0
223,0,39,4
224,0,36,12
225,0,131,29
226,0,5,0
227,0,68,20
228,0,18,9
229,0,18,9
230,0,42,0
231,0,17,6
232,0,25,0
233,0,23,12
234,0,25,19
235,0,31,0
236,0,33,3
237,0,50,0
238,0,111,57
239,0,40,0
240,0,44,0
241,0,32,0
242,0,31,14
243,0,114,32
244,0,80,18
245,0,35,37
246,0,32,6
247,0,65,31
248,0,132,16
249,0,135,4
250,0,52,13
251,0,97,0
252,0,38,0
253,0,48,0
254,0,33,13
255,0,70,0
256,0,149,17
257,0,72,68
258,0,66,12
259,0,59,50
260,0,106,3
261,0,233,46
262,0,63,2
263,0,38,0
264,0,64,6
265,0,25,0
266,2113,57,47
267,0,80,8
268,0,37,14
269,0,15,0
270,0,61,19
271,0,137,14
272,0,35,49
273,0,75,20
274,0,56,7
275,0,0,0
276,0,78,10
277,0,25,16
278,0,35,0
279,0,15,0
280,0,258,28
281,0,42,25
282,0,69,0
283,0,0,0
284,0,12,29
285,0,17,10
286,0,38,0
287,0,0,0
288,0,11,0
289,0,45,20
290,0,32,0
291,0,17,1
292,0,20,0
293,0,42,12
294,0,35,10
295,0,12,4
296,0,24,7
297,0,14,0
298,0,11,1
299,0,19,0
300,0,44,4
301,0,102,13
302,106,72,4
303,0,117,30
304,0,57,4
305,0,223,57
306,0,61,35
307,0,28,4
308,0,163,22
309,0,87,23
310,0,104,12
311,0,57,4
312,0,57,7
313,0,35,4
314,0,150,0
315,0,173,48
316,0,1,0
317,0,38,8
318,0,0,0
319,0,0,0
320,0,0,0
321,0,24,0
322,0,141,0
323,0,56,0
324,0,144,15
325,0,50,11
326,0,93,20
327,0,63,37
328,0,54,43
329,0,118,17
330,0,46,5
331,0,12,14
332,0,129,31
333,0,37,16
334,0,25,8
335,0,49,10
336,0,147,27
337,0,33,3
338,0,42,3
339,0,0,0
340,0,1,0
341,7,1,0
342,1085,6,0
343,117,0,0
344,0,0,0
345,0,3,19
346,0,14,4
347,0,1,0
348,0,83,0
349,759,109,0
350,0,196,32
351,0,48,18
352,0,42,8
353,0,44,14
354,0,24,15
355,0,11,0
356,0,2,0
357,0,0,0
358,0,3,0
359,0,1,0
360,0,7,0
361,0,0,0
362,0,0,3
363,0,30,43
364,0,74,0
365,0,29,0
366,0,5,0
367,0,191,97
368,0,48,0
369,0,130,32
370,0,33,21
371,0,75,8
372,0,83,49
373,0,92,7
374,0,39,13
375,0,38,1
376,0,41,0
377,0,2,0
378,0,0,0
379,0,89,22
380,0,53,0
381,0,29,0
382,0,16,22
383,0,78,38
384,0,262,87
385,0,55,11
386,0,18,0
387,0,102,0
388,0,73,7
389,0,79,12
390,0,114,24
391,0,86,11
392,0,90,0
393,0,100,20
394,0,137,28
395,0,23,7
396,0,50,14
397,222,96,23
398,0,43,7
399,0,78,14
400,0,36,17
401,0,130,33
402,0,127,21
403,0,42,0
404,0,27,0
405,0,23,11
406,0,112,24
407,0,70,28
408,0,141,64
409,0,90,18
410,0,114,6
411,0,153,16
412,0,56,16
413,0,63,32
414,0,44,0
415,0,53,18
416,0,0,0
417,0,0,0
418,1072,17,0
419,0,20,0
420,0,0,0
421,0,8,0
422,0,24,0
423,0,3,0
424,0,49,12
425,0,334,48
426,0,67,58
427,0,45,0
428,0,130,39
429,0,48,0
430,0,9,8
431,0,15,36
432,0,67,12
433,0,27,7
434,0,37,4
435,0,11,0
436,0,3,0
437,894,2,0
438,0,18,0
439,0,1,0
440,0,22,26
441,0,28,0
442,0,33,0
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,15,0
449,0,9,6
450,0,0,0
451,0,101,53
452,0,43,0
453,0,218,13
454,0,44,12
455,0,27,0
456,0,14,5
457,0,58,0
458,0,18,0
459,0,16,0
460,0,56,14
461,0,14,0
462,0,38,0
463,0,31,0
464,0,181,29
465,0,114,0
466,0,112,34
467,0,36,0
468,0,47,21
469,0,50,5
470,0,157,28
471,0,73,0
472,0,76,5
473,576,23,0
474,0,26,0
475,0,83,8
476,0,118,12
477,0,135,49
478,0,34,0
479,411,88,17
480,0,118,0
481,0,36,6
482,0,15,3
483,0,26,0
484,0,22,4
485,0,41,7
486,0,26,0
487,0,29,11
488,0,6,21
489,0,50,3
490,0,14,0
491,0,16,0
492,0,3,0
493,0,13,0
494,0,1,1
495,0,25,8
496,0,2,0
497,49,0,0
498,0,3,0
499,0,11,31
500,0,18,0
501,0,21,0
502,0,13,0
503,0,20,0
504,0,11,0
505,0,38,3
506,0,29,2
507,0,8,0
508,0,71,14
509,0,40,17
510,0,11,9
511,0,12,0
512,0,5,0
513,0,12,4
514,0,3,0
515,0,27,3
516,0,17,0
517,221,5,0
518,0,40,10
519,0,26,5
520,0,0,2
521,0,19,0
522,0,36,0
523,0,1,0
524,0,12,9
525,0,9,2
526,0,0,0
527,0,37,4
528,0,75,33
529,0,28,2
530,0,38,1
531,366,18,8
532,0,67,40
533,0,72,12
534,0,99,8
535,0,169,46
536,0,67,13
537,0,69,37
538,0,104,0
539,0,68,10
540,0,124,24
541,0,44,17
542,0,52,0
543,0,49,13
544,0,71,0
545,0,91,0
546,0,54,74
547,0,74,0
548,0,55,0
549,0,54,38
550,0,173,17
551,0,74,0
552,0,39,8
553,0,48,0
554,0,70,0
555,0,47,43
556,0,94,0
557,0,43,10
558,0,35,18
559,0,40,0
560,0,18,8
561,0,43,0
562,0,22,0
563,0,8,10
564,0,23,0
565,0,6,6
566,6273,6,0
567,0,28,0
568,0,40,0
569,0,21,11
570,0,46,7
571,0,19,11
572,0,22,5
573,0,21,0
574,0,33,10
575,0,40,7
576,0,132,35
577,0,47,10
578,105,97,0
579,0,60,5
580,0,91,37
581,0,42,34
582,0,22,36
583,0,63,0
584,0,105,0
585,0,89,30
586,0,156,43
587,0,115,27
588,0,22,4
589,0,103,3
590,0,61,5
591,0,81,46
592,0,51,0
593,0,48,11
594,0,57,11
595,0,70,14
596,0,20,0
597,0,21,18
598,0,21,11
599,0,15,0
600,0,20,0
601,0,11,0
602,0,32,0
603,0,36,42
604,0,28,0
605,0,30,0
606,0,29,3
607,0,28,0
608,0,28,5
609,0,10,0
610,0,20,0
611,0,89,22
612,0,57,0
613,0,9,0
614,0,32,10
615,0,22,3
616,0,88,35
617,0,46,0
618,0,14,4
619,0,11,0
620,0,41,0
621,0,63,11
622,0,35,24
623,0,73,15
624,0,30,11
625,0,74,0
626,0,24,8
627,0,43,40
628,0,56,6
629,0,89,16
630,0,111,12
631,0,54,36
632,0,92,12
633,0,130,5
634,0,70,19
635,0,118,2
636,0,93,0
637,0,16,0
638,0,77,107
639,0,46,46
640,0,174,23
641,0,63,58
642,0,97,28
643,0,81,0
644,0,150,57
645,0,46,7
646,0,112,0
647,0,60,0
648,0,105,52
649,0,89,13
650,0,154,33
651,0,46,33
652,0,95,13
653,0,51,0
654,0,67,10
655,0,72,23
656,0,37,0
657,0,34,0
658,0,50,23
659,0,82,27
660,0,66,0
661,0,78,0
662,0,154,0
663,0,42,0
664,0,36,0
665,0,221,32
666,0,89,10
667,0,79,27
668,0,74,31
669,0,131,56
670,0,111,39
671,0,41,18
672,0,74,0
673,0,74,7
674,0,143,25
675,0,49,34
676,0,155,19
677,0,67,29
678,0,281,24
679,0,39,13
680,0,42,16
681,0,58,7
682,0,107,0
683,0,49,50
684,0,10,0
685,0,66,73
686,0,83,25
687,0,62,5
688,0,54,4
689,0,44,13
690,0,20,9
691,0,101,18
692,0,183,45
693,0,28,13
694,0,25,0
695,0,78,8
696,0,49,5
697,0,29,8
698,0,36,9
699,0,60,13
700,0,200,32
701,0,79,14
702,0,221,34
703,603,14,0
704,0,31,11
705,0,58,8
706,0,38,32
707,0,60,14
708,0,56,4
709,0,181,35
710,0,29,16
711,0,18,0
712,0,61,20
713,0,62,10
714,0,14,4
715,0,42,22
716,0,119,11
717,0,63,13
718,0,71,0
719,0,79,54
720,0,157,5
721,0,51,0
722,0,98,17
723,0,116,91
724,0,93,50
725,0,22,10
726,0,91,12
727,0,46,10
728,0,170,19
729,0,40,13
730,0,43,0
731,0,190,45
732,0,419,203
733,0,115,21
734,0,22,18
735,0,40,9
736,0,48,0
737,0,114,14
738,0,141,22
739,0,38,19
740,0,76,17
741,0,90,14
742,0,17,23
743,0,49,1
744,0,34,0
745,0,43,17
746,0,27,0
747,0,43,5
748,0,95,20
749,0,25,0
750,0,27,0
751,0,86,18
752,0,67,8
753,0,134,9
754,0,31,5
755,0,68,10
756,0,23,0
757,0,94,31
758,0,111,54
759,0,183,28
760,0,212,102
761,0,208,41
762,0,70,10
763,0,87,0
764,0,39,22
765,0,130,13
766,0,144,16
767,0,39,19
768,0,45,41
769,0,56,1
770,0,65,24
771,0,142,34
772,0,55,0
773,0,93,20
774,0,160,29
775,0,105,5
776,0,150,62
777,0,169,31
778,0,58,90
779,0,111,0
780,0,50,25
781,0,111,8
782,0,51,62
783,0,55,36
784,0,89,17
785,0,118,17
786,0,96,0
787,0,69,26
788,0,138,10
789,0,27,57
790,0,143,20
791,0,70,0
792,0,49,0
793,0,48,27
794,0,164,25
795,0,64,0
796,0,37,14
797,0,24,0
798,0,67,16
799,0,62,0
800,0,88,18
801,0,47,12
802,0,86,5
803,0,74,7
804,0,67,3
805,0,47,11
806,0,47,8
807,0,60,65
808,0,31,17
809,0,44,35
810,0,34,2
811,0,7,0
812,0,86,35
813,0,85,9
814,0,102,73
815,0,108,14
816,0,54,0
817,0,68,38
818,0,38,10
