TAZ,work_low,work_med,work_high,work_veryhigh
1,3,11,14,44
2,16,16,29,66
3,4,2,2,6
4,0,3,6,11
5,10,14,15,34
6,7,14,27,44
7,16,32,38,95
8,5,3,8,32
9,31,62,90,230
10,7,16,12,34
11,0,3,2,10
12,8,18,23,50
13,21,22,36,87
14,28,49,80,179
15,3,11,16,29
16,3,3,8,10
17,1,4,7,15
18,2,6,11,31
19,5,8,12,38
20,3,15,18,21
21,21,29,30,69
22,1,5,2,12
23,65,168,326,871
24,49,76,92,254
25,14,30,38,117
26,12,17,34,103
27,2,14,11,44
28,11,9,18,36
29,7,2,18,29
30,13,33,46,128
31,6,17,26,50
32,14,52,62,157
33,9,12,24,63
34,4,22,32,80
35,7,15,24,69
36,62,142,166,568
37,16,27,47,125
38,0,3,6,19
39,15,19,34,97
40,0,4,6,9
41,5,12,7,32
42,14,26,48,128
43,5,17,18,70
44,2,4,3,15
45,14,11,21,49
46,49,102,146,366
47,3,8,13,29
48,16,50,66,228
49,3,9,13,23
50,35,47,71,195
51,17,21,20,60
52,15,34,47,127
53,4,10,12,25
54,29,60,83,257
55,10,4,16,24
56,3,8,33,46
57,16,20,48,102
58,4,9,13,28
59,3,2,11,27
60,7,18,27,92
61,22,36,67,175
62,23,33,33,114
63,53,133,207,637
64,10,13,37,94
65,2,5,3,5
66,7,20,29,64
67,8,11,19,54
68,6,14,29,80
69,8,16,29,91
70,28,41,91,274
71,1,2,8,14
72,19,33,37,114
73,2,2,2,3
74,2,6,8,27
75,4,4,11,31
76,8,9,17,42
77,18,49,70,206
78,9,20,33,83
79,140,293,479,1330
80,7,16,35,80
81,1,3,5,16
82,11,23,22,73
83,43,77,129,320
84,5,8,12,28
85,4,5,9,27
86,10,16,34,81
87,6,6,15,33
88,25,43,71,237
89,4,18,21,57
90,19,33,41,110
91,3,2,3,29
92,2,1,4,11
93,30,39,50,143
94,20,38,70,164
95,15,31,56,132
96,32,71,141,341
97,20,38,33,98
98,11,27,48,116
99,4,15,19,42
100,14,16,31,72
101,20,19,41,118
102,6,12,19,24
103,16,17,37,124
104,7,13,23,43
105,4,18,25,43
106,13,28,32,91
107,10,13,32,77
108,7,9,15,52
109,14,38,58,185
110,14,30,61,139
111,20,48,95,281
112,0,3,6,11
113,15,44,53,164
114,40,73,151,495
115,15,36,60,167
116,72,87,147,311
117,4,31,49,108
118,16,48,46,133
119,8,12,24,58
120,23,56,53,210
121,11,17,37,101
122,11,31,38,112
123,35,56,84,230
124,8,20,22,64
125,4,8,13,40
126,8,16,15,61
127,3,8,8,45
128,3,7,14,31
129,206,310,464,1090
130,6,11,19,37
131,2,2,2,3
132,8,15,26,68
133,8,2,9,20
134,15,13,16,65
135,4,6,17,21
136,0,3,9,20
137,13,11,17,48
138,3,4,4,15
139,5,17,22,65
140,34,90,165,434
141,2,4,14,37
142,2,0,0,16
143,4,5,6,19
144,6,2,3,8
145,5,10,23,41
146,2,10,10,16
147,0,0,6,22
148,4,9,9,28
149,3,8,9,31
150,0,1,3,9
151,10,14,14,55
152,37,98,150,391
153,12,10,15,50
154,6,16,13,53
155,76,171,203,718
156,0,2,3,9
157,8,3,10,20
158,5,14,25,60
159,3,4,8,18
160,2,2,4,22
161,6,21,20,61
162,11,16,31,66
163,6,5,11,22
164,6,13,11,32
165,2,6,6,21
166,5,4,10,30
167,7,19,14,49
168,5,13,17,31
169,65,136,212,556
170,3,15,18,63
171,6,12,23,63
172,13,17,34,110
173,9,33,40,93
174,7,14,33,66
175,1,10,7,19
176,3,11,17,35
177,4,11,14,35
178,4,6,9,23
179,5,7,17,40
180,25,53,105,262
181,63,150,221,580
182,0,3,6,11
183,16,50,63,177
184,1,2,7,12
185,29,77,106,241
186,6,20,11,51
187,10,19,26,67
188,0,2,7,11
189,14,32,37,103
190,3,4,9,18
191,0,0,1,5
192,6,28,36,50
193,5,9,6,26
194,5,10,16,22
195,18,35,58,100
196,7,13,19,54
197,1,7,12,13
198,8,9,16,20
199,14,30,46,78
200,14,31,36,88
201,8,30,45,100
202,4,11,10,26
203,4,7,8,13
204,27,73,96,197
205,31,88,114,277
206,5,11,15,30
207,2,8,5,15
208,10,16,27,44
209,14,27,35,75
210,25,43,73,151
211,31,72,94,239
212,9,38,46,76
213,6,12,10,24
214,2,1,5,11
215,0,1,14,9
216,0,4,3,10
217,2,6,8,12
218,17,21,28,45
219,15,38,48,85
220,4,8,13,31
221,84,146,171,339
222,5,23,24,85
223,1,2,4,12
224,12,13,23,48
225,0,14,16,35
226,2,4,2,5
227,0,3,5,6
228,5,10,16,30
229,1,1,3,2
230,9,17,22,47
231,12,12,20,35
232,3,20,12,27
233,2,4,9,20
234,2,8,7,11
235,1,2,6,7
236,4,2,5,4
237,0,0,1,2
238,9,20,18,37
239,0,3,1,2
240,0,2,1,5
241,4,6,6,30
242,7,10,17,26
243,12,26,25,62
244,5,4,9,15
245,10,24,26,48
246,32,53,64,106
247,9,11,23,36
248,20,38,48,100
249,1,5,6,12
250,2,4,6,20
251,3,5,7,15
252,1,5,2,14
253,4,9,11,23
254,2,4,3,7
255,14,36,40,123
256,0,4,3,5
257,0,5,6,17
258,1,3,6,14
259,2,1,6,13
260,9,21,36,71
261,41,69,96,210
262,5,6,7,16
263,0,3,9,8
264,3,4,6,9
265,1,3,5,12
266,24,38,40,86
267,1,1,4,8
268,5,5,9,18
269,2,5,8,16
270,30,57,60,130
271,26,58,107,183
272,5,15,10,14
273,7,6,8,29
274,6,6,12,23
275,19,61,95,198
276,9,21,38,67
277,60,141,226,488
278,10,47,51,112
279,31,92,154,375
280,25,31,46,102
281,2,9,9,15
282,0,0,0,0
283,33,59,101,215
284,215,361,569,1068
285,6,15,19,35
286,27,37,69,117
287,22,44,69,156
288,2,13,12,47
289,41,74,130,199
290,1,0,4,5
291,11,16,32,71
292,8,24,33,60
293,2,1,2,6
294,2,6,8,12
295,8,8,6,23
296,11,13,40,94
297,0,1,0,1
298,3,2,6,18
299,0,3,1,8
300,3,3,6,7
301,14,31,46,86
302,11,18,19,57
303,2,0,2,6
304,9,23,30,59
305,15,18,18,46
306,15,55,42,87
307,4,3,5,16
308,6,14,16,33
309,2,9,3,12
310,23,32,46,119
311,3,4,9,17
312,4,6,15,21
313,4,13,18,50
314,5,8,11,19
315,31,53,82,127
316,80,257,336,738
317,21,63,87,207
318,27,72,107,178
319,59,108,175,281
320,37,92,128,268
321,15,39,75,125
322,71,214,356,739
323,89,153,264,503
324,17,29,47,97
325,4,1,3,2
326,5,4,5,13
327,1,1,6,13
328,2,7,10,10
329,25,42,80,134
330,5,11,9,20
331,5,6,9,17
332,13,30,42,94
333,2,2,14,13
334,9,3,16,26
335,16,27,39,74
336,10,15,25,51
337,1,6,8,14
338,6,8,12,22
339,33,78,141,269
340,4,8,18,52
341,42,98,117,273
342,55,96,127,278
343,17,39,51,171
344,15,19,40,115
345,10,13,42,95
346,7,22,28,67
347,11,45,46,118
348,1,3,6,8
349,20,31,46,71
350,18,51,83,132
351,14,12,21,57
352,1,0,5,8
353,2,4,5,14
354,5,5,6,5
355,8,29,56,92
356,47,91,175,319
357,26,69,113,246
358,38,111,126,281
359,17,34,41,93
360,1,7,12,23
361,22,44,55,119
362,15,36,54,109
363,22,52,77,120
364,19,38,60,107
365,32,92,140,300
366,48,143,226,430
367,9,29,40,70
368,17,34,46,99
369,19,35,29,69
370,15,45,52,105
371,0,0,11,5
372,16,25,32,62
373,5,28,26,52
374,1,8,14,12
375,0,5,16,31
376,1,7,15,19
377,127,286,444,935
378,25,51,80,129
379,71,145,197,396
380,15,21,30,68
